日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0960,无线充电,2146.06,-1.05,-1550660896,-8.16,-1002941728,-5.28,-547719168,-2.88,385884160,2.03,1164776960,6.13
2023-07-11,BK0960,无线充电,2168.94,2.14,525041744,2.98,652082256,3.7,-127040512,-0.72,-122122752,-0.6900000000000001,-402919168,-2.29
2023-07-10,BK0960,无线充电,2123.49,0.16,-431070080,-3.23,-189511568,-1.42,-241558512,-1.81,107198592,0.8,323871488,2.43
2023-07-07,BK0960,无线充电,2120.08,-1.29,-450004240,-3.05,-223291072,-1.51,-226713168,-1.54,-114941184,-0.78,564945376,3.83
2023-07-06,BK0960,无线充电,2147.72,0.13,-360162352,-1.97,38798800,0.21,-398961152,-2.18,-38583552,-0.21,398745856,2.18
2023-07-05,BK0960,无线充电,2144.92,-1.12,-1402504784,-7.52,-1044682576,-5.6,-357822208,-1.92,391517184,2.1,1010987520,5.42
2023-07-04,BK0960,无线充电,2169.31,2.01,418631232,1.95,678207296,3.16,-259576064,-1.21,-264419328,-1.23,-154211584,-0.72
2023-07-03,BK0960,无线充电,2126.61,-0.33,469534976,1.79,641794560,2.45,-172259584,-0.66,-728916224,-2.78,259381248,0.99
2023-06-30,BK0960,无线充电,2133.68,2.16,573866800,2.8,632460848,3.09,-58594048,-0.29,-348202240,-1.7000000000000002,-225664768,-1.1
2023-06-29,BK0960,无线充电,2088.6,1.99,1233424752,5.78,1018633840,4.77,214790912,1.01,-773863680,-3.63,-459560960,-2.15
2023-06-28,BK0960,无线充电,2047.81,-1.4,-858319632,-4.73,-670595344,-3.7,-187724288,-1.03,269703680,1.49,588616064,3.24
2023-06-27,BK0960,无线充电,2076.86,1.53,143188384,0.7000000000000001,-30001248,-0.15,173189632,0.84,142284032,0.6900000000000001,-285472256,-1.39
2023-06-26,BK0960,无线充电,2045.47,-1.99,-512817072,-2.58,-257524656,-1.29,-255292416,-1.28,-197153280,-0.99,709970432,3.5700000000000003
2023-06-21,BK0960,无线充电,2087.03,-1.76,-897341984,-4.08,-427738912,-1.95,-469603072,-2.14,118711296,0.54,778630656,3.54
2023-06-20,BK0960,无线充电,2124.5,0.53,1251919872,4.09,1671556608,5.46,-419636736,-1.37,-1195207168,-3.9,-56712448,-0.19
2023-06-19,BK0960,无线充电,2113.27,1.14,-749379712,-3.36,-458866048,-2.06,-290513664,-1.3,190817024,0.85,558562560,2.5
2023-06-16,BK0960,无线充电,2089.52,1.1,584259856,2.75,774002192,3.64,-189742336,-0.89,-352815872,-1.66,-231443712,-1.09
