日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK1130,时空大数据,1006.02,-0.42,29516002,0.85,41085314,1.18,-11569312,-0.33,385792,0.01,-29901792,-0.86
2023-06-30,BK1130,时空大数据,1010.24,1.35,-60963906,-1.63,-7876706,-0.21,-53087200,-1.42,-27491280,-0.73,88455200,2.36
2023-06-29,BK1130,时空大数据,996.77,0.91,-214490882,-6.28,-120640066,-3.53,-93850816,-2.75,59331264,1.74,155159616,4.54
2023-06-28,BK1130,时空大数据,987.78,-1.53,-137382000,-3.19,18722848,0.43,-156104848,-3.62,-29261872,-0.68,166643856,3.87
2023-06-27,BK1130,时空大数据,1003.14,1.35,-89450544,-2.43,-28316576,-0.77,-61133968,-1.66,21956112,0.6000000000000001,67494432,1.84
2023-06-26,BK1130,时空大数据,989.8,-2.92,-194735920,-4.7,-37700208,-0.91,-157035712,-3.79,26099152,0.63,168636768,4.07
2023-06-21,BK1130,时空大数据,1019.61,-0.66,-47892176,-0.95,37835984,0.75,-85728160,-1.7000000000000002,-25340928,-0.5,73233072,1.46
2023-06-20,BK1130,时空大数据,1026.39,-0.17,-258642256,-5.77,-73712784,-1.64,-184929472,-4.12,117708896,2.63,140933376,3.14
2023-06-19,BK1130,时空大数据,1028.15,2.33,89475888,1.8,52312240,1.05,37163648,0.75,-47973664,-0.97,-41502224,-0.84
2023-06-16,BK1130,时空大数据,1004.76,1.85,45980000,1.21,14183648,0.37,31796352,0.84,-23066944,-0.61,-22913056,-0.6000000000000001
