日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0815,昨日涨停,15929.25,1.75,-1241801072,-8.18,-695621232,-4.58,-546179840,-3.6,398850560,2.63,842950368,5.5600000000000005
2023-08-11,BK0815,昨日涨停,15655.75,0.2,-2982517600,-10.67,-2521514848,-9.02,-461002752,-1.65,872643328,3.12,2109874176,7.55
2023-08-10,BK0815,昨日涨停,15623.76,3.29,-757658928,-4.8100000000000005,-166836624,-1.06,-590822304,-3.75,-22501120,-0.14,780160112,4.95
2023-08-09,BK0815,昨日涨停,15126.1,0.9,-922995296,-4.43,-453551712,-2.17,-469443584,-2.25,112679424,0.54,810316032,3.89
2023-08-08,BK0815,昨日涨停,14990.78,0.37,-2519367504,-7.98,-1064221008,-3.37,-1455146496,-4.61,310556160,0.98,2208811264,6.99
2023-08-07,BK0815,昨日涨停,14936.23,5.42,-1346735616,-5.44,-371254784,-1.5,-975480832,-3.94,211420160,0.85,1135315712,4.58
2023-08-04,BK0815,昨日涨停,14167.72,1.53,-2182077952,-8.01,-713783296,-2.62,-1468294656,-5.39,663846656,2.44,1518231552,5.57
2023-08-03,BK0815,昨日涨停,13954.05,-1.48,-2436350352,-7.98,-1430708880,-4.68,-1005641472,-3.29,666258176,2.18,1770092032,5.8
2023-08-02,BK0815,昨日涨停,14164.06,2.39,-2499808496,-8.32,-1361260272,-4.53,-1138548224,-3.79,683766784,2.28,1816041472,6.05
2023-08-01,BK0815,昨日涨停,13833.99,-0.8,-4533761024,-9.74,-2104661504,-4.52,-2429099520,-5.22,907249664,1.95,3626511360,7.79
2023-07-31,BK0815,昨日涨停,13944.9,4.84,-2147912192,-3.12,-1112562944,-1.62,-1035349248,-1.5,921669632,1.34,1226242560,1.78
2023-07-28,BK0815,昨日涨停,13301.68,0.38,-1519414368,-8.8,-1127673200,-6.53,-391741168,-2.27,774142464,4.48,745271968,4.31
2023-07-27,BK0815,昨日涨停,13250.74,0.48,-1930787168,-7.52,-1165512800,-4.54,-765274368,-2.98,591153408,2.3,1339633408,5.22
2023-07-26,BK0815,昨日涨停,13186.96,3.04,-3130231552,-6.07,-2646821888,-5.13,-483409664,-0.94,971278336,1.88,2158953216,4.19
2023-07-24,BK0815,昨日涨停,12232.3,0.59,-2008628640,-7.96,-1217073568,-4.82,-791555072,-3.14,534474496,2.12,1474154240,5.84
2023-07-21,BK0815,昨日涨停,12160.1,0.01,-1812392208,-8.83,-802360848,-3.91,-1010031360,-4.92,404881920,1.97,1407510528,6.86
2023-07-20,BK0815,昨日涨停,12158.8,4.65,-714602480,-3.51,-109246192,-0.54,-605356288,-2.97,-126459648,-0.62,841062144,4.13
2023-07-19,BK0815,昨日涨停,11618.72,1.74,-1012101568,-6.97,-481233968,-3.31,-530867600,-3.66,373857536,2.5700000000000003,638243904,4.4
2023-07-17,BK0815,昨日涨停,11303.62,0.02,-3130313216,-7.89,-1862426880,-4.69,-1267886336,-3.2,993066240,2.5,2137246720,5.39
2023-07-14,BK0815,昨日涨停,11301.25,3.08,-1376024320,-3.02,398045184,0.87,-1774069504,-3.89,-108510208,-0.24,1480763136,3.25
2023-07-13,BK0815,昨日涨停,10963.35,1.75,-933495504,-3.81,-321459152,-1.31,-612036352,-2.5,185069056,0.75,748426496,3.05
2023-07-12,BK0815,昨日涨停,10774.53,1.38,-2238236672,-7.0,-1294385152,-4.05,-943851520,-2.95,478593792,1.5,1759642880,5.5
2023-07-11,BK0815,昨日涨停,10627.62,0.18,-953231600,-6.09,-459373008,-2.94,-493858592,-3.16,200226560,1.28,753004800,4.8100000000000005
2023-07-10,BK0815,昨日涨停,10608.57,1.93,-883578400,-8.46,-485112352,-4.64,-398466048,-3.82,217125184,2.08,666453200,6.38
