日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1050,昨日涨停_含一字,87.1,2.25,-1537814064,-5.61,-894176048,-3.26,-643638016,-2.35,437102592,1.59,1100711424,4.02
2023-07-05,BK1050,昨日涨停_含一字,85.18,0.6900000000000001,-1702010832,-5.28,-700462032,-2.17,-1001548800,-3.11,207214592,0.64,1494796032,4.63
2023-07-04,BK1050,昨日涨停_含一字,84.6,1.92,-2208627680,-6.47,-1157134304,-3.39,-1051493376,-3.08,663225856,1.94,1545401600,4.53
2023-07-03,BK1050,昨日涨停_含一字,83.01,1.75,-1723646720,-4.27,-785046016,-1.95,-938600704,-2.33,-29150464,-0.07,1752796928,4.35
2023-06-30,BK1050,昨日涨停_含一字,81.58,0.85,-1483305840,-4.22,-432198768,-1.23,-1051107072,-2.99,116050432,0.33,1367255552,3.89
2023-06-29,BK1050,昨日涨停_含一字,80.89,2.41,-1463319024,-7.5,-855079392,-4.38,-608239632,-3.12,182333184,0.93,1280986112,6.57
2023-06-28,BK1050,昨日涨停_含一字,78.99,1.9,-2530316544,-5.71,-1303207168,-2.94,-1227109376,-2.77,391856640,0.88,2138459904,4.83
2023-06-27,BK1050,昨日涨停_含一字,77.52,3.09,-1154286080,-5.6,-447713872,-2.17,-706572208,-3.42,65419520,0.32,1088866304,5.28
2023-06-26,BK1050,昨日涨停_含一字,75.2,2.86,-856508672,-3.67,-546894080,-2.35,-309614592,-1.33,473698816,2.03,382809856,1.64
2023-06-21,BK1050,昨日涨停_含一字,73.11,1.9,-1060591616,-2.61,-796543744,-1.96,-264047872,-0.65,578650368,1.42,481941248,1.18
2023-06-20,BK1050,昨日涨停_含一字,71.75,1.18,-3501257216,-5.69,-1942781184,-3.16,-1558476032,-2.53,460867584,0.75,3040389888,4.95
2023-06-19,BK1050,昨日涨停_含一字,70.91,3.31,-2070603520,-4.07,-960718848,-1.89,-1109884672,-2.18,380503040,0.75,1690100480,3.32
2023-06-16,BK1050,昨日涨停_含一字,68.64,1.93,-2360447984,-6.73,-1258380784,-3.59,-1102067200,-3.14,823565824,2.35,1536882432,4.38
