日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0816,昨日连板,940.18,4.24,-187961401,-7.15,-40971513,-1.56,-146989888,-5.59,-25434064,-0.97,213395456,8.12
2023-08-11,BK0816,昨日连板,901.91,3.84,-196871968,-5.6,-215111360,-6.12,18239392,0.52,4017680,0.11,192854272,5.48
2023-08-10,BK0816,昨日连板,868.57,8.92,8792032,0.30000000000000004,142772864,4.8100000000000005,-133980832,-4.51,-73444960,-2.47,64652928,2.18
2023-08-09,BK0816,昨日连板,797.45,-0.13,-72428535,-2.89,-42917063,-1.71,-29511472,-1.18,38042128,1.52,34386384,1.37
2023-08-08,BK0816,昨日连板,798.5,-2.4,-969782256,-8.18,-576061072,-4.86,-393721184,-3.32,85935568,0.72,883846688,7.45
2023-08-07,BK0816,昨日连板,818.13,2.23,-152327920,-2.6,44777312,0.76,-197105232,-3.36,-63672288,-1.09,216000224,3.68
2023-08-04,BK0816,昨日连板,800.29,4.01,-75359690,-7.73,-60151954,-6.17,-15207736,-1.56,13392231,1.37,61967466,6.35
2023-08-03,BK0816,昨日连板,769.43,-2.7,-853947616,-10.19,-432751632,-5.17,-421195984,-5.03,271281440,3.24,582666176,6.96
2023-08-02,BK0816,昨日连板,790.76,-3.6,-711868464,-12.75,-449546288,-8.05,-262322176,-4.7,101352304,1.82,610516160,10.94
2023-08-01,BK0816,昨日连板,820.27,-2.05,-1226512960,-9.47,-582169392,-4.5,-644343568,-4.98,218640608,1.69,1007872368,7.78
2023-07-31,BK0816,昨日连板,837.42,5.69,-81313110,-6.04,-1567366,-0.12,-79745744,-5.92,30503696,2.26,50809424,3.77
