日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK0886,智慧政务,1067.82,2.9,599288304,2.49,537443824,2.23,61844480,0.26,-6367488,-0.03,-578137856,-2.4
2023-08-03,BK0886,智慧政务,1037.76,-0.15,-763732048,-4.76,-369540288,-2.31,-394191760,-2.46,-7557632,-0.05,774380032,4.83
2023-08-02,BK0886,智慧政务,1039.36,0.53,324909488,1.89,534560720,3.1,-209651232,-1.22,-227574016,-1.32,-95715840,-0.56
2023-08-01,BK0886,智慧政务,1033.93,-0.19,-208804496,-1.29,-30180464,-0.19,-178624032,-1.1,-72072192,-0.45,277177600,1.71
2023-07-31,BK0886,智慧政务,1035.92,0.8300000000000001,-147942848,-0.89,17931360,0.11,-165874208,-0.99,118458624,0.71,33661184,0.2
2023-07-28,BK0886,智慧政务,1027.44,0.5700000000000001,-1035729184,-6.58,-560237872,-3.56,-475491312,-3.02,-52309248,-0.33,1091533824,6.93
2023-07-27,BK0886,智慧政务,1021.57,-1.62,-789820272,-4.79,-187445936,-1.14,-602374336,-3.66,-147034880,-0.89,934099456,5.67
2023-07-26,BK0886,智慧政务,1038.34,-2.01,-1784802688,-9.33,-974312016,-5.1,-810490672,-4.24,-56149504,-0.29,1837950208,9.61
2023-07-24,BK0886,智慧政务,1043.72,1.0,177848976,0.94,153540752,0.81,24308224,0.13,-145629696,-0.77,-42652928,-0.23
2023-07-21,BK0886,智慧政务,1033.41,-1.24,-740079728,-4.24,-221044640,-1.27,-519035088,-2.97,-85303296,-0.49,816625408,4.68
2023-07-20,BK0886,智慧政务,1046.35,-1.58,-1142311296,-5.44,-573062784,-2.73,-569248512,-2.71,63309312,0.30000000000000004,1086044416,5.18
2023-07-19,BK0886,智慧政务,1063.15,0.72,-642023872,-3.43,-105040768,-0.56,-536983104,-2.87,-31483136,-0.17,663723520,3.55
2023-07-17,BK0886,智慧政务,1075.65,0.45,-1409791136,-4.93,-718825120,-2.52,-690966016,-2.42,175232000,0.61,1233690368,4.32
2023-07-14,BK0886,智慧政务,1070.78,3.17,514276224,1.89,742593664,2.73,-228317440,-0.84,-274784000,-1.01,-235209728,-0.86
2023-07-13,BK0886,智慧政务,1037.89,1.51,-447355440,-2.03,72355792,0.33,-519711232,-2.36,-49316096,-0.22,491500288,2.23
2023-07-12,BK0886,智慧政务,1022.5,-2.67,-1764900144,-8.14,-572837168,-2.64,-1192062976,-5.5,104953856,0.48,1640327680,7.57
2023-07-11,BK0886,智慧政务,1050.6,0.37,510997264,2.64,648794384,3.35,-137797120,-0.71,-367274240,-1.9,-154492160,-0.8
2023-07-10,BK0886,智慧政务,1046.77,-0.56,-677912736,-4.55,-434821392,-2.92,-243091344,-1.63,-26172928,-0.18,703893248,4.73
2023-07-07,BK0886,智慧政务,1052.64,-1.72,-2814267808,-12.54,-1837779360,-8.19,-976488448,-4.35,580841472,2.59,2233590272,9.95
2023-07-06,BK0886,智慧政务,1071.08,0.17,948492816,4.71,1047732240,5.2,-99239424,-0.49,-673358336,-3.34,-275713280,-1.37
2023-07-05,BK0886,智慧政务,1069.25,-1.38,-1382959552,-6.18,-928953280,-4.15,-454006272,-2.03,362606336,1.62,1020098816,4.5600000000000005
2023-07-04,BK0886,智慧政务,1084.25,0.76,136082016,0.6000000000000001,328703584,1.45,-192621568,-0.85,-119832064,-0.53,-17087488,-0.08
2023-07-03,BK0886,智慧政务,1076.1,0.12,-665226464,-2.8200000000000003,-386134752,-1.64,-279091712,-1.18,437349632,1.85,228161536,0.97
2023-06-30,BK0886,智慧政务,1074.83,0.79,-168021744,-0.79,-224199408,-1.06,56177664,0.27,-200778496,-0.95,368657664,1.74
2023-06-29,BK0886,智慧政务,1066.37,0.77,-1119207488,-5.23,-480041792,-2.24,-639165696,-2.99,59535104,0.28,1058485248,4.95
2023-06-28,BK0886,智慧政务,1058.26,-2.8200000000000003,-2069238224,-7.28,-1296619472,-4.5600000000000005,-772618752,-2.72,408577792,1.44,1659159552,5.84
2023-06-27,BK0886,智慧政务,1088.93,1.83,457409184,1.96,740600992,3.17,-283191808,-1.21,-387760896,-1.66,-69133056,-0.30000000000000004
2023-06-26,BK0886,智慧政务,1069.4,-5.14,-2482182656,-8.6,-1115772416,-3.87,-1366410240,-4.74,70483456,0.24,2410703360,8.35
2023-06-21,BK0886,智慧政务,1127.32,-3.25,-4001512720,-11.53,-2833515280,-8.16,-1167997440,-3.37,569183744,1.64,3432039424,9.89
2023-06-20,BK0886,智慧政务,1165.16,-0.44,-784627712,-1.94,275247104,0.68,-1059874816,-2.62,-476950272,-1.18,1260838656,3.12
2023-06-19,BK0886,智慧政务,1170.27,1.92,-764301056,-1.92,186463232,0.47,-950764288,-2.39,65272832,0.16,699011328,1.75
2023-06-16,BK0886,智慧政务,1148.22,2.48,1147970320,3.24,1295656464,3.66,-147686144,-0.42,-719404288,-2.03,-428821504,-1.21
