日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0961,有机硅,1370.75,-0.49,-220422655,-9.66,-84261471,-3.69,-136161184,-5.96,-6645504,-0.29,227068160,9.95
2023-07-04,BK0961,有机硅,1377.46,0.72,-3105021,-0.13,11144675,0.45,-14249696,-0.58,-59288528,-2.41,62393568,2.54
2023-07-03,BK0961,有机硅,1367.55,1.04,34812318,1.26,31961358,1.16,2850960,0.1,-64855136,-2.35,30042816,1.09
2023-06-30,BK0961,有机硅,1353.53,2.05,-41481759,-1.28,-47937823,-1.47,6456064,0.2,-49653296,-1.53,91135040,2.8
2023-06-29,BK0961,有机硅,1326.32,-0.08,-84498235,-3.95,-47719515,-2.23,-36778720,-1.72,-11852800,-0.55,96351024,4.5
2023-06-28,BK0961,有机硅,1327.33,-0.35000000000000003,-32146968,-1.47,-3582568,-0.16,-28564400,-1.31,40012576,1.83,-7865600,-0.36
2023-06-27,BK0961,有机硅,1331.96,1.86,37649729,1.5,-12416175,-0.5,50065904,2.0,9265024,0.37,-46914736,-1.87
2023-06-26,BK0961,有机硅,1307.67,-0.75,-105549270,-4.59,-57013702,-2.48,-48535568,-2.11,-36069152,-1.57,141618416,6.15
2023-06-21,BK0961,有机硅,1317.52,-1.91,-217086780,-8.33,-70069948,-2.69,-147016832,-5.64,25254336,0.97,191832432,7.36
2023-06-20,BK0961,有机硅,1343.16,-0.4,15971985,0.58,9530753,0.34,6441232,0.23,-11971488,-0.43,-4000496,-0.14
2023-06-19,BK0961,有机硅,1348.55,-0.26,-184025023,-5.79,-81412287,-2.56,-102612736,-3.23,90686448,2.85,93338592,2.94
2023-06-16,BK0961,有机硅,1352.07,0.28,-100284248,-3.59,-31511624,-1.13,-68772624,-2.46,-29078896,-1.04,129363136,4.63
