日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0998,机器视觉,1242.56,0.21,-161903808,-2.05,4656960,0.06,-166560768,-2.11,-7822928,-0.1,165961424,2.11
2023-07-27,BK0998,机器视觉,1239.96,-1.03,-320646736,-4.21,-123290576,-1.62,-197356160,-2.59,-74726176,-0.98,398375504,5.23
2023-07-26,BK0998,机器视觉,1252.81,-1.87,-693041280,-9.06,-216528448,-2.83,-476512832,-6.23,24938368,0.33,657888048,8.6
2023-07-24,BK0998,机器视觉,1255.37,0.02,-218476384,-3.32,-76942944,-1.17,-141533440,-2.15,-126178272,-1.92,340137776,5.17
2023-07-21,BK0998,机器视觉,1255.14,-2.08,-645495104,-8.04,-175435280,-2.18,-470059824,-5.85,-115401360,-1.44,757268448,9.43
2023-07-20,BK0998,机器视觉,1281.84,-2.35,-919726944,-8.68,-404951856,-3.82,-514775088,-4.86,82914048,0.78,830687968,7.84
2023-07-19,BK0998,机器视觉,1312.7,-0.27,-118419920,-1.25,123927312,1.31,-242347232,-2.5700000000000003,-185106832,-1.96,290585952,3.08
2023-07-17,BK0998,机器视觉,1327.49,-0.59,-589275824,-5.08,-217190336,-1.87,-372085488,-3.21,187671296,1.62,383649536,3.3
2023-07-14,BK0998,机器视觉,1335.35,0.88,498317312,3.5,334835168,2.35,163482144,1.15,-114434560,-0.8,-386137232,-2.72
2023-07-13,BK0998,机器视觉,1323.7,0.84,-438448416,-3.52,-234545008,-1.88,-203903408,-1.64,-56273920,-0.45,491387984,3.94
2023-07-12,BK0998,机器视觉,1312.68,-2.83,-1482064624,-10.04,-713050688,-4.83,-769013936,-5.21,192588544,1.3,1282186864,8.68
2023-07-11,BK0998,机器视觉,1350.94,0.68,-413583040,-3.29,-271560352,-2.16,-142022688,-1.13,105366528,0.84,292943456,2.33
2023-07-10,BK0998,机器视觉,1341.86,-1.08,-438691248,-3.74,-250001696,-2.13,-188689552,-1.61,159597280,1.36,274877744,2.34
2023-07-07,BK0998,机器视觉,1356.57,-1.45,-690405776,-4.89,-223038288,-1.58,-467367488,-3.31,-9099008,-0.06,679546880,4.8100000000000005
2023-07-06,BK0998,机器视觉,1376.48,0.55,-231204176,-1.85,72946672,0.58,-304150848,-2.43,62274560,0.5,166484256,1.33
2023-07-05,BK0998,机器视觉,1368.93,-2.0,-1004034688,-7.07,-453232112,-3.19,-550802576,-3.88,34313984,0.24,945567296,6.66
2023-07-04,BK0998,机器视觉,1396.84,1.88,-16376240,-0.11,35810096,0.24,-52186336,-0.35000000000000003,-85206272,-0.58,109436416,0.74
2023-07-03,BK0998,机器视觉,1371.08,-1.02,-909836224,-5.57,-407215504,-2.49,-502620720,-3.08,43814912,0.27,872360192,5.34
2023-06-30,BK0998,机器视觉,1385.23,0.59,-395193824,-2.54,-161506640,-1.04,-233687184,-1.5,-13003520,-0.08,390579456,2.51
2023-06-29,BK0998,机器视觉,1377.11,2.96,205826848,1.15,373336352,2.09,-167509504,-0.94,-84781824,-0.48,-121596672,-0.68
2023-06-28,BK0998,机器视觉,1337.49,-1.06,-830959760,-4.8,-312686432,-1.81,-518273328,-2.99,-42504960,-0.25,902459648,5.21
2023-06-27,BK0998,机器视觉,1351.85,0.65,-619560880,-4.33,-261389552,-1.83,-358171328,-2.51,-115321600,-0.81,723236176,5.06
2023-06-26,BK0998,机器视觉,1343.07,-3.75,-1565582512,-8.16,-830553520,-4.33,-735028992,-3.83,26640384,0.14,1542238464,8.04
2023-06-21,BK0998,机器视觉,1395.39,-3.27,-2123585904,-9.61,-1079682928,-4.89,-1043902976,-4.72,274599168,1.24,1849408000,8.37
2023-06-20,BK0998,机器视觉,1442.54,1.5,-527819488,-2.11,-215968992,-0.86,-311850496,-1.25,78146816,0.31,462130432,1.85
2023-06-19,BK0998,机器视觉,1421.18,2.12,-244827920,-1.07,-12623120,-0.06,-232204800,-1.01,-20292352,-0.09,263781888,1.15
2023-06-16,BK0998,机器视觉,1391.72,2.45,200670896,0.93,525288112,2.42,-324617216,-1.5,-235881728,-1.09,35216384,0.16
