日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1067,杭州亚运会,1047.68,-0.6000000000000001,-619165552,-5.28,-330994192,-2.8200000000000003,-288171360,-2.46,-91236240,-0.78,710401792,6.05
2023-09-04,BK1067,杭州亚运会,1060.26,1.36,-354419536,-2.31,-179128688,-1.17,-175290848,-1.14,157875200,1.03,196544256,1.28
2023-08-31,BK1067,杭州亚运会,1023.46,-0.79,-85090944,-0.79,18536096,0.17,-103627040,-0.97,-38643696,-0.36,123734640,1.15
2023-08-29,BK1067,杭州亚运会,1026.05,3.43,402709936,3.19,265962016,2.11,136747920,1.08,-305107536,-2.42,-97602304,-0.77
2023-08-28,BK1067,杭州亚运会,991.99,1.02,-584547360,-4.36,-173046272,-1.29,-411501088,-3.07,123200768,0.92,461346816,3.44
2023-08-25,BK1067,杭州亚运会,982.02,-2.29,-896679232,-8.21,-451594608,-4.14,-445084624,-4.08,166202640,1.52,730476656,6.69
2023-08-24,BK1067,杭州亚运会,1005.07,0.09,-117226384,-1.04,-2202800,-0.02,-115023584,-1.03,-260744608,-2.32,377970976,3.37
2023-08-23,BK1067,杭州亚运会,1004.2,-2.01,-447185696,-4.38,-259923920,-2.55,-187261776,-1.84,132470464,1.3,314715232,3.09
2023-08-21,BK1067,杭州亚运会,1016.22,0.24,145069248,1.56,67358960,0.72,77710288,0.8300000000000001,-102623728,-1.1,-42445488,-0.46
2023-08-18,BK1067,杭州亚运会,1013.77,-2.0,-478002784,-6.36,-282856432,-3.77,-195146352,-2.6,82510496,1.1,395492256,5.27
2023-08-16,BK1067,杭州亚运会,1020.92,-1.03,-467263696,-5.71,-278445872,-3.4,-188817824,-2.31,-2737216,-0.03,470000896,5.74
2023-08-15,BK1067,杭州亚运会,1031.5,-0.89,-387069696,-5.02,-195668832,-2.54,-191400864,-2.48,20727696,0.27,366342000,4.75
2023-08-14,BK1067,杭州亚运会,1040.76,1.21,16213696,0.19,72109536,0.86,-55895840,-0.66,-160507296,-1.9,144293600,1.71
2023-08-11,BK1067,杭州亚运会,1028.29,-2.01,-619620352,-7.31,-139727216,-1.65,-479893136,-5.67,-24387280,-0.29,644007616,7.6
2023-08-10,BK1067,杭州亚运会,1049.33,-0.01,-161238320,-2.26,-111356992,-1.56,-49881328,-0.7000000000000001,-69992080,-0.98,231230384,3.24
2023-08-09,BK1067,杭州亚运会,1049.41,-1.36,-661382128,-7.2,-227450928,-2.48,-433931200,-4.72,25216352,0.27,636165760,6.92
2023-08-08,BK1067,杭州亚运会,1063.88,0.04,-79657104,-0.96,29325792,0.36,-108982896,-1.32,-20840848,-0.25,100497952,1.22
2023-08-07,BK1067,杭州亚运会,1063.46,-0.65,-439550320,-4.02,-93080176,-0.85,-346470144,-3.17,-113212992,-1.04,552763312,5.06
2023-08-04,BK1067,杭州亚运会,1070.37,0.41,192929840,1.57,99606896,0.81,93322944,0.76,-220647568,-1.8,27717712,0.23
2023-08-03,BK1067,杭州亚运会,1065.98,-0.34,-547771360,-6.02,-346608400,-3.81,-201162960,-2.21,137611952,1.51,410159408,4.5
2023-08-02,BK1067,杭州亚运会,1069.61,-0.23,-371904352,-4.2,-129137280,-1.46,-242767072,-2.74,-35670448,-0.4,407574816,4.61
2023-08-01,BK1067,杭州亚运会,1072.09,-0.99,-944623616,-8.43,-471878704,-4.21,-472744912,-4.22,-71995056,-0.64,1016618752,9.07
2023-07-31,BK1067,杭州亚运会,1082.83,1.57,307547056,1.82,261773808,1.55,45773248,0.27,-309191424,-1.83,1644288,0.01
2023-07-28,BK1067,杭州亚运会,1066.07,0.6900000000000001,-515804736,-4.04,-235084688,-1.84,-280720048,-2.2,-72281088,-0.5700000000000001,588085872,4.61
2023-07-27,BK1067,杭州亚运会,1058.72,-0.91,-727244464,-6.02,-294343456,-2.43,-432901008,-3.58,19039424,0.16,708205088,5.86
2023-07-26,BK1067,杭州亚运会,1068.45,-0.84,-1016138928,-7.33,-390435536,-2.8200000000000003,-625703392,-4.51,94341632,0.68,921797376,6.65
2023-07-24,BK1067,杭州亚运会,1055.33,0.12,-530964704,-4.63,-225773856,-1.97,-305190848,-2.66,41532336,0.36,489432368,4.27
2023-07-21,BK1067,杭州亚运会,1054.11,0.29,-30223552,-0.27,87311040,0.79,-117534592,-1.06,-123354048,-1.12,153577600,1.39
2023-07-20,BK1067,杭州亚运会,1051.03,-1.03,-762480512,-6.91,-364014816,-3.3,-398465696,-3.61,73141888,0.66,689338608,6.25
2023-07-19,BK1067,杭州亚运会,1061.95,0.63,13077456,0.14,-73142016,-0.81,86219472,0.95,-153687312,-1.69,140609856,1.55
2023-07-17,BK1067,杭州亚运会,1059.03,-0.11,-26536016,-0.27,-53894128,-0.54,27358112,0.28,-65787824,-0.66,92323856,0.93
2023-07-14,BK1067,杭州亚运会,1060.19,-0.04,-252429408,-2.42,-183767808,-1.76,-68661600,-0.66,19298208,0.18,233131216,2.23
2023-07-13,BK1067,杭州亚运会,1060.57,1.59,157565392,1.41,182430448,1.63,-24865056,-0.22,-138504960,-1.24,-19060416,-0.17
2023-07-12,BK1067,杭州亚运会,1043.99,-1.35,-342292448,-3.03,-189152320,-1.67,-153140128,-1.35,-66482512,-0.59,408774944,3.62
2023-07-11,BK1067,杭州亚运会,1058.23,0.53,-148564864,-1.64,9120240,0.1,-157685104,-1.74,-40172960,-0.44,188737808,2.09
2023-07-10,BK1067,杭州亚运会,1052.64,0.6000000000000001,-119529616,-1.41,-75721392,-0.9,-43808224,-0.52,-59346560,-0.7000000000000001,178876192,2.12
2023-07-07,BK1067,杭州亚运会,1046.39,-0.13,-276448368,-3.36,-152964784,-1.86,-123483584,-1.5,-20169008,-0.24,296617360,3.6
2023-07-06,BK1067,杭州亚运会,1047.75,-0.27,-155748192,-2.06,-99345792,-1.31,-56402400,-0.74,-15928144,-0.21,171676352,2.27
2023-07-05,BK1067,杭州亚运会,1050.55,-1.01,-513702864,-6.18,-265768048,-3.19,-247934816,-2.98,90049152,1.08,423653712,5.09
2023-07-04,BK1067,杭州亚运会,1061.32,0.24,-57924992,-0.61,72764880,0.77,-130689872,-1.38,-79241680,-0.84,137166672,1.45
2023-07-03,BK1067,杭州亚运会,1058.78,0.32,-312815280,-2.93,-118817072,-1.11,-193998208,-1.81,182031328,1.7000000000000002,130783952,1.22
2023-06-30,BK1067,杭州亚运会,1055.36,0.6900000000000001,-64656432,-0.71,-81141872,-0.89,16485440,0.18,-20728960,-0.23,85385376,0.93
2023-06-29,BK1067,杭州亚运会,1048.08,0.45,-119855904,-1.37,-23560016,-0.27,-96295888,-1.1,6984352,0.08,112871536,1.29
2023-06-28,BK1067,杭州亚运会,1043.4,-0.96,-783529168,-7.44,-469934032,-4.46,-313595136,-2.98,265572336,2.52,517956832,4.92
2023-06-27,BK1067,杭州亚运会,1053.53,2.25,-78541152,-0.8,-54023744,-0.55,-24517408,-0.25,-82298944,-0.84,160840064,1.64
2023-06-26,BK1067,杭州亚运会,1030.33,-3.2,-817506064,-6.41,-499014800,-3.91,-318491264,-2.5,200575568,1.57,616930576,4.84
2023-06-21,BK1067,杭州亚运会,1064.37,-2.26,-1043423392,-7.68,-569477152,-4.19,-473946240,-3.49,74281216,0.55,969142208,7.14
2023-06-20,BK1067,杭州亚运会,1088.95,-1.01,-321405216,-2.18,-108827152,-0.74,-212578064,-1.44,86078976,0.58,235326304,1.59
2023-06-19,BK1067,杭州亚运会,1100.02,0.04,-148827152,-0.87,120820976,0.7000000000000001,-269648128,-1.57,-61439744,-0.36,210267136,1.22
2023-06-16,BK1067,杭州亚运会,1099.54,0.87,435605712,3.29,656931136,4.97,-221325424,-1.67,-371970544,-2.81,-63635072,-0.48
