日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0983,核污染防治,1131.16,0.49,-101913107,-4.79,7331997,0.34,-109245104,-5.13,4443248,0.21,97469856,4.58
2023-08-11,BK0983,核污染防治,1125.68,-1.94,-214728196,-9.11,-109350052,-4.64,-105378144,-4.47,6350880,0.27,208377296,8.84
2023-08-10,BK0983,核污染防治,1147.95,-0.1,-12285864,-0.45,20661592,0.76,-32947456,-1.21,-40736448,-1.49,53022304,1.94
2023-08-09,BK0983,核污染防治,1149.05,-0.33,-285583232,-8.71,-121465728,-3.7,-164117504,-5.0,33668928,1.03,251914288,7.68
2023-08-08,BK0983,核污染防治,1152.81,-0.13,96080744,5.35,146687752,8.16,-50607008,-2.8200000000000003,-57053088,-3.17,-39027664,-2.17
2023-08-07,BK0983,核污染防治,1154.28,-0.63,-35195285,-1.63,16875435,0.78,-52070720,-2.42,-26337152,-1.22,61532432,2.86
2023-08-04,BK0983,核污染防治,1161.65,0.02,-78056669,-3.07,-53689485,-2.11,-24367184,-0.96,19966160,0.78,58090496,2.28
2023-08-03,BK0983,核污染防治,1161.45,-0.07,-3218607,-0.12,30945873,1.19,-34164480,-1.31,-10656784,-0.41,13875408,0.53
2023-08-02,BK0983,核污染防治,1162.27,-0.64,-136008347,-5.43,-54736603,-2.18,-81271744,-3.24,21998032,0.88,114010304,4.55
2023-08-01,BK0983,核污染防治,1169.73,-0.45,-348918073,-10.35,-198761097,-5.9,-150156976,-4.45,89954736,2.67,258963312,7.68
2023-07-31,BK0983,核污染防治,1175.04,1.03,5874111,0.17,-17042689,-0.5,22916800,0.68,10371408,0.31,-16245520,-0.48
2023-07-28,BK0983,核污染防治,1163.1,0.03,-53493627,-1.74,-11418699,-0.37,-42074928,-1.37,-13010160,-0.42,66503776,2.16
2023-07-27,BK0983,核污染防治,1162.79,-0.43,-223670123,-6.33,-112928827,-3.2,-110741296,-3.14,80187136,2.27,143482992,4.06
2023-07-26,BK0983,核污染防治,1167.81,-0.26,20135734,0.76,106242662,4.0,-86106928,-3.24,-40584112,-1.53,20448384,0.77
2023-07-24,BK0983,核污染防治,1155.83,0.12,-84565440,-2.6,40545632,1.25,-125111072,-3.85,-15608832,-0.48,100174304,3.08
2023-07-21,BK0983,核污染防治,1154.49,-0.03,-57140949,-2.48,2131307,0.09,-59272256,-2.5700000000000003,-16439776,-0.71,73580720,3.19
2023-07-20,BK0983,核污染防治,1154.86,-0.86,-169165378,-6.21,-32800562,-1.2,-136364816,-5.0,5797184,0.21,163368192,5.99
2023-07-19,BK0983,核污染防治,1164.83,0.16,-168590384,-6.01,-55591568,-1.98,-112998816,-4.03,16443984,0.59,152146416,5.43
2023-07-17,BK0983,核污染防治,1169.9,-0.4,-81557109,-2.58,59724075,1.89,-141281184,-4.46,-31126384,-0.98,112683488,3.56
2023-07-14,BK0983,核污染防治,1174.63,0.04,-60084932,-2.07,36718892,1.27,-96803824,-3.34,18206384,0.63,41878544,1.44
2023-07-13,BK0983,核污染防治,1174.11,0.71,-142724423,-4.17,-61504583,-1.8,-81219840,-2.38,66362768,1.94,76361632,2.23
2023-07-12,BK0983,核污染防治,1165.85,-1.49,-247272627,-7.07,-137105075,-3.92,-110167552,-3.15,112313296,3.21,134959328,3.86
