日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0577,核能核电,1778.42,0.6900000000000001,-330843536,-1.13,-69165712,-0.24,-261677824,-0.9,-329437696,-1.13,659232512,2.26
2023-06-30,BK0577,核能核电,1766.3,0.58,-364221488,-1.59,-19209008,-0.08,-345012480,-1.51,-310173952,-1.35,674118144,2.94
2023-06-29,BK0577,核能核电,1756.09,0.85,-189064064,-0.8200000000000001,15481728,0.07,-204545792,-0.88,-290361600,-1.25,479156736,2.07
2023-06-28,BK0577,核能核电,1741.23,0.55,-386591776,-1.61,-137994272,-0.58,-248597504,-1.04,-60701696,-0.25,447214848,1.87
2023-06-27,BK0577,核能核电,1731.69,2.16,-102312064,-0.44,108974464,0.47,-211286528,-0.91,-154457088,-0.67,256600832,1.11
2023-06-26,BK0577,核能核电,1695.08,-0.34,-402749344,-1.61,-71546784,-0.29,-331202560,-1.33,-87129088,-0.35000000000000003,489682432,1.96
2023-06-21,BK0577,核能核电,1700.94,-0.66,-980375184,-4.11,-900311952,-3.78,-80063232,-0.34,184094976,0.77,796311040,3.34
2023-06-20,BK0577,核能核电,1712.26,0.09,-153031168,-0.67,83735296,0.37,-236766464,-1.04,-111714816,-0.49,264677376,1.16
2023-06-19,BK0577,核能核电,1710.74,0.1,-688910688,-3.25,-213835616,-1.01,-475075072,-2.24,82588160,0.39,606071552,2.86
2023-06-16,BK0577,核能核电,1708.98,0.45,-613164064,-2.88,-386570528,-1.82,-226593536,-1.07,116494848,0.55,496664064,2.34
