日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK1081,核酸采样亭,1407.38,0.5,77735168,2.12,149495792,4.07,-71760624,-1.95,26047600,0.71,-103782768,-2.8200000000000003
2023-06-30,BK1081,核酸采样亭,1400.44,1.29,-21414928,-0.63,33784912,1.0,-55199840,-1.63,-14596576,-0.43,36011520,1.07
2023-06-29,BK1081,核酸采样亭,1382.66,1.73,-72306649,-2.13,-34295097,-1.01,-38011552,-1.12,-38801552,-1.14,111108208,3.27
2023-06-28,BK1081,核酸采样亭,1359.18,-1.33,-695916256,-14.26,-458652080,-9.4,-237264176,-4.86,183489056,3.76,512427184,10.5
2023-06-27,BK1081,核酸采样亭,1377.46,1.19,-132040512,-3.81,-73858240,-2.13,-58182272,-1.6800000000000002,-27607936,-0.8,159648464,4.61
2023-06-26,BK1081,核酸采样亭,1361.23,-1.45,-227957232,-4.13,-204688880,-3.7,-23268352,-0.42,94272160,1.71,133685072,2.42
2023-06-21,BK1081,核酸采样亭,1381.21,-2.35,-471232960,-8.55,-425552336,-7.72,-45680624,-0.8300000000000001,108448528,1.97,362784432,6.58
2023-06-20,BK1081,核酸采样亭,1414.46,0.91,363488656,4.86,253486016,3.39,110002640,1.47,-87892240,-1.18,-275596416,-3.69
2023-06-19,BK1081,核酸采样亭,1401.75,0.47,-110083936,-1.27,81981808,0.95,-192065744,-2.22,-41935488,-0.49,152019424,1.76
2023-06-16,BK1081,核酸采样亭,1395.2,1.27,531231008,9.71,539338720,9.85,-8107712,-0.15,-221913600,-4.05,-309317408,-5.65
