日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1007,植物照明,811.52,0.39,32476929,2.17,57452353,3.84,-24975424,-1.67,-2038416,-0.14,-30438496,-2.04
2023-08-11,BK1007,植物照明,808.35,-1.77,-59598489,-4.38,-25739519,-1.89,-33858970,-2.49,-14176864,-1.04,73775344,5.42
2023-08-10,BK1007,植物照明,822.91,-0.2,-117613131,-6.98,-50148443,-2.98,-67464688,-4.0,-17580048,-1.04,135193168,8.02
2023-08-09,BK1007,植物照明,824.6,-1.63,-227884311,-12.01,-66779079,-3.52,-161105232,-8.49,-12087056,-0.64,239971360,12.65
2023-08-08,BK1007,植物照明,838.27,-0.61,-93871512,-4.14,12577752,0.56,-106449264,-4.7,4994432,0.22,88877072,3.92
2023-08-07,BK1007,植物照明,843.38,-0.5700000000000001,-59570545,-3.07,4606335,0.24,-64176880,-3.3,3268464,0.17,56302080,2.9
2023-08-04,BK1007,植物照明,848.22,0.87,22565559,1.04,-23375225,-1.08,45940784,2.12,15603360,0.72,-38168944,-1.76
2023-08-03,BK1007,植物照明,840.94,-0.77,-116080342,-5.45,-19469094,-0.91,-96611248,-4.54,28331440,1.33,87748896,4.12
2023-08-02,BK1007,植物照明,847.5,0.23,-48055876,-2.7,-38296740,-2.15,-9759136,-0.55,18763168,1.05,29292704,1.64
2023-08-01,BK1007,植物照明,845.52,0.26,-28027069,-1.31,5625859,0.26,-33652928,-1.57,-12921760,-0.6000000000000001,40948848,1.91
2023-07-31,BK1007,植物照明,843.34,0.45,-69553667,-2.84,116781,0.0,-69670448,-2.85,-63267680,-2.58,132821360,5.43
