日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0501,次新股,35907.03,-0.09,-946970752,-2.5,-300459648,-0.79,-646511104,-1.71,194171904,0.51,752798976,1.99
2023-06-30,BK0501,次新股,35941.0,1.3,-768545216,-1.87,-411089344,-1.0,-357455872,-0.87,158094336,0.39,610450944,1.49
2023-06-29,BK0501,次新股,35481.14,1.63,-270914400,-0.71,309631136,0.81,-580545536,-1.53,-287473920,-0.76,558388224,1.47
2023-06-28,BK0501,次新股,34912.35,-0.63,-1636814368,-4.35,-550771488,-1.46,-1086042880,-2.89,30898944,0.08,1605915648,4.27
2023-06-27,BK0501,次新股,35134.88,0.89,-924738624,-2.89,-377398336,-1.18,-547340288,-1.71,126330880,0.4,798407936,2.5
2023-06-26,BK0501,次新股,34825.95,-2.04,-2636469728,-6.46,-1170498784,-2.87,-1465970944,-3.59,467648256,1.15,2168821248,5.31
2023-06-21,BK0501,次新股,35552.43,-2.33,-2935513024,-6.3,-1099711936,-2.36,-1835801088,-3.94,136189184,0.29,2799323648,6.01
2023-06-20,BK0501,次新股,36399.8,-0.41,-1874749744,-3.66,-928488240,-1.81,-946261504,-1.85,396735744,0.78,1478013952,2.89
2023-06-19,BK0501,次新股,36548.96,0.81,-1052362528,-2.04,-388775456,-0.75,-663587072,-1.29,168726784,0.33,883635712,1.71
2023-06-16,BK0501,次新股,36253.97,0.95,-658219136,-1.37,-187189120,-0.39,-471030016,-0.98,236857088,0.49,421361920,0.88
