日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0996,毛发医疗,963.34,-1.9,-241263154,-8.45,-113481922,-3.97,-127781232,-4.47,-50987072,-1.78,292250208,10.23
2023-07-04,BK0996,毛发医疗,982.01,-1.03,-111921217,-5.65,-40311841,-2.04,-71609376,-3.62,14467344,0.73,97453872,4.92
2023-07-03,BK0996,毛发医疗,992.24,0.03,-89394267,-3.42,-39558795,-1.51,-49835472,-1.91,-7664272,-0.29,97058528,3.72
2023-06-30,BK0996,毛发医疗,991.92,1.83,19173308,0.8200000000000001,37532924,1.6,-18359616,-0.78,16200832,0.6900000000000001,-35374160,-1.51
2023-06-29,BK0996,毛发医疗,974.05,0.07,-19316609,-0.97,-13317985,-0.67,-5998624,-0.30000000000000004,7650576,0.38,11666032,0.58
2023-06-28,BK0996,毛发医疗,973.38,-0.85,-118101512,-5.22,-21251320,-0.94,-96850192,-4.28,8095232,0.36,110006288,4.87
2023-06-27,BK0996,毛发医疗,981.72,2.78,61377525,2.31,11136917,0.42,50240608,1.89,-12147872,-0.46,-49229648,-1.85
2023-06-26,BK0996,毛发医疗,955.19,-1.07,-133807027,-5.87,-48402371,-2.12,-85404656,-3.75,51033008,2.24,82774016,3.63
2023-06-21,BK0996,毛发医疗,965.56,-1.15,-72540405,-4.27,-23486245,-1.38,-49054160,-2.89,-3470688,-0.2,76011104,4.48
2023-06-20,BK0996,毛发医疗,976.82,0.04,-20956537,-1.02,-28720937,-1.4,7764400,0.38,9618512,0.47,11338032,0.55
2023-06-19,BK0996,毛发医疗,976.45,-0.12,-61945181,-3.25,-57837357,-3.03,-4107824,-0.22,26474480,1.39,35470704,1.86
2023-06-16,BK0996,毛发医疗,977.62,0.89,-2582240,-0.12,10102832,0.46,-12685072,-0.58,-32755728,-1.49,35337968,1.61
