日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0690,氟化工,3311.81,-0.38,13320624,0.24,-7679840,-0.14,21000464,0.38,-4398944,-0.08,-8921680,-0.16
2023-07-04,BK0690,氟化工,3324.28,0.38,-109017616,-2.1,-10395984,-0.2,-98621632,-1.9,-52047760,-1.0,161065376,3.1
2023-07-03,BK0690,氟化工,3311.73,0.45,-64843264,-1.09,25128144,0.42,-89971408,-1.51,-52190640,-0.88,117033888,1.97
2023-06-30,BK0690,氟化工,3296.94,2.43,355909072,5.17,105859984,1.54,250049088,3.63,-154104032,-2.24,-201805040,-2.93
2023-06-29,BK0690,氟化工,3218.85,-0.13,-252907632,-5.79,-155843840,-3.5700000000000003,-97063792,-2.22,-34254096,-0.78,287161728,6.58
2023-06-28,BK0690,氟化工,3223.12,-0.32,-197047200,-4.6,-103672288,-2.42,-93374912,-2.18,119499488,2.79,77547696,1.81
2023-06-27,BK0690,氟化工,3233.33,2.05,-28798016,-0.59,-143277504,-2.93,114479488,2.34,16817216,0.34,11980816,0.24
2023-06-26,BK0690,氟化工,3168.38,-0.58,-339837536,-7.43,-130090880,-2.84,-209746656,-4.58,-85567856,-1.87,425405376,9.29
2023-06-21,BK0690,氟化工,3186.76,-1.38,-316711856,-6.86,-93473232,-2.02,-223238624,-4.83,-22387456,-0.48,339099328,7.34
2023-06-20,BK0690,氟化工,3231.49,0.08,-235109952,-4.43,-130584224,-2.46,-104525728,-1.97,42860608,0.81,192249344,3.63
2023-06-19,BK0690,氟化工,3228.9,-0.84,-393919712,-6.89,-166789040,-2.92,-227130672,-3.97,-7561504,-0.13,401481232,7.02
2023-06-16,BK0690,氟化工,3256.36,0.11,-293177552,-4.72,-107880368,-1.74,-185297184,-2.98,-19599136,-0.32,312776688,5.03
