日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0864,氢能源,1039.97,0.42,-858860784,-3.03,-717162736,-2.53,-141698048,-0.5,128107008,0.45,733362176,2.59
2023-09-04,BK0864,氢能源,1039.14,1.75,875264448,2.43,497763520,1.38,377500928,1.05,-393474304,-1.09,-481064448,-1.33
2023-08-31,BK0864,氢能源,1018.23,-0.89,-1854661472,-6.88,-791528544,-2.94,-1063132928,-3.94,222183168,0.8200000000000001,1632323584,6.06
2023-08-29,BK0864,氢能源,1027.32,2.5700000000000003,395746208,1.09,603924128,1.67,-208177920,-0.5700000000000001,-575229696,-1.59,182023680,0.5
2023-08-28,BK0864,氢能源,1001.6,1.23,-984187216,-2.34,-367398224,-0.87,-616788992,-1.47,301428736,0.72,682716928,1.62
2023-08-25,BK0864,氢能源,989.41,-1.06,-816058304,-3.43,-330372800,-1.39,-485685504,-2.04,-34215936,-0.14,847924224,3.5700000000000003
2023-08-24,BK0864,氢能源,1000.01,-0.41,-505781744,-1.85,-100678384,-0.37,-405103360,-1.49,-211390208,-0.77,715769088,2.62
2023-08-23,BK0864,氢能源,1004.11,-1.74,-1892946240,-7.78,-1249938240,-5.14,-643008000,-2.64,310721536,1.28,1581328896,6.5
2023-08-21,BK0864,氢能源,1026.93,-0.97,-1781333888,-6.87,-821865088,-3.17,-959468800,-3.7,197117440,0.76,1581520896,6.1
2023-08-18,BK0864,氢能源,1036.98,-0.8200000000000001,-1057209568,-4.05,-753782496,-2.89,-303427072,-1.16,160442368,0.61,894161408,3.42
2023-08-16,BK0864,氢能源,1033.31,-0.93,-1402170016,-6.44,-631760608,-2.9,-770409408,-3.54,-216660480,-1.0,1615914240,7.43
2023-08-15,BK0864,氢能源,1043.02,-0.95,-2010961728,-7.66,-1073981248,-4.09,-936980480,-3.5700000000000003,449522944,1.71,1558535168,5.94
2023-08-14,BK0864,氢能源,1053.03,-0.02,-1478103968,-5.18,-649698720,-2.28,-828405248,-2.9,-113770240,-0.4,1590502912,5.57
2023-08-11,BK0864,氢能源,1053.21,-2.06,-2509623648,-7.94,-1340947296,-4.24,-1168676352,-3.7,339150848,1.07,2168519680,6.86
2023-08-10,BK0864,氢能源,1075.35,0.44,-506043824,-1.75,-189943472,-0.66,-316100352,-1.09,-240413952,-0.8300000000000001,741093120,2.56
2023-08-09,BK0864,氢能源,1070.64,-1.1,-1705434304,-5.23,-838841536,-2.5700000000000003,-866592768,-2.66,249761792,0.77,1450278400,4.45
2023-08-08,BK0864,氢能源,1082.59,0.27,-1472058464,-4.32,-1051731808,-3.09,-420326656,-1.23,220401152,0.65,1254524672,3.68
