日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1089,汽车热管理,1155.71,1.2,236161136,2.56,169385392,1.83,66775744,0.72,-110141680,-1.19,-124169792,-1.34
2023-09-04,BK1089,汽车热管理,1148.73,1.41,156191760,1.6800000000000002,207406752,2.23,-51214992,-0.55,-236738720,-2.55,88489008,0.95
2023-08-31,BK1089,汽车热管理,1129.64,-0.48,-170768224,-2.02,67688528,0.8,-238456752,-2.8200000000000003,-117310608,-1.39,287865904,3.4
2023-08-29,BK1089,汽车热管理,1122.53,5.43,732488400,6.08,600997600,4.99,131490800,1.09,-400251456,-3.32,-331878752,-2.76
2023-08-28,BK1089,汽车热管理,1064.76,0.74,-249386368,-3.23,-127077984,-1.65,-122308384,-1.58,121042064,1.57,127819120,1.65
2023-08-25,BK1089,汽车热管理,1056.96,-2.59,-364904544,-5.99,-123294736,-2.02,-241609808,-3.97,5095008,0.08,359326752,5.9
2023-08-24,BK1089,汽车热管理,1085.06,-0.28,6957280,0.11,55069840,0.86,-48112560,-0.75,50529280,0.79,-57441840,-0.9
2023-08-23,BK1089,汽车热管理,1088.13,-1.48,-78525791,-1.31,-105881279,-1.77,27355488,0.46,120277760,2.01,-42774112,-0.71
2023-08-21,BK1089,汽车热管理,1103.26,-0.64,-193177826,-3.45,-71216370,-1.27,-121961456,-2.18,39550672,0.71,152162064,2.72
2023-08-18,BK1089,汽车热管理,1110.37,-1.08,-339239722,-5.04,-123173050,-1.83,-216066672,-3.21,-13670544,-0.2,352227040,5.24
2023-08-16,BK1089,汽车热管理,1092.4,-1.65,-430688488,-7.98,-168602680,-3.12,-262085808,-4.85,-35266288,-0.65,465854896,8.63
2023-08-15,BK1089,汽车热管理,1110.72,-1.02,-271381760,-5.05,-124785456,-2.32,-146596304,-2.73,84366944,1.57,186913296,3.48
2023-08-14,BK1089,汽车热管理,1122.17,0.64,-172886073,-2.71,-98560409,-1.54,-74325664,-1.16,-95482096,-1.49,268257968,4.2
2023-08-11,BK1089,汽车热管理,1115.04,-1.48,-385757696,-6.32,-189371072,-3.1,-196386624,-3.22,94885120,1.56,290752640,4.77
2023-08-10,BK1089,汽车热管理,1131.77,-0.30000000000000004,-354516249,-6.36,-185240505,-3.32,-169275744,-3.04,105293184,1.89,248969184,4.47
2023-08-09,BK1089,汽车热管理,1135.15,-1.61,-428561201,-6.23,-147978497,-2.15,-280582704,-4.08,-55096736,-0.8,483333456,7.03
2023-08-08,BK1089,汽车热管理,1153.73,-0.05,-202337472,-2.47,-98324032,-1.2,-104013440,-1.27,83560912,1.02,118598240,1.45
2023-08-07,BK1089,汽车热管理,1154.33,-0.09,-310733104,-3.74,-135397888,-1.63,-175335216,-2.11,139463360,1.6800000000000002,170921200,2.05
