日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK0672,沪企改革,2247.08,-0.16,-255066544,-3.0,-218013024,-2.5700000000000003,-37053520,-0.44,69769024,0.8200000000000001,185297504,2.18
2023-08-03,BK0672,沪企改革,2250.63,0.27,-88279936,-1.18,185416400,2.47,-273696336,-3.65,-106755024,-1.42,195034960,2.6
2023-08-02,BK0672,沪企改革,2244.5,0.45,-128556640,-1.65,64011024,0.8200000000000001,-192567664,-2.46,-51835728,-0.66,180392368,2.31
2023-08-01,BK0672,沪企改革,2234.53,-0.17,-437254672,-5.17,-258170016,-3.05,-179084656,-2.12,-51196480,-0.6000000000000001,488451152,5.77
2023-07-31,BK0672,沪企改革,2238.24,2.02,172272640,1.87,186475904,2.03,-14203264,-0.15,-264934336,-2.88,92661680,1.01
2023-07-28,BK0672,沪企改革,2193.95,1.21,-134343760,-2.04,-9111424,-0.14,-125232336,-1.91,-139450032,-2.12,273793792,4.17
2023-07-27,BK0672,沪企改革,2167.82,-0.5700000000000001,-240168176,-3.65,-141761888,-2.15,-98406288,-1.49,-6762976,-0.1,246931168,3.75
2023-07-26,BK0672,沪企改革,2180.29,0.43,-221740224,-3.14,-170085824,-2.41,-51654400,-0.73,146300592,2.07,75439648,1.07
2023-07-24,BK0672,沪企改革,2127.48,0.55,199715984,4.28,264555280,5.66,-64839296,-1.39,-168896944,-3.62,-30819040,-0.66
2023-07-21,BK0672,沪企改革,2115.8,0.41,-78426776,-1.95,-35543512,-0.88,-42883264,-1.07,-17359728,-0.43,95786512,2.38
2023-07-20,BK0672,沪企改革,2107.09,-0.65,-297702117,-6.79,-185738533,-4.24,-111963584,-2.56,31758720,0.72,265943392,6.07
2023-07-19,BK0672,沪企改革,2120.96,0.71,-13727184,-0.31,-31713216,-0.71,17986032,0.4,-83787584,-1.87,97514768,2.18
2023-07-17,BK0672,沪企改革,2099.37,-0.06,60070080,1.11,128029968,2.36,-67959888,-1.25,-83118848,-1.53,23048768,0.43
2023-07-14,BK0672,沪企改革,2100.67,0.24,73605584,1.69,169153408,3.88,-95547824,-2.19,-112521376,-2.58,38915808,0.89
2023-07-13,BK0672,沪企改革,2095.64,0.97,-61806560,-1.42,-41811152,-0.96,-19995408,-0.46,-80273520,-1.84,142080080,3.26
2023-07-12,BK0672,沪企改革,2075.46,-1.46,-411303900,-10.26,-260403788,-6.5,-150900112,-3.76,47331648,1.18,363972272,9.08
2023-07-11,BK0672,沪企改革,2106.17,0.38,-70038855,-2.0,-20865623,-0.6000000000000001,-49173232,-1.4,-69973424,-2.0,140012272,4.0
2023-07-10,BK0672,沪企改革,2098.3,0.25,-140130889,-4.08,-87453417,-2.55,-52677472,-1.53,43317456,1.26,96813424,2.8200000000000003
2023-07-07,BK0672,沪企改革,2093.17,0.27,-221000080,-5.02,-139004208,-3.16,-81995872,-1.86,25271984,0.5700000000000001,195728096,4.44
2023-07-06,BK0672,沪企改革,2087.48,0.17,-95237065,-2.68,-97546841,-2.74,2309776,0.06,34439232,0.97,60797840,1.71
2023-07-05,BK0672,沪企改革,2084.02,-0.87,-260986997,-5.79,-132919253,-2.95,-128067744,-2.84,165018624,3.66,95968368,2.13
2023-07-04,BK0672,沪企改革,2102.34,-0.02,-74955936,-1.45,-22807072,-0.44,-52148864,-1.01,35058416,0.68,39897504,0.77
2023-07-03,BK0672,沪企改革,2102.68,0.59,-253574320,-4.38,-215259904,-3.72,-38314416,-0.66,98056144,1.69,155518192,2.69
2023-06-30,BK0672,沪企改革,2090.34,0.86,-141791664,-2.5700000000000003,-48194752,-0.87,-93596912,-1.69,2436288,0.04,139355360,2.52
2023-06-29,BK0672,沪企改革,2072.59,0.1,-206561456,-4.22,-134724912,-2.75,-71836544,-1.47,1463680,0.03,205097744,4.19
2023-06-28,BK0672,沪企改革,2070.42,-0.17,-371361590,-8.73,-212903670,-5.01,-158457920,-3.73,127306368,2.99,244055232,5.74
2023-06-27,BK0672,沪企改革,2073.86,2.05,-98032976,-1.69,-13891056,-0.24,-84141920,-1.45,-18246640,-0.31,116279632,2.0
2023-06-26,BK0672,沪企改革,2032.24,-2.14,-441815072,-7.18,-297578704,-4.84,-144236368,-2.35,73747616,1.2,368067472,5.99
2023-06-21,BK0672,沪企改革,2076.6,-1.55,-312597968,-4.63,-223707136,-3.31,-88890832,-1.32,31181152,0.46,281416816,4.16
2023-06-20,BK0672,沪企改革,2109.22,-1.26,-261033088,-3.38,-18443216,-0.24,-242589872,-3.14,23433136,0.30000000000000004,237599952,3.07
2023-06-19,BK0672,沪企改革,2136.13,-0.97,-398694816,-4.46,-122724336,-1.37,-275970480,-3.09,94974912,1.06,303719888,3.4
2023-06-16,BK0672,沪企改革,2157.11,0.08,210679104,3.12,226242544,3.35,-15563440,-0.23,-205327712,-3.04,-5351376,-0.08
