日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0707,沪股通,1959.32,-0.61,-10462014976,-3.76,-6537526528,-2.35,-3924488448,-1.41,2408734720,0.86,8053280768,2.89
2023-07-04,BK0707,沪股通,1971.32,0.34,-6844702464,-2.19,-3433058048,-1.1,-3411644416,-1.09,773337088,0.25,6071361536,1.95
2023-07-03,BK0707,沪股通,1964.63,0.77,4580499712,1.34,3029352704,0.88,1551147008,0.45,-1813950464,-0.53,-2766548992,-0.81
2023-06-30,BK0707,沪股通,1949.55,1.08,-1222826752,-0.43,-21292544,-0.01,-1201534208,-0.43,-1456709632,-0.52,2679533568,0.95
2023-06-29,BK0707,沪股通,1928.75,0.32,-7742938880,-2.89,-4777494272,-1.79,-2965444608,-1.11,1796579328,0.67,5946359808,2.22
2023-06-28,BK0707,沪股通,1922.55,-0.06,-7261851904,-2.55,-4460723200,-1.57,-2801128704,-0.99,1222447104,0.43,6039404544,2.12
2023-06-27,BK0707,沪股通,1923.7,1.48,2423825152,0.86,2626804480,0.93,-202979328,-0.07,-828334080,-0.29,-1595490304,-0.56
2023-06-26,BK0707,沪股通,1895.66,-1.51,-16340293632,-5.07,-10401855488,-3.23,-5938438144,-1.84,535601152,0.17,15804690432,4.91
2023-06-21,BK0707,沪股通,1924.72,-1.61,-19238202880,-5.96,-13070376448,-4.05,-6167826432,-1.91,2398392320,0.74,16839802880,5.22
2023-06-20,BK0707,沪股通,1956.27,-0.30000000000000004,-10221948416,-2.95,-5633310208,-1.63,-4588638208,-1.32,234827776,0.07,9987121152,2.88
2023-06-19,BK0707,沪股通,1962.16,-0.07,-14312364032,-3.91,-8660899840,-2.37,-5651464192,-1.55,4300574720,1.18,10011791360,2.74
2023-06-16,BK0707,沪股通,1963.52,0.6000000000000001,953270784,0.28,1394950656,0.41,-441679872,-0.13,-1418588160,-0.41,465317888,0.14
