日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0563,油价相关,5791.23,0.59,-49449136,-1.15,81512400,1.9,-130961536,-3.05,-27212224,-0.63,76661376,1.79
2023-07-31,BK0563,油价相关,5757.45,1.07,-426345776,-8.33,-276412672,-5.4,-149933104,-2.93,113031552,2.21,313314208,6.13
2023-07-28,BK0563,油价相关,5696.5,0.72,-238564160,-6.0,-142889088,-3.59,-95675072,-2.41,41716560,1.05,196847600,4.95
2023-07-27,BK0563,油价相关,5655.84,-0.22,-91643392,-2.97,-72381520,-2.35,-19261872,-0.62,-107843984,-3.5,199487376,6.47
2023-07-26,BK0563,油价相关,5668.26,-0.19,-323182944,-8.94,-214473504,-5.93,-108709440,-3.01,68235248,1.89,254947680,7.05
2023-07-24,BK0563,油价相关,5580.18,0.09,-572544,-0.02,20176336,0.72,-20748880,-0.74,68263056,2.43,-67690528,-2.41
2023-07-21,BK0563,油价相关,5575.42,0.15,-22466011,-0.96,-8956315,-0.38,-13509696,-0.58,-96894544,-4.16,119360544,5.12
2023-07-20,BK0563,油价相关,5567.28,-1.01,-169463088,-6.12,-145763984,-5.26,-23699104,-0.86,30337168,1.1,139125920,5.02
2023-07-19,BK0563,油价相关,5624.21,-0.09,-323737712,-11.5,-208354592,-7.4,-115383120,-4.1,136357760,4.84,187379952,6.65
2023-07-17,BK0563,油价相关,5600.45,-0.53,35085408,1.12,-77779952,-2.47,112865360,3.59,-129203616,-4.11,94118224,2.99
2023-07-14,BK0563,油价相关,5630.05,0.17,-178054144,-5.54,-93765248,-2.92,-84288896,-2.62,32740656,1.02,145313488,4.52
2023-07-13,BK0563,油价相关,5620.51,1.21,29381936,0.62,-59092240,-1.25,88474176,1.87,-42348672,-0.89,12966720,0.27
2023-07-12,BK0563,油价相关,5553.44,-0.88,71356096,1.76,24547408,0.6000000000000001,46808688,1.15,-87738880,-2.16,16382800,0.4
2023-07-11,BK0563,油价相关,5602.9,0.45,-128448096,-6.29,-3822208,-0.19,-124625888,-6.11,-44193664,-2.17,172641744,8.46
2023-07-10,BK0563,油价相关,5577.92,-0.36,-140893472,-5.54,-63391664,-2.49,-77501808,-3.05,-22695312,-0.89,163588800,6.44
2023-07-07,BK0563,油价相关,5598.1,0.31,41752976,1.46,-61264576,-2.14,103017552,3.6,32467728,1.14,-74220688,-2.6
2023-07-06,BK0563,油价相关,5580.91,0.13,84290016,3.16,-94630448,-3.55,178920464,6.71,-48088080,-1.8,-36201936,-1.36
2023-07-05,BK0563,油价相关,5573.56,-0.34,35742912,1.56,-30251488,-1.32,65994400,2.88,-3112256,-0.14,-32630656,-1.43
2023-07-04,BK0563,油价相关,5592.57,0.11,-6716688,-0.2,-37420352,-1.14,30703664,0.93,-110435968,-3.35,117152672,3.55
2023-07-03,BK0563,油价相关,5586.62,3.11,603695712,10.16,195327744,3.29,408367968,6.88,-123435648,-2.08,-480260064,-8.09
2023-06-30,BK0563,油价相关,5417.96,0.88,34766768,1.55,1843728,0.08,32923040,1.47,-47764976,-2.13,12998208,0.58
2023-06-29,BK0563,油价相关,5370.83,-0.41,-94377520,-3.31,-54081200,-1.89,-40296320,-1.41,30841840,1.08,63535680,2.23
2023-06-28,BK0563,油价相关,5392.92,0.53,144110944,5.09,13877904,0.49,130233040,4.6,-84994256,-3.0,-59116688,-2.09
2023-06-27,BK0563,油价相关,5364.23,2.36,135909792,3.48,62728784,1.6,73181008,1.87,-63456256,-1.62,-72453552,-1.85
2023-06-26,BK0563,油价相关,5240.61,-1.55,-101647968,-2.95,-198385344,-5.76,96737376,2.81,26195776,0.76,75452208,2.19
2023-06-21,BK0563,油价相关,5322.91,-0.15,413866960,10.63,-11989664,-0.31,425856624,10.94,-205903264,-5.29,-207963712,-5.34
2023-06-20,BK0563,油价相关,5331.1,-1.42,-57419824,-1.61,-50933472,-1.42,-6486352,-0.18,-24080256,-0.67,81500064,2.28
2023-06-19,BK0563,油价相关,5408.08,-0.4,-182312672,-4.57,-290397216,-7.28,108084544,2.71,50549504,1.27,131763168,3.3
2023-06-16,BK0563,油价相关,5429.88,1.2,198868240,5.25,117749936,3.11,81118304,2.14,-115822736,-3.06,-83045488,-2.19
