日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK0606,油气设服,1472.29,0.89,-38181472,-0.54,91703920,1.3,-129885392,-1.85,-161500944,-2.3,198954224,2.83
2023-07-12,BK0606,油气设服,1459.35,-0.04,-105813968,-1.51,11722992,0.17,-117536960,-1.6800000000000002,-66369344,-0.95,166640448,2.38
2023-07-11,BK0606,油气设服,1459.94,0.7000000000000001,-211429658,-4.0,-71977002,-1.36,-139452656,-2.64,-1157984,-0.02,205707392,3.89
2023-07-10,BK0606,油气设服,1449.78,-0.16,-265830928,-5.26,-173223040,-3.43,-92607888,-1.83,-37227072,-0.74,298312352,5.9
2023-07-07,BK0606,油气设服,1452.14,-0.51,-446459600,-7.22,-270347136,-4.37,-176112464,-2.85,56750640,0.92,387924656,6.27
2023-07-06,BK0606,油气设服,1459.61,-0.1,-250932096,-3.12,-68716960,-0.85,-182215136,-2.26,-71592720,-0.89,311003008,3.86
2023-07-05,BK0606,油气设服,1461.03,0.24,-389793424,-5.9,-216866336,-3.28,-172927088,-2.62,52385840,0.79,342018000,5.18
2023-07-04,BK0606,油气设服,1457.48,0.26,-163516832,-2.62,-119643792,-1.92,-43873040,-0.7000000000000001,-71257840,-1.14,234618736,3.77
2023-07-03,BK0606,油气设服,1453.76,1.07,-192886384,-2.62,-39185872,-0.53,-153700512,-2.09,12155552,0.17,179555808,2.44
2023-06-30,BK0606,油气设服,1438.37,0.87,-32736880,-0.56,87779120,1.5,-120516000,-2.06,-179712144,-3.07,211972496,3.62
2023-06-29,BK0606,油气设服,1426.03,0.14,-261798048,-4.78,-106506560,-1.95,-155291488,-2.84,16934768,0.31,244514176,4.47
2023-06-28,BK0606,油气设服,1423.98,0.25,-466829440,-6.45,-161142752,-2.22,-305686688,-4.22,67309184,0.93,399179568,5.51
2023-06-27,BK0606,油气设服,1420.49,2.81,-123872864,-1.45,29090624,0.34,-152963488,-1.8,160532720,1.89,-36191984,-0.43
2023-06-26,BK0606,油气设服,1381.64,-0.5700000000000001,-119467360,-1.75,-60621232,-0.89,-58846128,-0.86,37833088,0.55,80904864,1.18
2023-06-21,BK0606,油气设服,1389.61,-0.54,-671674288,-9.05,-441034320,-5.94,-230639968,-3.11,225163680,3.03,445826064,6.0
2023-06-20,BK0606,油气设服,1397.14,-0.86,-447720608,-5.8,-150885168,-1.95,-296835440,-3.84,55804032,0.72,390855760,5.06
2023-06-19,BK0606,油气设服,1409.25,-0.7000000000000001,-929557232,-10.65,-427599712,-4.9,-501957520,-5.75,261684480,3.0,667006576,7.64
2023-06-16,BK0606,油气设服,1419.17,1.28,242509760,2.4,438485152,4.35,-195975392,-1.94,-236682448,-2.35,-6324800,-0.06
