日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK0973,注射器概念,1154.73,0.6900000000000001,14621924,1.45,-6927596,-0.6900000000000001,21549520,2.13,-7865872,-0.78,-6756048,-0.67
2023-08-02,BK0973,注射器概念,1146.78,-0.96,-24149425,-3.1,-996959,-0.13,-23152466,-2.98,-46771055,-6.01,70920480,9.12
2023-08-01,BK0973,注射器概念,1157.95,-0.93,-85348274,-8.02,-59112992,-5.55,-26235282,-2.47,-12389056,-1.16,97737328,9.18
2023-07-31,BK0973,注射器概念,1168.86,-0.81,-49650508,-3.99,-25266972,-2.03,-24383536,-1.96,17751680,1.43,31898816,2.56
2023-07-28,BK0973,注射器概念,1178.4,0.32,-55312689,-6.32,-16313080,-1.86,-38999609,-4.46,-1927104,-0.22,57239792,6.54
2023-07-27,BK0973,注射器概念,1174.66,-0.44,-44462957,-5.46,-33635688,-4.13,-10827269,-1.33,-22260272,-2.73,66723231,8.19
2023-07-26,BK0973,注射器概念,1179.85,0.31,-12367555,-1.51,-9635835,-1.18,-2731720,-0.33,-14025296,-1.72,26392864,3.23
2023-07-24,BK0973,注射器概念,1162.61,0.5700000000000001,-68206856,-6.25,-35539096,-3.25,-32667760,-2.99,9562432,0.88,58644432,5.37
2023-07-21,BK0973,注射器概念,1156.07,0.26,-24364565,-2.37,8294385,0.81,-32658950,-3.18,-7887808,-0.77,32252368,3.14
2023-07-20,BK0973,注射器概念,1153.11,-0.78,-7856606,-0.89,-13329643,-1.52,5473037,0.62,-26374112,-3.0,34230720,3.9
2023-07-19,BK0973,注射器概念,1162.21,-0.59,6632869,1.03,14099240,2.19,-7466371,-1.16,-32429800,-5.03,25796924,4.0
2023-07-17,BK0973,注射器概念,1174.67,-1.0,-85777382,-10.1,-32600341,-3.84,-53177041,-6.26,25631244,3.02,60146128,7.08
2023-07-14,BK0973,注射器概念,1186.49,-0.38,-8511719,-0.8,-15091755,-1.43,6580036,0.62,-8167392,-0.77,16679104,1.58
2023-07-13,BK0973,注射器概念,1190.99,1.31,-12578441,-1.27,14058634,1.42,-26637075,-2.7,-22996400,-2.33,35574848,3.6
2023-07-12,BK0973,注射器概念,1175.64,-1.07,-2201427,-0.26,9619332,1.13,-11820759,-1.39,21334128,2.51,-19132704,-2.25
2023-07-11,BK0973,注射器概念,1188.35,0.37,-72348817,-9.94,-24772884,-3.4,-47575933,-6.54,6771885,0.93,65576929,9.01
2023-07-10,BK0973,注射器概念,1183.92,-0.18,-9363716,-0.87,-16433838,-1.52,7070122,0.65,-11740464,-1.08,21104192,1.95
2023-07-07,BK0973,注射器概念,1186.07,-0.26,-44164594,-6.19,-23924976,-3.35,-20239618,-2.84,19110765,2.68,25053834,3.51
2023-07-06,BK0973,注射器概念,1189.2,-0.62,-71754222,-8.47,-19918724,-2.35,-51835498,-6.12,-18468160,-2.18,90222381,10.65
2023-07-05,BK0973,注射器概念,1196.67,-0.41,-6979521,-0.68,-9795667,-0.96,2816146,0.27,-2593776,-0.25,9573296,0.93
2023-07-04,BK0973,注射器概念,1201.64,0.03,-53620162,-6.02,-22993448,-2.58,-30626714,-3.44,10526256,1.18,43093904,4.83
2023-07-03,BK0973,注射器概念,1201.29,0.46,-75279763,-5.68,-27740787,-2.09,-47538976,-3.58,16114784,1.22,59164992,4.46
2023-06-30,BK0973,注射器概念,1195.81,1.69,123724566,7.71,52266950,3.26,71457616,4.45,-39508800,-2.46,-84215760,-5.25
2023-06-29,BK0973,注射器概念,1175.9,0.77,-38510551,-4.92,-10970322,-1.4,-27540229,-3.52,27965850,3.5700000000000003,10544704,1.35
2023-06-28,BK0973,注射器概念,1166.92,0.01,7156301,0.79,9086720,1.01,-1930419,-0.21,-27507056,-3.05,20350752,2.26
2023-06-27,BK0973,注射器概念,1166.84,1.82,-90242060,-7.25,-24055918,-1.93,-66186142,-5.32,-14452976,-1.16,104695040,8.41
2023-06-26,BK0973,注射器概念,1145.96,-1.29,-49220166,-5.38,-24643506,-2.69,-24576660,-2.69,-15719200,-1.72,64939344,7.1
2023-06-21,BK0973,注射器概念,1160.9,-2.06,-86842556,-8.41,-8900575,-0.86,-77941981,-7.55,-21457008,-2.08,108299568,10.48
2023-06-20,BK0973,注射器概念,1185.3,-0.64,-111721713,-9.79,-33901077,-2.97,-77820636,-6.82,-19451296,-1.71,131173008,11.5
2023-06-19,BK0973,注射器概念,1192.94,-0.75,-160159976,-11.81,-68641704,-5.06,-91518272,-6.75,29894848,2.2,130265120,9.6
2023-06-16,BK0973,注射器概念,1201.9,-0.54,-91485098,-7.63,5634601,0.47,-97119699,-8.1,37618848,3.14,53866256,4.49
