日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0906,流感,1518.16,-1.21,-825430816,-5.69,-506112112,-3.49,-319318704,-2.2,-135129344,-0.93,960560384,6.62
2023-07-31,BK0906,流感,1536.74,-0.74,-777388144,-4.57,-248913600,-1.46,-528474544,-3.11,-202064640,-1.19,979452672,5.76
2023-07-28,BK0906,流感,1548.13,0.64,-295320832,-2.59,-165907536,-1.45,-129413296,-1.13,-213004512,-1.87,508325360,4.45
2023-07-27,BK0906,流感,1538.33,-0.56,-368854448,-4.27,-202450832,-2.34,-166403616,-1.93,61240816,0.71,307613648,3.56
2023-07-26,BK0906,流感,1547.02,0.41,-195642288,-1.85,-117680528,-1.11,-77961760,-0.74,55767440,0.53,139874848,1.32
2023-07-24,BK0906,流感,1530.55,0.86,-182982432,-1.91,-101771760,-1.06,-81210672,-0.85,14944448,0.16,168037984,1.75
2023-07-21,BK0906,流感,1517.51,0.96,49650784,0.53,18917360,0.2,30733424,0.33,-26006720,-0.28,-23644048,-0.25
2023-07-20,BK0906,流感,1503.03,-0.36,-213502400,-2.74,-91239808,-1.17,-122262592,-1.57,-124797904,-1.6,338300320,4.35
2023-07-19,BK0906,流感,1508.53,-0.30000000000000004,-246809424,-3.56,-103859584,-1.5,-142949840,-2.06,-29593664,-0.43,276403088,3.98
2023-07-17,BK0906,流感,1520.77,0.0,-152096352,-1.43,-42366272,-0.4,-109730080,-1.03,22321744,0.21,129774608,1.22
2023-07-14,BK0906,流感,1520.83,-0.38,-277111712,-3.15,-119626320,-1.36,-157485392,-1.79,12343392,0.14,264768336,3.01
2023-07-13,BK0906,流感,1526.67,0.64,-346098928,-2.96,-192679664,-1.65,-153419264,-1.31,-175551920,-1.5,521650992,4.47
2023-07-12,BK0906,流感,1517.02,-1.35,-610768800,-6.6,-306133552,-3.31,-304635248,-3.29,56629152,0.61,554139648,5.98
2023-07-11,BK0906,流感,1537.83,0.45,-231772896,-2.71,-88580336,-1.04,-143192560,-1.6800000000000002,-152560048,-1.79,384332928,4.5
2023-07-10,BK0906,流感,1530.92,0.09,-279031200,-2.65,-83773152,-0.8,-195258048,-1.85,130473152,1.24,148558048,1.41
2023-07-07,BK0906,流感,1529.57,-0.01,-341101200,-3.76,-217577072,-2.4,-123524128,-1.36,-10873248,-0.12,351974448,3.88
2023-07-06,BK0906,流感,1529.66,-1.42,-881822208,-7.71,-479977424,-4.19,-401844784,-3.51,4819296,0.04,877002944,7.66
2023-07-05,BK0906,流感,1551.71,-0.41,-276967504,-2.24,-223721472,-1.81,-53246032,-0.43,-111707008,-0.9,388674608,3.14
2023-07-04,BK0906,流感,1558.17,-0.07,-231309024,-1.86,-110814880,-0.89,-120494144,-0.97,-49190544,-0.4,280499456,2.26
2023-07-03,BK0906,流感,1559.27,-0.1,-317758224,-2.4,-98302912,-0.74,-219455312,-1.66,72843520,0.55,244914688,1.85
2023-06-30,BK0906,流感,1560.78,1.12,-100778224,-0.78,109631120,0.85,-210409344,-1.63,52662272,0.41,48115968,0.37
2023-06-29,BK0906,流感,1543.42,0.93,-104898064,-1.04,12765232,0.13,-117663296,-1.16,55596960,0.55,49301104,0.49
2023-06-28,BK0906,流感,1529.24,-0.35000000000000003,-444493920,-4.86,-150701984,-1.65,-293791936,-3.21,161484432,1.76,283009488,3.09
2023-06-27,BK0906,流感,1534.62,2.01,11721168,0.11,-34367888,-0.33,46089056,0.44,-170294208,-1.62,158573040,1.51
2023-06-26,BK0906,流感,1504.44,-1.28,-576461248,-4.68,-315892688,-2.5700000000000003,-260568560,-2.12,-85038112,-0.6900000000000001,661499392,5.37
2023-06-21,BK0906,流感,1523.91,-1.38,-793005856,-7.17,-363294864,-3.28,-429710992,-3.88,38723632,0.35000000000000003,754282256,6.82
2023-06-20,BK0906,流感,1545.24,-0.47,-332769056,-2.68,-301453344,-2.42,-31315712,-0.25,155255360,1.25,177513776,1.43
2023-06-19,BK0906,流感,1552.54,-0.42,-576960768,-4.53,-279030912,-2.19,-297929856,-2.34,317718080,2.49,259242672,2.03
2023-06-16,BK0906,流感,1559.07,-0.05,-491360224,-4.51,-322110816,-2.96,-169249408,-1.55,174208288,1.6,317151936,2.91
