日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0623,海洋经济,2290.22,1.11,90475594,2.19,108516570,2.63,-18040976,-0.44,-67729680,-1.64,-22745920,-0.55
2023-08-09,BK0623,海洋经济,2265.1,-0.94,-266104361,-7.31,-141490985,-3.88,-124613376,-3.42,4474768,0.12,261629584,7.18
2023-08-08,BK0623,海洋经济,2286.52,-0.1,-371771600,-8.58,-171732912,-3.96,-200038688,-4.61,30406800,0.7000000000000001,341364800,7.87
2023-08-07,BK0623,海洋经济,2288.89,-0.41,-210086792,-5.77,-64542456,-1.77,-145544336,-4.0,-60861664,-1.67,270948480,7.44
2023-08-04,BK0623,海洋经济,2298.24,-0.48,-185338384,-3.81,-181625504,-3.74,-3712880,-0.08,77481248,1.59,107857168,2.22
2023-08-03,BK0623,海洋经济,2309.43,0.14,-144572400,-3.05,-15412048,-0.32,-129160352,-2.72,-54523936,-1.15,199096336,4.2
2023-08-02,BK0623,海洋经济,2306.26,-0.7000000000000001,-396622432,-6.85,-227046688,-3.92,-169575744,-2.93,573200,0.01,396049248,6.84
2023-08-01,BK0623,海洋经济,2322.48,0.34,-197451360,-3.45,-25134336,-0.44,-172317024,-3.01,93938448,1.64,103512896,1.81
2023-07-31,BK0623,海洋经济,2314.51,1.76,48090640,0.8300000000000001,-98323648,-1.7000000000000002,146414288,2.53,-79283200,-1.37,31192560,0.54
2023-07-28,BK0623,海洋经济,2274.49,0.91,-180625120,-3.86,14876608,0.32,-195501728,-4.18,-109242352,-2.34,289867488,6.2
2023-07-27,BK0623,海洋经济,2254.04,-0.64,-395098752,-9.54,-236808704,-5.72,-158290048,-3.82,44822000,1.08,350276752,8.46
2023-07-26,BK0623,海洋经济,2268.5,-0.43,-153581936,-3.93,-44235392,-1.13,-109346544,-2.8,-591632,-0.02,154173568,3.95
2023-07-24,BK0623,海洋经济,2255.08,-0.30000000000000004,-152226399,-4.89,-64777199,-2.08,-87449200,-2.81,-15893712,-0.51,168120096,5.41
2023-07-21,BK0623,海洋经济,2261.76,0.48,-160311214,-4.35,-69125550,-1.87,-91185664,-2.47,9412816,0.26,150898400,4.09
2023-07-20,BK0623,海洋经济,2251.01,-0.9,-414978493,-10.42,-144322237,-3.62,-270656256,-6.79,21866144,0.55,393112336,9.87
2023-07-19,BK0623,海洋经济,2271.36,0.05,-78119280,-1.8,16447200,0.38,-94566480,-2.17,-20021056,-0.46,98140352,2.26
2023-07-17,BK0623,海洋经济,2259.49,-0.56,-169254496,-3.26,-62157264,-1.2,-107097232,-2.06,37319184,0.72,131935312,2.54
2023-07-14,BK0623,海洋经济,2272.28,0.37,139096880,2.17,95636064,1.49,43460816,0.68,104989120,1.64,-244086016,-3.8
2023-07-13,BK0623,海洋经济,2263.83,0.84,3777504,0.09,39437712,0.98,-35660208,-0.89,-31629200,-0.79,27851728,0.6900000000000001
2023-07-12,BK0623,海洋经济,2244.97,-1.33,-369206384,-8.28,-112974208,-2.53,-256232176,-5.75,5368944,0.12,363837440,8.16
2023-07-11,BK0623,海洋经济,2275.28,-0.03,-142114336,-3.47,-53115216,-1.3,-88999120,-2.17,-44009792,-1.07,186124160,4.54
2023-07-10,BK0623,海洋经济,2276.05,-0.89,-458970784,-8.28,-194028800,-3.5,-264941984,-4.78,52704176,0.95,406266592,7.33
2023-07-07,BK0623,海洋经济,2296.42,0.5700000000000001,-319858288,-5.44,-159627280,-2.72,-160231008,-2.73,167967248,2.86,151891040,2.58
2023-07-06,BK0623,海洋经济,2283.3,0.25,-141594000,-3.13,-36898064,-0.81,-104695936,-2.31,133105872,2.94,8488112,0.19
2023-07-05,BK0623,海洋经济,2277.5,-0.85,-360044496,-7.33,-96635792,-1.97,-263408704,-5.36,43471936,0.89,316572544,6.45
2023-07-04,BK0623,海洋经济,2297.04,-0.2,76888320,1.08,2617936,0.04,74270384,1.04,-40487680,-0.5700000000000001,-36400640,-0.51
2023-07-03,BK0623,海洋经济,2301.73,2.1,437511312,6.18,275363440,3.89,162147872,2.29,-143628192,-2.03,-293883120,-4.15
2023-06-30,BK0623,海洋经济,2254.31,0.63,-195550976,-4.04,-44661808,-0.92,-150889168,-3.12,-35070768,-0.72,230621760,4.76
