日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK0724,海绵城市,798.88,0.77,43534528,1.06,63102480,1.53,-19567952,-0.47,-74929760,-1.82,31395216,0.76
2023-07-12,BK0724,海绵城市,792.8,-1.89,-675041684,-14.1,-384365316,-8.03,-290676368,-6.07,60332752,1.26,614708944,12.84
2023-07-11,BK0724,海绵城市,808.08,0.88,59144592,1.43,4674208,0.11,54470384,1.31,-94131360,-2.27,34986768,0.84
2023-07-10,BK0724,海绵城市,801.02,0.55,395980,0.01,-95297684,-2.62,95693664,2.64,39716016,1.09,-40111984,-1.1
2023-07-07,BK0724,海绵城市,796.61,-0.38,-304200390,-7.77,-233775830,-5.97,-70424560,-1.8,63375568,1.62,240824832,6.15
2023-07-06,BK0724,海绵城市,799.65,-0.38,478992,0.01,-48776160,-1.2,49255152,1.21,3594128,0.09,-4073136,-0.1
2023-07-05,BK0724,海绵城市,802.67,-0.15,-146125584,-3.29,16534560,0.37,-162660144,-3.66,-44461920,-1.0,190587520,4.29
2023-07-04,BK0724,海绵城市,803.9,-0.16,-68777228,-1.97,24080708,0.6900000000000001,-92857936,-2.65,-23668048,-0.68,92445248,2.64
2023-07-03,BK0724,海绵城市,805.17,0.9,18277440,0.4,-8829088,-0.19,27106528,0.59,-38788320,-0.85,20510864,0.45
2023-06-30,BK0724,海绵城市,798.0,0.75,-16689808,-0.4,-4097872,-0.1,-12591936,-0.30000000000000004,-28826080,-0.6900000000000001,45515872,1.08
2023-06-29,BK0724,海绵城市,792.09,0.32,-103085568,-2.55,-62630672,-1.55,-40454896,-1.0,-17583712,-0.43,120669280,2.98
2023-06-28,BK0724,海绵城市,789.57,0.13,-207114832,-4.23,-56962672,-1.16,-150152160,-3.07,7676064,0.16,199438752,4.07
2023-06-27,BK0724,海绵城市,788.57,2.72,199834448,4.1,176655728,3.62,23178720,0.48,-94701264,-1.94,-105133184,-2.16
2023-06-26,BK0724,海绵城市,767.71,-1.39,-535816528,-10.21,-385876224,-7.35,-149940304,-2.86,145018656,2.76,390797856,7.44
2023-06-21,BK0724,海绵城市,778.55,-1.36,-741502544,-12.45,-540920896,-9.08,-200581648,-3.37,130984608,2.2,610517936,10.25
2023-06-20,BK0724,海绵城市,789.25,-1.76,-818192880,-12.22,-353924960,-5.29,-464267920,-6.93,157029104,2.35,661163792,9.87
2023-06-19,BK0724,海绵城市,803.43,-0.53,-451644576,-6.1,-182522560,-2.46,-269122016,-3.63,44064144,0.59,407580416,5.5
2023-06-16,BK0724,海绵城市,807.68,1.33,463901520,5.91,520877552,6.63,-56976032,-0.73,-89118624,-1.13,-374782896,-4.77
