日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1138,液冷概念,896.59,0.01,-237387888,-1.56,-107668112,-0.71,-129719776,-0.85,12896512,0.08,237928704,1.56
2023-07-05,BK1138,液冷概念,896.49,-1.0,-1617616144,-11.66,-750508384,-5.41,-867107760,-6.25,453370880,3.27,1142020688,8.23
2023-07-04,BK1138,液冷概念,905.51,0.23,-572010240,-4.13,-117081232,-0.85,-454929008,-3.29,81924864,0.59,474763504,3.43
2023-07-03,BK1138,液冷概念,903.45,-0.56,-754895424,-4.57,-626499904,-3.79,-128395520,-0.78,221112576,1.34,507866976,3.07
2023-06-30,BK1138,液冷概念,908.5,1.6800000000000002,168876800,0.94,29706752,0.17,139170048,0.78,-119210240,-0.66,-47398912,-0.26
2023-06-29,BK1138,液冷概念,893.47,0.38,-1490180192,-7.24,-616221792,-2.99,-873958400,-4.25,515405824,2.5,971097184,4.72
2023-06-28,BK1138,液冷概念,890.11,-2.66,-1050636512,-7.86,-658614976,-4.93,-392021536,-2.93,108398752,0.81,955398304,7.15
2023-06-27,BK1138,液冷概念,914.47,1.2,-848626672,-5.24,-456455744,-2.8200000000000003,-392170928,-2.42,331295744,2.05,512308112,3.16
2023-06-26,BK1138,液冷概念,903.63,-5.01,-1523352832,-6.52,-523280640,-2.24,-1000072192,-4.28,-201318144,-0.86,1665515824,7.13
2023-06-21,BK1138,液冷概念,951.33,-2.92,-1838746272,-7.51,-1337391008,-5.46,-501355264,-2.05,135748352,0.55,1664247104,6.79
2023-06-20,BK1138,液冷概念,979.93,-1.6800000000000002,-2467715584,-8.19,-1910807296,-6.34,-556908288,-1.85,531019264,1.76,1896929536,6.3
2023-06-19,BK1138,液冷概念,996.69,4.06,1066540032,3.48,1517980160,4.95,-451440128,-1.47,-499114240,-1.63,-492018176,-1.6
2023-06-16,BK1138,液冷概念,957.8,2.09,579636864,2.28,986164864,3.88,-406528000,-1.6,-349777152,-1.38,-199402240,-0.78
