日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0549,深圳特区,26056.64,0.91,-223118336,-0.33,287668736,0.42,-510787072,-0.75,-270496256,-0.4,493614592,0.73
2023-09-04,BK0549,深圳特区,25885.0,1.3,1389467136,1.99,659834368,0.94,729632768,1.04,-813642752,-1.16,-575824640,-0.8200000000000001
2023-08-31,BK0549,深圳特区,25630.0,-0.8,-3236877824,-4.5,-1778323968,-2.47,-1458553856,-2.03,296242176,0.41,2940635392,4.09
2023-08-29,BK0549,深圳特区,25609.48,3.96,935219456,0.95,1102146560,1.12,-166927104,-0.17,-687041024,-0.7000000000000001,-248178176,-0.25
2023-08-28,BK0549,深圳特区,24633.53,1.15,-470217216,-0.44,1674823168,1.56,-2145040384,-2.0,-168972032,-0.16,639189504,0.6000000000000001
2023-08-25,BK0549,深圳特区,24353.61,-2.04,-2446151936,-3.67,-878679296,-1.32,-1567472640,-2.35,155884800,0.23,2290266880,3.44
2023-08-24,BK0549,深圳特区,24860.84,-0.07,-94215424,-0.15,479326464,0.75,-573541888,-0.9,-652151552,-1.02,746366720,1.17
2023-08-23,BK0549,深圳特区,24877.54,-1.96,-3103881456,-5.49,-1446999536,-2.56,-1656881920,-2.93,387769088,0.6900000000000001,2716112128,4.8100000000000005
2023-08-21,BK0549,深圳特区,25157.93,-0.62,-2322156288,-3.88,-1122603008,-1.88,-1199553280,-2.01,50892032,0.09,2271264256,3.8
2023-08-18,BK0549,深圳特区,25314.27,-1.65,-2858476800,-4.66,-813639680,-1.33,-2044837120,-3.33,61158912,0.1,2797318400,4.5600000000000005
2023-08-16,BK0549,深圳特区,25449.58,-0.8,-1719331072,-2.73,-817876480,-1.3,-901454592,-1.43,368212736,0.59,1351117824,2.15
2023-08-15,BK0549,深圳特区,25654.66,-0.9,-1871638784,-3.07,-928783104,-1.52,-942855680,-1.54,-219910656,-0.36,2091549440,3.43
2023-08-14,BK0549,深圳特区,25886.84,0.49,-2571322880,-3.68,-991916800,-1.42,-1579406080,-2.26,-310102528,-0.44,2881425408,4.12
2023-08-11,BK0549,深圳特区,25759.73,-1.89,-4777538048,-6.87,-2496239616,-3.59,-2281298432,-3.28,239876096,0.35000000000000003,4537661952,6.53
2023-08-10,BK0549,深圳特区,26254.65,0.09,-1949224960,-3.21,-1033326848,-1.7000000000000002,-915898112,-1.51,-214895104,-0.35000000000000003,2164120320,3.56
2023-08-09,BK0549,深圳特区,26232.23,-0.91,-3547994880,-5.26,-1580675584,-2.34,-1967319296,-2.92,277430016,0.41,3270564608,4.85
2023-08-08,BK0549,深圳特区,26473.77,-0.52,-2954228992,-3.93,-1328067072,-1.77,-1626161920,-2.16,403016192,0.54,2551213056,3.39
2023-08-07,BK0549,深圳特区,26611.54,-0.46,-3852654080,-4.26,-2259725568,-2.5,-1592928512,-1.76,-8752896,-0.01,3861406976,4.27
2023-08-04,BK0549,深圳特区,26733.28,0.67,464097280,0.45,1202973440,1.15,-738876160,-0.71,-640781056,-0.62,176683776,0.17
2023-08-03,BK0549,深圳特区,26554.59,-0.01,748287488,0.96,1801211136,2.3,-1052923648,-1.35,-478390784,-0.61,-269896704,-0.35000000000000003
2023-08-02,BK0549,深圳特区,26557.28,0.23,-2176307200,-2.93,-496164608,-0.67,-1680142592,-2.26,264951552,0.36,1911355648,2.5700000000000003
2023-08-01,BK0549,深圳特区,26497.27,-0.35000000000000003,-2306183168,-2.63,-939217920,-1.07,-1366965248,-1.56,-83444224,-0.1,2389627392,2.73
2023-07-31,BK0549,深圳特区,26590.91,0.92,-1048810496,-0.97,-1998080,0.0,-1046812416,-0.97,-163696384,-0.15,1212506624,1.12
2023-07-28,BK0549,深圳特区,26348.1,0.62,4410655744,4.69,5238471168,5.57,-827815424,-0.88,-2837206784,-3.02,-1573449216,-1.67
2023-07-27,BK0549,深圳特区,26186.15,-1.15,-2955363328,-4.28,-1003604480,-1.45,-1951758848,-2.8200000000000003,-139983872,-0.2,3095346944,4.48
2023-07-26,BK0549,深圳特区,26491.82,-0.73,-3421824512,-4.62,-1639119104,-2.21,-1782705408,-2.41,160057600,0.22,3261766656,4.4
2023-07-24,BK0549,深圳特区,26195.55,0.16,-1437120256,-2.5,-535159296,-0.93,-901960960,-1.57,-36278016,-0.06,1473398528,2.56
2023-07-21,BK0549,深圳特区,26154.22,-0.46,-2651574528,-4.38,-937527296,-1.55,-1714047232,-2.83,-374762240,-0.62,3026336512,5.0
2023-07-20,BK0549,深圳特区,26274.74,-1.48,-4141859072,-6.03,-2457899520,-3.58,-1683959552,-2.45,-531758336,-0.77,4673617152,6.8
2023-07-19,BK0549,深圳特区,26668.97,-0.19,-3002420224,-4.96,-1471355904,-2.43,-1531064320,-2.53,-89252608,-0.15,3091673088,5.11
2023-07-17,BK0549,深圳特区,26759.37,-0.23,-2503975680,-3.67,-877548800,-1.29,-1626426880,-2.38,207164416,0.30000000000000004,2296811008,3.36
2023-07-14,BK0549,深圳特区,26821.96,0.39,-630564608,-0.81,281907968,0.36,-912472576,-1.17,-222839808,-0.29,853404416,1.09
2023-07-13,BK0549,深圳特区,26718.05,1.35,2122081792,2.65,2327530240,2.9,-205448448,-0.26,-1669402880,-2.08,-452679168,-0.56
2023-07-12,BK0549,深圳特区,26362.19,-1.64,-4615267072,-6.23,-2759090944,-3.73,-1856176128,-2.51,668959488,0.9,3946307584,5.33
2023-07-11,BK0549,深圳特区,26802.93,0.93,64504320,0.1,689196032,1.03,-624691712,-0.93,-583948288,-0.87,519444224,0.77
2023-07-10,BK0549,深圳特区,26555.78,0.02,-1671242496,-2.69,-1002240768,-1.61,-669001728,-1.08,263506432,0.42,1407736320,2.27
2023-07-07,BK0549,深圳特区,26550.92,-0.8200000000000001,-3130102528,-4.76,-1401179648,-2.13,-1728922880,-2.63,182890752,0.28,2947211520,4.48
2023-07-06,BK0549,深圳特区,26771.77,0.05,-1650937088,-2.3,-429190400,-0.6000000000000001,-1221746688,-1.7000000000000002,10897152,0.02,1640039936,2.28
2023-07-05,BK0549,深圳特区,26758.29,-0.73,-3182871808,-4.26,-1802390528,-2.41,-1380481280,-1.85,196767488,0.26,2986104320,3.99
2023-07-04,BK0549,深圳特区,26953.74,0.71,-1557022976,-1.97,-288424448,-0.37,-1268598528,-1.61,62058496,0.08,1494964736,1.89
2023-07-03,BK0549,深圳特区,26763.44,0.30000000000000004,521372160,0.53,911151360,0.93,-389779200,-0.4,-1156332544,-1.18,634960384,0.65
2023-06-30,BK0549,深圳特区,26684.57,1.46,1256243968,1.53,1337495296,1.62,-81251328,-0.1,-1042378496,-1.27,-213865472,-0.26
2023-06-29,BK0549,深圳特区,26299.3,1.28,8082688,0.01,719595264,0.92,-711512576,-0.91,-559504384,-0.71,551421696,0.7000000000000001
2023-06-28,BK0549,深圳特区,25965.94,-0.86,-2701818112,-3.59,-1478033920,-1.96,-1223784192,-1.63,292538624,0.39,2409279744,3.2
2023-06-27,BK0549,深圳特区,26191.83,2.1,48069120,0.07,223585024,0.30000000000000004,-175515904,-0.24,-497523968,-0.67,449454848,0.61
2023-06-26,BK0549,深圳特区,25652.59,-2.24,-4973940480,-5.98,-2451390464,-2.95,-2522550016,-3.03,137416192,0.17,4836524288,5.82
2023-06-21,BK0549,深圳特区,26241.31,-1.99,-5004589056,-5.59,-2475860736,-2.77,-2528728320,-2.83,357717760,0.4,4646871040,5.19
