日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1141,混合现实,1013.42,1.77,52654480,0.84,-86600880,-1.38,139255360,2.22,-122350992,-1.95,69696512,1.11
2023-09-04,BK1141,混合现实,993.49,1.19,437065632,7.77,337674720,6.0,99390912,1.77,-222592800,-3.96,-214472816,-3.81
2023-08-31,BK1141,混合现实,986.01,0.54,100992416,1.63,-50620704,-0.8200000000000001,151613120,2.45,-161420832,-2.61,60428432,0.98
2023-08-29,BK1141,混合现实,954.15,5.06,312144336,3.8,310157920,3.78,1986416,0.02,-188742928,-2.3,-123401424,-1.5
2023-08-28,BK1141,混合现实,908.23,-0.03,-130253296,-1.63,-18448928,-0.23,-111804368,-1.4,476528,0.01,129776768,1.62
2023-08-25,BK1141,混合现实,908.54,-3.43,-579594448,-10.05,-391647712,-6.79,-187946736,-3.26,-21127088,-0.37,600721568,10.42
2023-08-24,BK1141,混合现实,940.77,0.19,80763376,1.46,58106448,1.05,22656928,0.41,-205967040,-3.73,125203680,2.26
2023-08-23,BK1141,混合现实,938.96,-2.79,-267138816,-5.17,-276545904,-5.35,9407088,0.18,2671408,0.05,264467424,5.12
2023-08-21,BK1141,混合现实,948.6,-0.37,-257890032,-5.38,-192847696,-4.02,-65042336,-1.36,23668928,0.49,234221104,4.88
2023-08-18,BK1141,混合现实,952.17,-2.3,-468926912,-9.14,-366573536,-7.15,-102353376,-2.0,118577104,2.31,350349808,6.83
2023-08-16,BK1141,混合现实,957.64,-2.09,-299093344,-6.41,-137677872,-2.95,-161415472,-3.46,29880544,0.64,269212816,5.77
2023-08-15,BK1141,混合现实,978.06,-1.16,-131345024,-2.45,-112668624,-2.1,-18676400,-0.35000000000000003,-103471968,-1.93,234817008,4.38
2023-08-14,BK1141,混合现实,989.53,0.24,-278286816,-3.87,-39566592,-0.55,-238720224,-3.32,46483936,0.65,231802896,3.22
2023-08-11,BK1141,混合现实,987.21,-2.52,-529107088,-9.32,-279542512,-4.92,-249564576,-4.4,19119216,0.34,509987872,8.98
2023-08-10,BK1141,混合现实,1012.74,0.0,-231851888,-5.93,-99572160,-2.55,-132279728,-3.39,7480288,0.19,224371600,5.74
2023-08-09,BK1141,混合现实,1012.74,-1.8,-772113376,-14.96,-301768160,-5.85,-470345216,-9.12,121001008,2.35,651112336,12.62
2023-08-08,BK1141,混合现实,1031.34,-0.8200000000000001,-140665504,-2.39,-23408128,-0.4,-117257376,-1.99,5213760,0.09,135451728,2.3
2023-08-07,BK1141,混合现实,1039.85,0.37,-434562352,-7.3,-270991184,-4.55,-163571168,-2.75,178706928,3.0,255855424,4.3
2023-08-04,BK1141,混合现实,1036.05,1.01,-61273200,-0.89,11347120,0.16,-72620320,-1.05,-13463696,-0.2,74736896,1.09
2023-08-03,BK1141,混合现实,1025.64,-0.37,-97611616,-1.46,-40439104,-0.6000000000000001,-57172512,-0.85,66394784,0.99,31216832,0.47
2023-08-02,BK1141,混合现实,1029.49,0.52,-4912928,-0.1,13019696,0.26,-17932624,-0.36,-70366208,-1.4,75279120,1.5
2023-08-01,BK1141,混合现实,1024.13,-0.59,-103298528,-1.44,73699568,1.03,-176998096,-2.47,19327024,0.27,83971504,1.17
2023-07-31,BK1141,混合现实,1030.21,1.09,153933728,1.94,120640592,1.52,33293136,0.42,-42187616,-0.53,-111746112,-1.41
2023-07-28,BK1141,混合现实,1019.12,0.31,-19086368,-0.29,21362800,0.33,-40449168,-0.62,-127289760,-1.95,146376160,2.25
2023-07-27,BK1141,混合现实,1015.99,-1.49,-538745584,-7.96,-395039584,-5.84,-143706000,-2.12,-46704096,-0.6900000000000001,585449680,8.65
2023-07-26,BK1141,混合现实,1031.39,-2.36,-645257120,-10.17,-338159392,-5.33,-307097728,-4.84,167634720,2.64,477622416,7.52
2023-07-24,BK1141,混合现实,1043.0,-0.03,-162368048,-2.76,-112957904,-1.92,-49410144,-0.84,61985520,1.05,100382512,1.71
2023-07-21,BK1141,混合现实,1043.3,-0.62,-450354656,-6.19,-46578224,-0.64,-403776432,-5.55,30781296,0.42,419573344,5.77
2023-07-20,BK1141,混合现实,1049.85,-3.15,-1138607808,-12.42,-773383632,-8.44,-365224176,-3.98,-172706304,-1.88,1311314128,14.3
2023-07-19,BK1141,混合现实,1083.97,-1.05,-280007104,-3.64,-180907808,-2.35,-99099296,-1.29,-223877312,-2.91,503884416,6.55
2023-07-17,BK1141,混合现实,1095.14,0.11,-57014640,-0.61,250895088,2.67,-307909728,-3.28,126755888,1.35,-69741232,-0.74
2023-07-14,BK1141,混合现实,1093.98,1.33,398404816,4.49,202212096,2.28,196192720,2.21,-334201616,-3.77,-64203184,-0.72
2023-07-13,BK1141,混合现实,1079.64,1.91,317106464,3.08,215663136,2.09,101443328,0.98,-251874976,-2.44,-65231488,-0.63
