日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0926,湖北自贸,1270.57,1.12,184877408,3.13,74227952,1.26,110649456,1.87,-126342192,-2.14,-58535216,-0.99
2023-09-04,BK0926,湖北自贸,1256.95,1.66,181010144,2.78,107422080,1.65,73588064,1.13,-135564432,-2.08,-45445712,-0.7000000000000001
2023-08-31,BK0926,湖北自贸,1233.15,0.46,172054288,2.56,144077216,2.15,27977072,0.42,2703520,0.04,-174757808,-2.6
2023-08-29,BK0926,湖北自贸,1230.94,2.72,221104688,3.4,70463376,1.08,150641312,2.32,-173294304,-2.67,-47810384,-0.74
2023-08-28,BK0926,湖北自贸,1198.29,0.85,-134212816,-1.94,69748704,1.01,-203961520,-2.95,-114808384,-1.66,249021184,3.6
2023-08-25,BK0926,湖北自贸,1188.19,-2.34,-452148784,-7.42,-221346768,-3.63,-230802016,-3.79,-39637856,-0.65,491786640,8.07
2023-08-24,BK0926,湖北自贸,1216.62,-0.01,-142789760,-2.76,-59626144,-1.15,-83163616,-1.61,-76371952,-1.47,219161712,4.23
2023-08-23,BK0926,湖北自贸,1216.8,-1.88,-212459312,-4.07,-64054112,-1.23,-148405200,-2.84,-123050416,-2.36,335509728,6.43
2023-08-21,BK0926,湖北自贸,1236.99,-0.67,-403888000,-7.71,-301903024,-5.76,-101984976,-1.95,82643024,1.58,321244960,6.13
2023-08-18,BK0926,湖北自贸,1245.36,-1.14,-386270176,-7.79,-162408128,-3.28,-223862048,-4.52,-23102848,-0.47,409373040,8.26
2023-08-16,BK0926,湖北自贸,1234.37,-0.38,-249652496,-6.71,-83929504,-2.26,-165722992,-4.46,-15058688,-0.4,264711216,7.12
2023-08-15,BK0926,湖北自贸,1239.07,-0.5,-127243984,-2.81,-2450016,-0.05,-124793968,-2.76,34965344,0.77,92278640,2.04
2023-08-14,BK0926,湖北自贸,1245.28,0.49,-141295664,-3.33,-109124352,-2.5700000000000003,-32171312,-0.76,-26589616,-0.63,167885280,3.95
2023-08-11,BK0926,湖北自贸,1239.24,-1.4,-376928736,-9.03,-154101152,-3.69,-222827584,-5.34,7961680,0.19,368967072,8.84
2023-08-10,BK0926,湖北自贸,1256.86,0.27,-304044464,-6.48,-73273744,-1.56,-230770720,-4.91,-40713104,-0.87,344757568,7.34
2023-08-09,BK0926,湖北自贸,1253.49,-1.49,-1353645408,-16.8,-1114804352,-13.84,-238841056,-2.97,133339792,1.66,1220305600,15.15
2023-08-08,BK0926,湖北自贸,1272.51,-0.67,127762608,1.81,92433712,1.31,35328896,0.5,60336112,0.85,-188098720,-2.67
2023-08-07,BK0926,湖北自贸,1281.06,-0.5700000000000001,-366371952,-4.59,-107253376,-1.34,-259118576,-3.24,58116528,0.73,308255408,3.86
2023-08-04,BK0926,湖北自贸,1288.35,0.26,253738784,3.53,157121728,2.18,96617056,1.34,-62697504,-0.87,-191041296,-2.65
2023-08-03,BK0926,湖北自贸,1284.99,-0.58,-423923952,-8.2,-194149520,-3.76,-229774432,-4.45,-39233168,-0.76,463157104,8.96
2023-08-02,BK0926,湖北自贸,1292.44,-0.02,-65045152,-1.1,-48232608,-0.8200000000000001,-16812544,-0.28,66567904,1.13,-1522720,-0.03
2023-08-01,BK0926,湖北自贸,1292.75,-0.26,-15233520,-0.22,101459360,1.44,-116692880,-1.66,-36389152,-0.52,51622672,0.73
2023-07-31,BK0926,湖北自贸,1296.14,1.14,-232951200,-3.36,-103729808,-1.5,-129221392,-1.86,-8815152,-0.13,241766352,3.49
2023-07-28,BK0926,湖北自贸,1281.49,0.36,-228465280,-3.63,-213520272,-3.4,-14945008,-0.24,-88697792,-1.41,317163072,5.05
2023-07-27,BK0926,湖北自贸,1276.84,-0.73,-634168416,-10.25,-246830560,-3.99,-387337856,-6.26,-23651552,-0.38,657819968,10.63
2023-07-26,BK0926,湖北自贸,1286.26,-0.39,-315769936,-4.24,-206417392,-2.77,-109352544,-1.47,82813824,1.11,232956112,3.13
2023-07-24,BK0926,湖北自贸,1275.8,-0.96,-272777504,-3.85,21320320,0.30000000000000004,-294097824,-4.15,-115172992,-1.63,387950512,5.48
2023-07-21,BK0926,湖北自贸,1288.11,-0.34,-363788752,-4.4,-138859952,-1.6800000000000002,-224928800,-2.72,-78493920,-0.95,442282672,5.35
2023-07-20,BK0926,湖北自贸,1292.47,-1.16,-1352250192,-12.85,-1072282336,-10.19,-279967856,-2.66,388424336,3.69,963825856,9.16
2023-07-19,BK0926,湖北自贸,1307.63,0.27,-254780160,-3.0,-65546656,-0.77,-189233504,-2.23,42782928,0.5,211997232,2.5
2023-07-17,BK0926,湖北自贸,1300.63,0.45,61080000,0.52,-101712912,-0.87,162792912,1.4,-63795696,-0.55,2715664,0.02
2023-07-14,BK0926,湖北自贸,1294.75,-0.01,51631584,0.5,178399440,1.73,-126767856,-1.23,-26952432,-0.26,-24679152,-0.24
2023-07-13,BK0926,湖北自贸,1294.92,0.59,-444564256,-4.11,-337504416,-3.12,-107059840,-0.99,59096496,0.55,385467744,3.56
2023-07-12,BK0926,湖北自贸,1287.29,-1.28,-626565568,-4.8100000000000005,-470870704,-3.62,-155694864,-1.2,148901872,1.14,477663696,3.67
2023-07-11,BK0926,湖北自贸,1303.96,1.15,-31502672,-0.29,163755088,1.51,-195257760,-1.8,-41768496,-0.38,73271152,0.67
2023-07-10,BK0926,湖北自贸,1289.11,0.21,-544153008,-6.66,-286061488,-3.5,-258091520,-3.16,45970624,0.56,498182400,6.1
2023-07-07,BK0926,湖北自贸,1286.36,-0.8200000000000001,-629830912,-6.05,-428182032,-4.11,-201648880,-1.94,55320496,0.53,574510400,5.52
2023-07-06,BK0926,湖北自贸,1297.02,0.61,321369952,2.39,535154752,3.98,-213784800,-1.59,-416103024,-3.1,94733072,0.7000000000000001
2023-07-05,BK0926,湖北自贸,1289.13,-1.21,-347517216,-2.71,-37067456,-0.29,-310449760,-2.42,52804432,0.41,294712768,2.3
2023-07-04,BK0926,湖北自贸,1304.88,0.37,-246336608,-2.44,-151791552,-1.51,-94545056,-0.94,119952192,1.19,126384400,1.25
2023-07-03,BK0926,湖北自贸,1300.05,1.15,-254449616,-2.42,-302245632,-2.87,47796016,0.45,-50792752,-0.48,305242368,2.9
2023-06-30,BK0926,湖北自贸,1285.21,2.28,391772544,3.16,380143920,3.06,11628624,0.09,1970320,0.02,-393742864,-3.17
2023-06-29,BK0926,湖北自贸,1256.57,0.91,98275584,1.29,129206384,1.7000000000000002,-30930800,-0.41,-121699200,-1.6,23423632,0.31
2023-06-28,BK0926,湖北自贸,1245.24,-0.2,-269912672,-3.35,39599200,0.49,-309511872,-3.84,-25569568,-0.32,295482208,3.66
2023-06-27,BK0926,湖北自贸,1247.74,1.81,61016560,0.79,147775648,1.91,-86759088,-1.12,-84351344,-1.09,23334784,0.30000000000000004
2023-06-26,BK0926,湖北自贸,1225.61,-1.6800000000000002,-806833600,-7.8,-463415584,-4.48,-343418016,-3.32,-103437104,-1.0,910270704,8.8
2023-06-21,BK0926,湖北自贸,1246.57,-1.9,-1373836480,-11.03,-1251054064,-10.05,-122782416,-0.99,206851360,1.66,1166985120,9.37
2023-06-20,BK0926,湖北自贸,1270.76,0.22,-704560368,-5.34,-338500464,-2.5700000000000003,-366059904,-2.78,146561744,1.11,557998624,4.23
2023-06-19,BK0926,湖北自贸,1267.92,0.28,13288448,0.1,395157440,3.11,-381868992,-3.01,-131048912,-1.03,117760464,0.93
2023-06-16,BK0926,湖北自贸,1264.35,1.02,28846208,0.23,-53292624,-0.42,82138832,0.65,-182298496,-1.43,153452288,1.21
