日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0566,滨海新区,10970.54,-0.17,-92093056,-2.81,-22422976,-0.68,-69670080,-2.12,25873072,0.79,66219984,2.02
2023-08-09,BK0566,滨海新区,10989.08,-0.31,3150460,0.1,88289020,2.76,-85138560,-2.66,-90643376,-2.83,87492912,2.74
2023-08-08,BK0566,滨海新区,11023.25,-0.33,-267277128,-7.48,-209377464,-5.86,-57899664,-1.62,40118688,1.12,227158448,6.36
2023-08-07,BK0566,滨海新区,11059.55,-1.38,-338223192,-9.65,-141712296,-4.04,-196510896,-5.61,-3185568,-0.09,341408768,9.74
2023-08-04,BK0566,滨海新区,11214.74,-0.33,-143897904,-3.34,-24676224,-0.5700000000000001,-119221680,-2.77,-6998784,-0.16,150896704,3.51
2023-08-03,BK0566,滨海新区,11251.74,0.31,-213411088,-4.8,-106909264,-2.4,-106501824,-2.39,4731024,0.11,208680048,4.69
2023-08-02,BK0566,滨海新区,11216.67,-0.15,-408608928,-9.3,-290279632,-6.61,-118329296,-2.69,102122112,2.33,306486816,6.98
2023-08-01,BK0566,滨海新区,11233.1,-0.48,-365867600,-6.95,-182456672,-3.47,-183410928,-3.48,-72287696,-1.37,438155296,8.32
2023-07-31,BK0566,滨海新区,11287.11,1.83,184737712,3.11,267327520,4.5,-82589808,-1.39,-289391760,-4.87,104654064,1.76
2023-07-28,BK0566,滨海新区,11084.38,1.31,-111228064,-2.37,-62262944,-1.32,-48965120,-1.04,6007744,0.13,105220304,2.24
2023-07-27,BK0566,滨海新区,10941.27,-0.26,-198161408,-4.97,-41152496,-1.03,-157008912,-3.94,2514048,0.06,195647360,4.91
2023-07-26,BK0566,滨海新区,10969.66,0.99,-25122880,-0.65,154148496,4.01,-179271376,-4.67,-77290464,-2.01,102413344,2.67
2023-07-24,BK0566,滨海新区,10650.73,0.15,-63254096,-1.6800000000000002,179990752,4.78,-243244848,-6.46,-56503872,-1.5,119757968,3.18
2023-07-21,BK0566,滨海新区,10635.2,1.0,-10778976,-0.31,256990496,7.29,-267769472,-7.6,-119667472,-3.39,130446432,3.7
