日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0492,煤化工,8675.22,0.05,-207191440,-1.81,-284509088,-2.49,77317648,0.68,-96759168,-0.85,303825760,2.66
2023-07-13,BK0492,煤化工,8670.52,0.52,-537326720,-4.58,-386306288,-3.29,-151020432,-1.29,-83932496,-0.72,621578160,5.3
2023-07-12,BK0492,煤化工,8625.97,-0.12,164671024,1.18,-35004672,-0.25,199675696,1.43,25657600,0.18,-190267488,-1.37
2023-07-11,BK0492,煤化工,8636.39,0.21,-715989760,-6.9,-437712544,-4.22,-278277216,-2.68,45844112,0.44,670209264,6.46
2023-07-10,BK0492,煤化工,8618.41,0.58,42688080,0.37,-36757696,-0.32,79445776,0.68,-149654448,-1.28,107026576,0.92
2023-07-07,BK0492,煤化工,8569.07,0.22,95311008,0.97,71445312,0.72,23865696,0.24,-63854880,-0.65,-31464768,-0.32
2023-07-06,BK0492,煤化工,8550.04,-0.43,-143659248,-1.53,-16305008,-0.17,-127354240,-1.35,-147177120,-1.56,290871776,3.09
2023-07-05,BK0492,煤化工,8587.14,0.02,-366765312,-3.37,-302100112,-2.77,-64665200,-0.59,30728128,0.28,335926400,3.09
2023-07-04,BK0492,煤化工,8585.5,-0.36,-861735360,-7.35,-588622736,-5.02,-273112624,-2.33,156884192,1.34,705005648,6.01
2023-07-03,BK0492,煤化工,8616.55,1.16,196658176,1.34,117920176,0.8,78738000,0.54,8198144,0.06,-204963328,-1.4
2023-06-30,BK0492,煤化工,8517.75,1.09,337755040,2.63,282611408,2.2,55143632,0.43,-170441296,-1.33,-167133120,-1.3
2023-06-29,BK0492,煤化工,8425.84,-0.33,-598769248,-5.26,-407725952,-3.58,-191043296,-1.6800000000000002,40377040,0.36,558829088,4.91
2023-06-28,BK0492,煤化工,8453.72,1.08,-662733440,-4.8100000000000005,-311753744,-2.26,-350979696,-2.55,406590464,2.95,256354048,1.86
2023-06-27,BK0492,煤化工,8363.41,2.46,113094320,0.88,147367616,1.15,-34273296,-0.27,61094272,0.48,-174147328,-1.36
2023-06-26,BK0492,煤化工,8162.56,-0.94,-572806976,-4.78,-238834864,-1.99,-333972112,-2.78,-102491040,-0.85,675217968,5.63
2023-06-21,BK0492,煤化工,8240.18,-0.63,-186865792,-1.65,-161804944,-1.43,-25060848,-0.22,44063920,0.39,143056448,1.27
2023-06-20,BK0492,煤化工,8292.07,-0.62,-464650256,-4.52,-134302352,-1.31,-330347904,-3.21,182634384,1.78,282071632,2.75
2023-06-19,BK0492,煤化工,8343.72,-0.74,-777878320,-6.87,-485651792,-4.29,-292226528,-2.58,315186320,2.78,462701696,4.08
2023-06-16,BK0492,煤化工,8405.89,0.65,-339007872,-2.7,-274298448,-2.18,-64709424,-0.51,103339776,0.8200000000000001,235812576,1.88
