日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK0554,物联网,11672.02,0.17,85399552,0.09,654871296,0.7000000000000001,-569471744,-0.61,-1035214592,-1.11,949821696,1.02
2023-07-05,BK0554,物联网,11652.58,-0.97,-5151529728,-5.34,-2556102400,-2.65,-2595427328,-2.69,750980096,0.78,4401825280,4.5600000000000005
2023-07-04,BK0554,物联网,11766.19,1.26,68780288,0.07,681494784,0.66,-612714496,-0.59,8118016,0.01,-77872640,-0.08
2023-07-03,BK0554,物联网,11620.07,-0.26,-3097467648,-2.79,-1853187840,-1.67,-1244279808,-1.12,390250240,0.35000000000000003,2708076032,2.44
2023-06-30,BK0554,物联网,11650.56,1.25,1445491968,1.36,1928242688,1.81,-482750720,-0.45,-1320408320,-1.24,-125975296,-0.12
2023-06-29,BK0554,物联网,11506.3,1.61,-1456718848,-1.49,131198720,0.13,-1587917568,-1.62,-145306880,-0.15,1602585856,1.64
2023-06-28,BK0554,物联网,11324.13,-1.61,-6676519168,-6.21,-3252955904,-3.02,-3423563264,-3.18,944089856,0.88,5726245376,5.32
2023-06-27,BK0554,物联网,11509.05,1.39,-1883558144,-1.97,-1018994688,-1.06,-864563456,-0.9,25912576,0.03,1857222912,1.94
2023-06-26,BK0554,物联网,11351.67,-3.16,-9363928576,-7.62,-5294506752,-4.31,-4069421824,-3.31,367239168,0.30000000000000004,8996407040,7.32
2023-06-21,BK0554,物联网,11722.51,-2.47,-13260470784,-9.15,-8886580992,-6.13,-4373889792,-3.02,1613903616,1.11,11645864448,8.04
2023-06-20,BK0554,物联网,12018.91,-0.22,-2319727360,-1.49,810775296,0.52,-3130502656,-2.01,-1488345856,-0.96,3807085312,2.44
2023-06-19,BK0554,物联网,12044.91,1.39,-1632167936,-1.04,929884416,0.59,-2562052352,-1.63,-325430272,-0.21,1956740352,1.24
2023-06-16,BK0554,物联网,11879.82,1.41,1906873088,1.4,2011678208,1.48,-104805120,-0.08,-1438054912,-1.06,-469031936,-0.34
