日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0676,独家药品,2463.29,-0.85,-320428949,-6.04,-174313285,-3.28,-146115664,-2.75,-21524944,-0.41,341953904,6.44
2023-09-04,BK0676,独家药品,2499.67,0.46,-52349269,-1.08,-8704821,-0.18,-43644448,-0.9,-25099008,-0.52,77448256,1.6
2023-08-31,BK0676,独家药品,2506.3,0.72,119000464,1.86,42105840,0.66,76894624,1.2,-20414112,-0.32,-98586368,-1.54
2023-08-29,BK0676,独家药品,2493.63,2.49,91746464,1.4,51083280,0.78,40663184,0.62,-36674288,-0.56,-55072176,-0.84
2023-08-28,BK0676,独家药品,2433.0,0.37,-200063008,-2.35,-210691616,-2.48,10628608,0.12,43395984,0.51,156667024,1.84
2023-08-25,BK0676,独家药品,2424.03,-0.5700000000000001,-71993839,-1.52,-75298927,-1.59,3305088,0.07,-52112656,-1.1,124106512,2.61
2023-08-24,BK0676,独家药品,2437.81,0.35000000000000003,484201,0.01,3138537,0.07,-2654336,-0.06,19650864,0.41,-20135072,-0.42
2023-08-23,BK0676,独家药品,2429.33,-1.52,-109938601,-2.35,-22337817,-0.48,-87600784,-1.87,-17668464,-0.38,127607072,2.73
2023-08-21,BK0676,独家药品,2485.22,-0.45,-180719297,-3.67,-50150689,-1.02,-130568608,-2.65,-4909744,-0.1,185629024,3.77
2023-08-18,BK0676,独家药品,2496.5,-3.04,-786902400,-10.34,-290003264,-3.81,-496899136,-6.53,-65384656,-0.86,852287056,11.2
2023-08-16,BK0676,独家药品,2569.79,-0.89,-284246958,-4.52,-142886238,-2.27,-141360720,-2.25,-121571120,-1.93,405818080,6.45
2023-08-15,BK0676,独家药品,2592.86,0.42,-12169248,-0.17,-38925776,-0.55,26756528,0.38,-43467680,-0.61,55636944,0.79
2023-08-14,BK0676,独家药品,2581.91,0.39,-238195712,-3.56,-89960176,-1.35,-148235536,-2.22,13737024,0.21,224458688,3.36
2023-08-11,BK0676,独家药品,2571.92,-0.06,23329600,0.29,-51605168,-0.65,74934768,0.94,79597040,1.0,-102926640,-1.29
2023-08-10,BK0676,独家药品,2573.35,-0.64,-352049720,-6.24,-127706008,-2.26,-224343712,-3.97,-8699680,-0.15,360749392,6.39
2023-08-09,BK0676,独家药品,2590.02,0.94,185966144,1.97,84062960,0.89,101903184,1.08,-12057696,-0.13,-173908448,-1.84
2023-08-08,BK0676,独家药品,2565.87,1.42,19848800,0.22,29131760,0.32,-9282960,-0.1,56092752,0.62,-75941552,-0.84
2023-08-07,BK0676,独家药品,2529.97,-2.64,-976104576,-10.49,-389637472,-4.19,-586467104,-6.3,18492016,0.2,957612560,10.29
2023-08-04,BK0676,独家药品,2598.7,-0.18,-333147872,-4.7,-132392752,-1.87,-200755120,-2.83,-26205440,-0.37,359353312,5.07
2023-08-03,BK0676,独家药品,2603.45,1.46,38201136,0.53,-21743088,-0.30000000000000004,59944224,0.8300000000000001,122790576,1.7000000000000002,-160991712,-2.23
2023-08-02,BK0676,独家药品,2566.08,-1.46,-644785840,-10.03,-336390016,-5.23,-308395824,-4.8,-90746048,-1.41,735531888,11.44
2023-08-01,BK0676,独家药品,2604.02,-1.11,-606433296,-8.71,-380267872,-5.46,-226165424,-3.25,63753552,0.92,542679744,7.8
2023-07-31,BK0676,独家药品,2633.23,-1.1,-577958096,-5.59,-548409584,-5.31,-29548512,-0.29,-206825984,-2.0,784784080,7.59
2023-07-28,BK0676,独家药品,2662.54,0.78,13528304,0.19,-50425056,-0.71,63953360,0.9,-226534128,-3.17,213005824,2.98
2023-07-27,BK0676,独家药品,2641.97,-0.5,-354332480,-5.34,-88878592,-1.34,-265453888,-4.0,106063120,1.6,248269376,3.75
2023-07-26,BK0676,独家药品,2655.28,0.36,-36129504,-0.58,-54548288,-0.88,18418784,0.30000000000000004,24890432,0.4,11239072,0.18
2023-07-24,BK0676,独家药品,2639.16,0.76,65547472,1.09,13874016,0.23,51673456,0.86,-21845088,-0.36,-43702368,-0.73
2023-07-21,BK0676,独家药品,2619.22,0.38,25282081,0.51,-64883919,-1.31,90166000,1.82,-37728480,-0.76,12446416,0.25
2023-07-20,BK0676,独家药品,2609.18,-0.33,-201511216,-3.94,-129024816,-2.52,-72486400,-1.42,-84020352,-1.64,285531568,5.59
2023-07-19,BK0676,独家药品,2617.73,-0.56,-250876542,-5.94,-134658462,-3.19,-116218080,-2.75,20343664,0.48,230532864,5.46
2023-07-17,BK0676,独家药品,2653.86,0.37,116502160,1.82,82078352,1.28,34423808,0.54,-26710064,-0.42,-89792096,-1.4
2023-07-14,BK0676,独家药品,2643.98,-0.5,-143288080,-2.95,-80586160,-1.66,-62701920,-1.29,-95239328,-1.96,238527408,4.92
2023-07-13,BK0676,独家药品,2657.31,0.56,-57846304,-0.8,-46874400,-0.64,-10971904,-0.15,-169110336,-2.32,226956624,3.12
2023-07-12,BK0676,独家药品,2642.51,-0.72,-263482912,-4.58,-142553872,-2.48,-120929040,-2.1,85300384,1.48,178182512,3.09
2023-07-11,BK0676,独家药品,2661.64,0.68,-125309702,-2.59,-135305670,-2.8,9995968,0.21,63392400,1.31,61917296,1.28
2023-07-10,BK0676,独家药品,2643.71,0.04,-93740096,-1.66,-89009296,-1.58,-4730800,-0.08,102015568,1.81,-8275472,-0.15
2023-07-07,BK0676,独家药品,2642.72,0.16,-192535343,-4.08,-53011951,-1.12,-139523392,-2.96,93963776,1.99,98571552,2.09
2023-07-06,BK0676,独家药品,2638.4,-1.8,-511922400,-7.36,-265053888,-3.81,-246868512,-3.55,75188384,1.08,436734000,6.28
2023-07-05,BK0676,独家药品,2686.77,-0.34,-198835872,-2.54,-54438320,-0.7000000000000001,-144397552,-1.84,-40819376,-0.52,239655248,3.06
2023-07-04,BK0676,独家药品,2696.0,-0.31,-232698688,-3.8,-135735504,-2.22,-96963184,-1.59,112067824,1.83,120630864,1.97
2023-07-03,BK0676,独家药品,2704.43,-0.36,-355647376,-4.6,-87971744,-1.14,-267675632,-3.46,58264640,0.75,297382752,3.85
2023-06-30,BK0676,独家药品,2714.26,1.18,-40567328,-0.52,81530848,1.05,-122098176,-1.57,95496224,1.23,-54928880,-0.71
2023-06-29,BK0676,独家药品,2682.64,0.87,-9321744,-0.14,28171824,0.43,-37493568,-0.58,63839680,0.99,-54517936,-0.84
2023-06-28,BK0676,独家药品,2659.57,-0.26,-290701239,-5.93,-103151207,-2.1,-187550032,-3.83,60605360,1.24,230095888,4.69
2023-06-27,BK0676,独家药品,2666.54,1.71,16720080,0.26,35351696,0.56,-18631616,-0.29,-72912848,-1.15,56192752,0.89
2023-06-26,BK0676,独家药品,2621.58,-0.88,-295603424,-4.13,-154977312,-2.16,-140626112,-1.96,-68094240,-0.95,363697680,5.08
2023-06-21,BK0676,独家药品,2644.9,-1.92,-506910224,-8.38,-153069920,-2.53,-353840304,-5.85,-86312208,-1.43,593222432,9.8
2023-06-20,BK0676,独家药品,2696.68,-0.65,-272954096,-3.77,-211355184,-2.92,-61598912,-0.85,-18767440,-0.26,291721536,4.02
2023-06-19,BK0676,独家药品,2714.41,-0.03,-281827344,-3.53,-132524928,-1.66,-149302416,-1.87,201368912,2.52,80458416,1.01
2023-06-16,BK0676,独家药品,2715.16,0.1,251579200,3.16,100283040,1.26,151296160,1.9,-83248272,-1.05,-168330928,-2.12
