日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0835,独角兽,1590.28,-0.25,-990482432,-1.62,-392652288,-0.64,-597830144,-0.98,-221454080,-0.36,1211936256,1.99
2023-07-31,BK0835,独角兽,1594.21,1.27,1160451840,1.61,661842944,0.92,498608896,0.6900000000000001,-233889280,-0.32,-926562560,-1.29
2023-07-28,BK0835,独角兽,1574.21,1.0,2005772544,3.76,1338115840,2.51,667656704,1.25,-1282079744,-2.4,-723692800,-1.36
2023-07-27,BK0835,独角兽,1558.55,-0.96,-3231902720,-6.98,-1600111616,-3.45,-1631791104,-3.52,695535616,1.5,2536366848,5.47
2023-07-26,BK0835,独角兽,1573.61,-0.89,-3574857216,-7.39,-2584407552,-5.34,-990449664,-2.05,893097728,1.85,2681759488,5.54
2023-07-24,BK0835,独角兽,1558.03,0.02,-1568815872,-3.93,-928638720,-2.33,-640177152,-1.6,287164928,0.72,1281651200,3.21
2023-07-21,BK0835,独角兽,1557.68,-0.18,-2356745664,-6.03,-1064071616,-2.72,-1292674048,-3.31,302955008,0.78,2053790720,5.26
2023-07-20,BK0835,独角兽,1560.54,-0.94,-3631851008,-7.53,-2749789184,-5.7,-882061824,-1.83,21220608,0.04,3610630144,7.49
2023-07-19,BK0835,独角兽,1575.31,-0.19,-1776558080,-4.41,-1137497344,-2.83,-639060736,-1.59,-8018176,-0.02,1784576256,4.43
2023-07-17,BK0835,独角兽,1582.08,-0.37,-2369572352,-4.83,-1426686720,-2.91,-942885632,-1.92,171486976,0.35000000000000003,2198085632,4.48
2023-07-14,BK0835,独角兽,1587.89,0.12,-352235008,-0.5700000000000001,352145664,0.5700000000000001,-704380672,-1.13,-512902144,-0.8200000000000001,865136896,1.39
2023-07-13,BK0835,独角兽,1586.0,1.4,911833600,1.46,1810679296,2.89,-898845696,-1.44,-1578921728,-2.52,667087872,1.07
2023-07-12,BK0835,独角兽,1564.04,-1.55,-3182777856,-5.74,-1748251648,-3.15,-1434526208,-2.59,4570880,0.01,3178206976,5.74
2023-07-11,BK0835,独角兽,1588.72,0.9,1673516032,3.28,1545947648,3.03,127568384,0.25,-1188331520,-2.33,-485184512,-0.95
2023-07-10,BK0835,独角兽,1574.55,0.01,-2008553216,-4.5600000000000005,-1635275264,-3.71,-373277952,-0.85,438050304,0.99,1570503168,3.5700000000000003
2023-07-07,BK0835,独角兽,1574.37,-0.71,-3706361856,-7.39,-2436722176,-4.86,-1269639680,-2.53,929399040,1.85,2776962560,5.54
2023-07-06,BK0835,独角兽,1585.68,-0.07,332952576,0.67,1150588160,2.31,-817635584,-1.64,-666822656,-1.34,333870080,0.67
2023-07-05,BK0835,独角兽,1586.83,-1.08,-3553569024,-6.94,-2403121152,-4.69,-1150447872,-2.25,560553472,1.09,2993015552,5.84
2023-07-04,BK0835,独角兽,1604.12,0.6000000000000001,413214464,0.68,676381440,1.12,-263166976,-0.43,-298496768,-0.49,-114717952,-0.19
2023-07-03,BK0835,独角兽,1594.48,0.25,-310330624,-0.48,-386474752,-0.6000000000000001,76144128,0.12,-252436992,-0.39,562767616,0.87
2023-06-30,BK0835,独角兽,1590.51,1.21,452865792,0.78,-187281920,-0.32,640147712,1.1,-681615872,-1.18,228750080,0.39
2023-06-29,BK0835,独角兽,1571.5,0.95,-1752434432,-3.2,-764951040,-1.4,-987483392,-1.81,170475520,0.31,1581958656,2.89
2023-06-28,BK0835,独角兽,1556.68,-0.43,-2678208512,-4.23,-1093949440,-1.73,-1584259072,-2.5,617475328,0.98,2060733440,3.26
2023-06-27,BK0835,独角兽,1563.42,1.56,-506737664,-0.96,165181184,0.31,-671918848,-1.27,-425135104,-0.8,931872768,1.76
2023-06-26,BK0835,独角兽,1539.38,-2.68,-3752167936,-5.2,-2108064512,-2.92,-1644103424,-2.28,-28283648,-0.04,3780451584,5.24
2023-06-21,BK0835,独角兽,1581.85,-2.34,-6996124928,-8.97,-5065122560,-6.49,-1931002368,-2.47,1137855744,1.46,5858269184,7.51
2023-06-20,BK0835,独角兽,1619.74,-0.16,-611246080,-0.73,-236471808,-0.28,-374774272,-0.45,-449900800,-0.54,1061146880,1.26
2023-06-19,BK0835,独角兽,1622.28,0.09,-1542272512,-1.94,-389062656,-0.49,-1153209856,-1.45,-240147968,-0.30000000000000004,1782420224,2.24
2023-06-16,BK0835,独角兽,1620.88,0.8200000000000001,1486718976,1.86,2349053696,2.94,-862334720,-1.08,-1682201344,-2.1,195482368,0.24
