日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1011,环氧丙烷,566.63,1.3,6412079,0.41,17693135,1.13,-11281056,-0.72,12256784,0.78,-19413280,-1.24
2023-09-04,BK1011,环氧丙烷,559.87,2.46,115632016,4.51,70680912,2.76,44951104,1.75,-126220096,-4.92,11081152,0.43
2023-08-31,BK1011,环氧丙烷,543.21,-1.0,-6861493,-0.55,-34481641,-2.74,27620148,2.2,-18312752,-1.46,24564864,1.95
2023-08-29,BK1011,环氧丙烷,547.28,1.72,49807938,2.95,6298674,0.37,43509264,2.58,-26031984,-1.54,-24097728,-1.43
2023-08-28,BK1011,环氧丙烷,538.0,1.32,-62186677,-2.72,25800587,1.13,-87987264,-3.85,-18386000,-0.8,80144176,3.51
2023-08-25,BK1011,环氧丙烷,531.01,-0.66,-13083709,-1.06,-17182358,-1.39,4098649,0.33,3100496,0.25,9875088,0.8
2023-08-24,BK1011,环氧丙烷,534.55,0.26,-3255254,-0.26,1345056,0.11,-4600310,-0.36,-2799392,-0.22,5874320,0.46
2023-08-23,BK1011,环氧丙烷,533.14,-1.47,37735488,3.08,-9183579,-0.75,46919067,3.83,-38840800,-3.17,967600,0.08
2023-08-21,BK1011,环氧丙烷,546.31,-0.96,-28531450,-1.84,17832902,1.15,-46364352,-2.99,22955696,1.48,5588352,0.36
2023-08-18,BK1011,环氧丙烷,551.59,-0.87,-65346282,-4.85,10753055,0.8,-76099337,-5.65,-63721888,-4.73,128921056,9.56
2023-08-16,BK1011,环氧丙烷,554.64,-0.94,31858550,2.71,23492078,2.0,8366472,0.71,-90255696,-7.67,57890192,4.92
2023-08-15,BK1011,环氧丙烷,559.93,-0.6900000000000001,-48116948,-4.22,-31562481,-2.77,-16554467,-1.45,36187328,3.17,11890272,1.04
2023-08-14,BK1011,环氧丙烷,563.84,-0.22,-8396028,-0.51,18168172,1.1,-26564200,-1.61,-42800336,-2.59,51175168,3.1
2023-08-11,BK1011,环氧丙烷,565.09,-1.49,-26339326,-1.66,7907362,0.5,-34246688,-2.16,-70474720,-4.45,96526992,6.09
2023-08-10,BK1011,环氧丙烷,573.63,0.38,-106794855,-7.09,-44586330,-2.96,-62208525,-4.13,31153264,2.07,75578320,5.02
2023-08-09,BK1011,环氧丙烷,571.44,-0.5,-82423891,-5.45,-33672202,-2.23,-48751689,-3.22,38445088,2.54,43547696,2.88
2023-08-08,BK1011,环氧丙烷,574.29,0.84,69725062,4.83,37012306,2.56,32712756,2.27,-11310064,-0.78,-58776576,-4.07
2023-08-07,BK1011,环氧丙烷,569.52,-0.72,-68757218,-5.68,-47876187,-3.95,-20881031,-1.72,4996464,0.41,63252256,5.23
2023-08-04,BK1011,环氧丙烷,573.67,-0.78,-7188273,-0.54,9251458,0.7000000000000001,-16439731,-1.24,-25756528,-1.94,32207056,2.42
2023-08-03,BK1011,环氧丙烷,578.19,0.29,-15799333,-1.18,-37219645,-2.78,21420312,1.6,63265328,4.73,-47494800,-3.55
2023-08-02,BK1011,环氧丙烷,576.49,-0.36,-70066654,-6.24,-18885295,-1.6800000000000002,-51181359,-4.5600000000000005,44694720,3.98,25691648,2.29
2023-08-01,BK1011,环氧丙烷,578.56,-0.02,58267552,3.6,23253808,1.44,35013744,2.16,-8308128,-0.51,-50536192,-3.12
2023-07-31,BK1011,环氧丙烷,578.7,0.62,-257967910,-10.82,-192532358,-8.08,-65435552,-2.75,194574848,8.16,63197584,2.65
2023-07-28,BK1011,环氧丙烷,575.16,0.93,-118797664,-5.12,46233408,1.99,-165031072,-7.12,-3261552,-0.14,121992032,5.26
2023-07-27,BK1011,环氧丙烷,569.86,-0.89,3848960,0.29,8618372,0.64,-4769412,-0.35000000000000003,16101168,1.2,-20199680,-1.5
2023-07-26,BK1011,环氧丙烷,574.95,0.47,-140193086,-9.04,-35649626,-2.3,-104543460,-6.74,25830896,1.67,114040080,7.35
2023-07-24,BK1011,环氧丙烷,568.07,-0.31,-61025032,-3.89,-24640840,-1.57,-36384192,-2.32,-5905152,-0.38,67087120,4.28
2023-07-21,BK1011,环氧丙烷,569.84,0.47,15007569,0.8200000000000001,37271009,2.03,-22263440,-1.21,-32552672,-1.77,17410160,0.95
2023-07-20,BK1011,环氧丙烷,567.17,-0.18,12099726,0.5700000000000001,-18978386,-0.89,31078112,1.46,28188944,1.32,-40483440,-1.9
2023-07-19,BK1011,环氧丙烷,568.19,-0.03,-49921157,-4.03,-32444060,-2.62,-17477097,-1.41,-3043264,-0.25,52859344,4.27
2023-07-17,BK1011,环氧丙烷,562.66,-0.03,-69601506,-4.47,-35893923,-2.3,-33707583,-2.16,-14672000,-0.94,83869536,5.38
2023-07-14,BK1011,环氧丙烷,562.85,-0.25,113377243,7.12,22114795,1.39,91262448,5.73,-111317040,-6.99,-2114176,-0.13
2023-07-13,BK1011,环氧丙烷,564.26,0.8200000000000001,-100079097,-5.9,-21843529,-1.29,-78235568,-4.61,32807536,1.93,67037776,3.95
2023-07-12,BK1011,环氧丙烷,559.65,0.08,2044526,0.11,-4860594,-0.26,6905120,0.38,50872304,2.77,-53182160,-2.89
2023-07-11,BK1011,环氧丙烷,559.23,0.81,-57499376,-3.83,-10965856,-0.73,-46533520,-3.1,78904736,5.26,-21498496,-1.43
2023-07-10,BK1011,环氧丙烷,554.71,1.14,-6663877,-0.46,-5044293,-0.35000000000000003,-1619584,-0.11,37356656,2.59,-29690304,-2.06
2023-07-07,BK1011,环氧丙烷,548.45,-0.62,-42949734,-4.42,-19178278,-1.97,-23771456,-2.45,17249216,1.78,25571472,2.63
2023-07-06,BK1011,环氧丙烷,551.88,0.08,-53133778,-4.05,-44655066,-3.4,-8478712,-0.65,-27710352,-2.11,80881344,6.17
2023-07-05,BK1011,环氧丙烷,551.44,-0.18,-364737,-0.03,23795304,2.15,-24160041,-2.18,-73968384,-6.69,73907760,6.68
