日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0669,生态农业,1248.82,-0.23,-94547701,-4.57,-12294021,-0.59,-82253680,-3.98,-16325104,-0.79,110872800,5.36
2023-07-04,BK0669,生态农业,1251.72,0.15,-22663950,-1.05,1634754,0.08,-24298704,-1.12,-124491088,-5.75,147155040,6.8
2023-07-03,BK0669,生态农业,1249.84,1.37,-106243759,-3.83,-32989823,-1.19,-73253936,-2.64,-3150896,-0.11,109394656,3.94
2023-06-30,BK0669,生态农业,1232.98,1.51,-56192343,-2.31,7257305,0.30000000000000004,-63449648,-2.61,-58388912,-2.4,114581248,4.71
2023-06-29,BK0669,生态农业,1214.66,0.18,-53227960,-2.53,928648,0.04,-54156608,-2.58,-37645936,-1.79,90873904,4.32
2023-06-28,BK0669,生态农业,1212.52,0.13,-129173424,-5.98,-74134368,-3.43,-55039056,-2.55,46708496,2.16,82464928,3.82
2023-06-27,BK0669,生态农业,1210.95,2.41,-40521192,-1.71,-23337320,-0.98,-17183872,-0.72,-22436240,-0.94,62957440,2.65
2023-06-26,BK0669,生态农业,1182.47,-0.94,-16564441,-0.73,-18455513,-0.81,1891072,0.08,-12769520,-0.56,29333952,1.29
2023-06-21,BK0669,生态农业,1193.75,-0.86,-106986419,-5.43,-41909267,-2.13,-65077152,-3.31,36108176,1.83,70878240,3.6
2023-06-20,BK0669,生态农业,1204.08,-1.15,-119690795,-5.02,-41343803,-1.73,-78346992,-3.29,45005008,1.89,74685776,3.13
2023-06-19,BK0669,生态农业,1218.1,-0.34,-168355352,-6.9,-53893880,-2.21,-114461472,-4.69,56892352,2.33,111462992,4.57
2023-06-16,BK0669,生态农业,1222.25,0.49,-73562643,-3.55,-22534819,-1.09,-51027824,-2.46,16351584,0.79,57211040,2.76
