日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0548,生物疫苗,28814.09,0.9,-236320416,-2.11,-65215520,-0.58,-171104896,-1.53,-204592352,-1.83,444160048,3.97
2023-07-27,BK0548,生物疫苗,28555.93,-0.06,-222204576,-2.11,-170236400,-1.62,-51968176,-0.49,113883696,1.08,105721840,1.01
2023-07-26,BK0548,生物疫苗,28572.8,0.92,212715456,1.71,89210256,0.72,123505200,0.99,53073408,0.43,-262094144,-2.11
2023-07-24,BK0548,生物疫苗,28080.0,0.43,-251690560,-2.7,-157708960,-1.69,-93981600,-1.01,186749968,2.01,62524960,0.67
2023-07-21,BK0548,生物疫苗,27960.46,1.32,274577456,2.5700000000000003,115952560,1.09,158624896,1.49,10075616,0.09,-285138096,-2.67
2023-07-20,BK0548,生物疫苗,27595.85,-0.30000000000000004,-87402048,-1.1,-40793392,-0.51,-46608656,-0.59,-118435520,-1.49,211664976,2.66
2023-07-19,BK0548,生物疫苗,27678.27,-0.16,-161762144,-2.55,-87925696,-1.39,-73836448,-1.17,9220432,0.15,151917376,2.4
2023-07-17,BK0548,生物疫苗,27689.49,-0.79,-539605264,-7.24,-255271648,-3.43,-284333616,-3.82,81674624,1.1,457876544,6.15
2023-07-14,BK0548,生物疫苗,27910.03,-0.37,-195992688,-2.89,-96895312,-1.43,-99097376,-1.46,55580624,0.8200000000000001,140150544,2.07
2023-07-13,BK0548,生物疫苗,28014.78,0.68,-69025424,-0.8300000000000001,-90823776,-1.09,21798352,0.26,-169646528,-2.04,239380896,2.88
2023-07-12,BK0548,生物疫苗,27826.56,-1.21,-259516336,-3.54,-117000624,-1.6,-142515712,-1.95,6590960,0.09,251408432,3.43
2023-07-11,BK0548,生物疫苗,28168.74,0.35000000000000003,-284163804,-4.72,-132199196,-2.19,-151964608,-2.52,-6654336,-0.11,290138080,4.82
2023-07-10,BK0548,生物疫苗,28069.74,0.35000000000000003,-90962752,-1.06,-105554688,-1.23,14591936,0.17,74968848,0.87,15538880,0.18
2023-07-07,BK0548,生物疫苗,27970.7,-0.02,-209885824,-2.89,-144664720,-1.99,-65221104,-0.9,96269216,1.32,111773696,1.54
2023-07-06,BK0548,生物疫苗,27977.55,-0.91,-222270064,-2.61,-152781568,-1.79,-69488496,-0.8200000000000001,-90036656,-1.06,312191088,3.66
2023-07-05,BK0548,生物疫苗,28233.07,-0.27,-206199120,-2.36,-15188768,-0.17,-191010352,-2.19,133040192,1.52,72772160,0.8300000000000001
2023-07-04,BK0548,生物疫苗,28309.68,0.30000000000000004,-128505664,-1.39,-145347136,-1.57,16841472,0.18,114879184,1.24,13321600,0.14
2023-07-03,BK0548,生物疫苗,28223.81,0.25,37691024,0.41,-58951088,-0.64,96642112,1.05,15739728,0.17,-54664688,-0.59
2023-06-30,BK0548,生物疫苗,28152.56,0.93,-176021936,-2.0,-11261632,-0.13,-164760304,-1.87,37289680,0.42,137090720,1.56
2023-06-29,BK0548,生物疫苗,27892.33,0.53,-371986608,-4.69,-85740640,-1.08,-286245968,-3.61,223894240,2.8200000000000003,149267136,1.88
2023-06-28,BK0548,生物疫苗,27746.17,-0.17,-319344592,-4.31,-133722592,-1.8,-185622000,-2.5,16028496,0.22,304444144,4.11
2023-06-27,BK0548,生物疫苗,27793.41,1.29,27499424,0.37,22626896,0.30000000000000004,4872528,0.07,-122528432,-1.65,91810016,1.24
2023-06-26,BK0548,生物疫苗,27439.25,-0.87,-266957488,-2.87,-90782048,-0.98,-176175440,-1.89,-152636544,-1.64,428237520,4.6
2023-06-21,BK0548,生物疫苗,27680.95,-1.38,-460209792,-5.32,-254792592,-2.95,-205417200,-2.38,67095376,0.78,394936064,4.57
2023-06-20,BK0548,生物疫苗,28069.11,-0.36,-286596272,-3.48,-212649584,-2.58,-73946688,-0.9,66513392,0.81,220770528,2.68
2023-06-19,BK0548,生物疫苗,28170.02,-0.6900000000000001,-249398128,-2.62,-158719408,-1.67,-90678720,-0.95,3598896,0.04,248863776,2.62
2023-06-16,BK0548,生物疫苗,28367.07,0.15,16737712,0.18,-17263728,-0.19,34001440,0.37,-16719376,-0.18,-1433744,-0.02
