日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1125,电子后视镜,1155.1,2.74,-111131371,-2.77,-33837051,-0.84,-77294320,-1.93,7410688,0.18,103720688,2.59
2023-09-04,BK1125,电子后视镜,1109.72,1.07,46438334,2.11,18138542,0.8300000000000001,28299792,1.29,-19798624,-0.9,-26639712,-1.21
2023-08-31,BK1125,电子后视镜,1103.34,0.16,-60038312,-2.72,-7544136,-0.34,-52494176,-2.37,-8722592,-0.39,68760880,3.11
2023-08-29,BK1125,电子后视镜,1076.86,4.99,75699550,2.5700000000000003,57653054,1.96,18046496,0.61,-51591280,-1.75,-24108272,-0.8200000000000001
2023-08-28,BK1125,电子后视镜,1025.71,-0.45,-168661596,-5.96,-52202220,-1.85,-116459376,-4.12,23148176,0.8200000000000001,145513408,5.15
2023-08-25,BK1125,电子后视镜,1030.37,-2.78,-85797678,-4.04,-10000798,-0.47,-75796880,-3.5700000000000003,-34377440,-1.62,120175120,5.66
2023-08-24,BK1125,电子后视镜,1059.83,-0.2,-2843937,-0.12,27854431,1.19,-30698368,-1.31,15583008,0.67,-12739056,-0.54
2023-08-23,BK1125,电子后视镜,1061.99,-0.27,133939046,5.93,98703046,4.37,35236000,1.56,-26410720,-1.17,-107528336,-4.76
2023-08-21,BK1125,电子后视镜,1053.62,-0.8,42209171,2.91,13371207,0.92,28837964,1.99,-4076464,-0.28,-38132704,-2.63
2023-08-18,BK1125,电子后视镜,1062.12,-1.31,4774651,0.25,-5695301,-0.30000000000000004,10469952,0.56,-21971648,-1.17,17197008,0.92
2023-08-16,BK1125,电子后视镜,1057.9,-1.93,-238654496,-9.79,-113383440,-4.65,-125271056,-5.14,9839296,0.4,228815200,9.39
2023-08-15,BK1125,电子后视镜,1078.72,-1.34,-101492915,-3.22,-83495603,-2.65,-17997312,-0.5700000000000001,-11903872,-0.38,113396784,3.6
2023-08-14,BK1125,电子后视镜,1093.35,0.21,-113527210,-6.78,-56412526,-3.37,-57114684,-3.41,-2387968,-0.14,115915168,6.92
2023-08-11,BK1125,电子后视镜,1091.09,-2.14,-177754963,-11.12,-89327736,-5.59,-88427227,-5.53,9769296,0.61,167985664,10.51
2023-08-10,BK1125,电子后视镜,1114.96,-0.19,-121146941,-7.89,-45013810,-2.93,-76133131,-4.96,-59546608,-3.88,180693568,11.77
2023-08-09,BK1125,电子后视镜,1117.13,-1.93,-150868040,-7.65,-36177976,-1.84,-114690064,-5.82,-21127760,-1.07,171995808,8.72
