日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK0865,电子烟,1542.17,2.01,696654704,5.94,484353632,4.13,212301072,1.81,-127787904,-1.09,-568866784,-4.85
2023-07-12,BK0865,电子烟,1511.85,-1.62,-88262672,-1.03,-80761920,-0.94,-7500752,-0.09,-45116848,-0.53,133379520,1.55
2023-07-11,BK0865,电子烟,1536.68,1.3,53101008,0.72,122831200,1.67,-69730192,-0.95,-1085712,-0.01,-52015296,-0.71
2023-07-10,BK0865,电子烟,1516.94,-0.43,-65904224,-0.71,-196388480,-2.11,130484256,1.4,153476784,1.65,-87572544,-0.94
2023-07-07,BK0865,电子烟,1523.52,-0.99,-298396432,-3.71,-176122768,-2.19,-122273664,-1.52,133015504,1.66,165380960,2.06
2023-07-06,BK0865,电子烟,1538.83,0.19,-350740256,-3.64,-103852544,-1.08,-246887712,-2.56,-59884112,-0.62,410624368,4.26
2023-07-05,BK0865,电子烟,1535.95,-0.53,-117759760,-1.33,-221401680,-2.51,103641920,1.17,-47070432,-0.53,164830192,1.87
2023-07-04,BK0865,电子烟,1544.08,0.87,-162373264,-1.47,-26337568,-0.24,-136035696,-1.23,-96224112,-0.87,258597360,2.34
2023-07-03,BK0865,电子烟,1530.79,0.86,821076032,5.03,792635712,4.86,28440320,0.17,-587298816,-3.6,-233777136,-1.43
2023-06-30,BK0865,电子烟,1517.73,1.89,311986512,2.41,56719248,0.44,255267264,1.97,-244936784,-1.89,-67049760,-0.52
2023-06-29,BK0865,电子烟,1489.62,1.9,714272128,6.48,519897744,4.72,194374384,1.76,-424540368,-3.85,-289731760,-2.63
2023-06-28,BK0865,电子烟,1461.85,-2.04,-860088048,-8.71,-413608112,-4.19,-446479936,-4.52,214917520,2.18,645170528,6.53
2023-06-27,BK0865,电子烟,1492.36,1.51,585295856,6.24,332955776,3.55,252340080,2.69,-136937232,-1.46,-448358608,-4.78
2023-06-26,BK0865,电子烟,1470.09,-1.57,-393813136,-4.13,-40176288,-0.42,-353636848,-3.71,63894656,0.67,329918480,3.46
2023-06-21,BK0865,电子烟,1493.6,-1.69,-816540512,-7.54,-482556544,-4.45,-333983968,-3.08,64999520,0.6000000000000001,751540992,6.94
2023-06-20,BK0865,电子烟,1519.34,0.05,535421744,3.45,220865024,1.42,314556720,2.02,-159527680,-1.03,-375894192,-2.42
2023-06-19,BK0865,电子烟,1518.58,1.05,-123119936,-1.14,47742096,0.44,-170862032,-1.59,99367360,0.92,23752560,0.22
2023-06-16,BK0865,电子烟,1502.85,0.63,528800256,4.5,515908336,4.39,12891920,0.11,-342564112,-2.91,-186236144,-1.58
