日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0853,电子竞技,1202.84,-0.61,-387747552,-3.18,-193985104,-1.59,-193762448,-1.59,63343984,0.52,324403568,2.66
2023-07-04,BK0853,电子竞技,1210.22,0.12,-319893456,-2.08,-192161232,-1.25,-127732224,-0.8300000000000001,-62396160,-0.41,382289664,2.49
2023-07-03,BK0853,电子竞技,1208.79,-2.45,-2351393376,-9.42,-1782498912,-7.14,-568894464,-2.28,256972288,1.03,2094420992,8.39
2023-06-30,BK0853,电子竞技,1239.15,0.04,-164796080,-0.84,270016848,1.38,-434812928,-2.22,-393976320,-2.02,558772224,2.86
2023-06-29,BK0853,电子竞技,1238.65,1.48,157133520,0.8,107304400,0.55,49829120,0.25,-56572160,-0.29,-100561664,-0.51
2023-06-28,BK0853,电子竞技,1220.64,-1.14,-178862432,-0.78,-8519776,-0.04,-170342656,-0.74,-8858880,-0.04,187721728,0.8200000000000001
2023-06-27,BK0853,电子竞技,1234.77,1.98,220245680,1.14,209593008,1.09,10652672,0.06,-228463616,-1.19,8217856,0.04
2023-06-26,BK0853,电子竞技,1210.85,-3.86,-1015727504,-4.26,-207752336,-0.87,-807975168,-3.39,-27847936,-0.12,1043575552,4.37
2023-06-21,BK0853,电子竞技,1259.45,-4.51,-2407686064,-9.81,-1656025008,-6.75,-751661056,-3.06,472611584,1.93,1935074048,7.88
2023-06-20,BK0853,电子竞技,1318.88,0.47,-139951600,-0.53,-18396400,-0.07,-121555200,-0.46,154877440,0.58,-14926080,-0.06
2023-06-19,BK0853,电子竞技,1312.67,0.46,-381403664,-1.48,232941808,0.9,-614345472,-2.38,-59693056,-0.23,441096704,1.71
2023-06-16,BK0853,电子竞技,1306.6,1.08,703066720,2.99,583879008,2.48,119187712,0.51,-501989632,-2.13,-201076992,-0.85
