日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0941,疫苗冷链,1165.36,-0.76,-71317114,-1.86,-40479386,-1.05,-30837728,-0.8,26902144,0.7000000000000001,44414960,1.16
2023-07-04,BK0941,疫苗冷链,1174.33,-0.43,-172056224,-3.91,-58674304,-1.33,-113381920,-2.58,93033040,2.11,79023168,1.8
2023-07-03,BK0941,疫苗冷链,1179.4,-0.05,-18239443,-0.37,2019405,0.04,-20258848,-0.41,-15673136,-0.32,33912592,0.6900000000000001
2023-06-30,BK0941,疫苗冷链,1179.99,1.83,-30736096,-0.53,10190928,0.18,-40927024,-0.71,89462144,1.54,-58726048,-1.01
2023-06-29,BK0941,疫苗冷链,1158.84,1.31,-70342399,-1.86,1953697,0.05,-72296096,-1.91,-7422816,-0.2,77765216,2.05
2023-06-28,BK0941,疫苗冷链,1143.82,-0.14,-144543197,-3.64,-25992797,-0.65,-118550400,-2.99,16826368,0.42,127716832,3.22
2023-06-27,BK0941,疫苗冷链,1145.48,2.56,-12693231,-0.32,46796945,1.2,-59490176,-1.52,-9453984,-0.24,22147216,0.5700000000000001
2023-06-26,BK0941,疫苗冷链,1116.89,-1.41,-140166678,-3.85,-37757798,-1.04,-102408880,-2.8200000000000003,-40072080,-1.1,180238752,4.95
2023-06-21,BK0941,疫苗冷链,1132.83,-0.48,-111623034,-2.9,-55774170,-1.45,-55848864,-1.45,-43051248,-1.12,154674272,4.02
2023-06-20,BK0941,疫苗冷链,1138.29,-0.21,-75560831,-2.22,-33562239,-0.98,-41998592,-1.23,-24791152,-0.73,100351968,2.94
2023-06-19,BK0941,疫苗冷链,1140.63,-0.66,-279293887,-8.05,-156999631,-4.52,-122294256,-3.52,3402064,0.1,275891824,7.95
2023-06-16,BK0941,疫苗冷链,1148.25,0.09,-103936018,-2.65,-137267842,-3.5,33331824,0.85,57526272,1.47,46409760,1.18
