日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK1085,痘病毒防治,868.08,-0.36,-196897104,-6.47,-143062160,-4.7,-53834944,-1.77,73129152,2.4,123767968,4.07
2023-07-06,BK1085,痘病毒防治,871.18,-1.26,-180761904,-4.9,-89577872,-2.43,-91184032,-2.47,25142656,0.68,155619248,4.22
2023-07-05,BK1085,痘病毒防治,882.28,-0.14,135116832,3.81,209949728,5.93,-74832896,-2.11,-100514096,-2.84,-34602752,-0.98
2023-07-04,BK1085,痘病毒防治,883.51,0.06,-135766176,-3.25,-63004864,-1.51,-72761312,-1.74,68705248,1.64,67060912,1.6
2023-07-03,BK1085,痘病毒防治,882.97,0.63,34263584,0.8300000000000001,25633456,0.62,8630128,0.21,-20673968,-0.5,-13589616,-0.33
2023-06-30,BK1085,痘病毒防治,877.43,1.22,-77906016,-2.07,-15742048,-0.42,-62163968,-1.65,54283856,1.44,23622160,0.63
2023-06-29,BK1085,痘病毒防治,866.86,0.8200000000000001,-74918408,-2.35,-1954344,-0.06,-72964064,-2.29,-18268016,-0.5700000000000001,93186416,2.93
2023-06-28,BK1085,痘病毒防治,859.8,-0.86,-274184320,-7.66,-135169040,-3.77,-139015280,-3.88,49543280,1.38,224641056,6.27
2023-06-27,BK1085,痘病毒防治,867.22,1.11,-38804033,-1.2,-70405937,-2.17,31601904,0.98,-20466976,-0.63,59271024,1.83
2023-06-26,BK1085,痘病毒防治,857.7,-1.29,-139914656,-3.17,-70557728,-1.6,-69356928,-1.57,-62268992,-1.41,202183648,4.58
2023-06-21,BK1085,痘病毒防治,868.91,-1.02,-227484896,-4.5,-25734672,-0.51,-201750224,-3.99,34085632,0.67,193399280,3.82
2023-06-20,BK1085,痘病毒防治,877.85,-0.39,-192692023,-6.11,-102350567,-3.25,-90341456,-2.87,-7428544,-0.24,200120576,6.35
2023-06-19,BK1085,痘病毒防治,881.29,-0.73,-148198192,-3.6,-96753664,-2.35,-51444528,-1.25,-14435408,-0.35000000000000003,162633584,3.95
2023-06-16,BK1085,痘病毒防治,887.81,0.37,50910480,1.33,54158336,1.41,-3247856,-0.08,-65872272,-1.72,14961792,0.39
