日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK1059,百元股,703.23,0.27,-616573696,-1.08,-309395968,-0.54,-307177728,-0.54,233721344,0.41,382852352,0.67
2023-08-02,BK1059,百元股,701.36,0.12,-953152768,-1.74,-251894528,-0.46,-701258240,-1.28,115167488,0.21,837985024,1.53
2023-08-01,BK1059,百元股,700.51,-0.59,-2975360000,-4.29,-1661565696,-2.4,-1313794304,-1.9,521383424,0.75,2453976320,3.54
2023-07-31,BK1059,百元股,704.68,0.51,-545477632,-0.5700000000000001,288228608,0.30000000000000004,-833706240,-0.87,275136000,0.29,270341376,0.28
2023-07-28,BK1059,百元股,701.11,0.9,1689914368,2.18,1670697984,2.15,19216384,0.02,-942536448,-1.21,-747378176,-0.96
2023-07-27,BK1059,百元股,694.85,-1.0,-855232768,-1.4,-214240768,-0.35000000000000003,-640992000,-1.05,707716864,1.16,147515904,0.24
2023-07-26,BK1059,百元股,701.84,-0.41,-1930459648,-3.19,-1396507648,-2.31,-533952000,-0.88,1235829504,2.04,694630400,1.15
2023-07-24,BK1059,百元股,692.71,-0.86,-3286091520,-7.06,-1684670976,-3.62,-1601420544,-3.44,1023778816,2.2,2262312704,4.86
2023-07-21,BK1059,百元股,698.7,-0.73,-602465024,-1.05,-643717120,-1.13,41252096,0.07,-374213888,-0.65,976678912,1.71
2023-07-20,BK1059,百元股,703.82,-1.9,-3023579904,-4.96,-2729555968,-4.47,-294023936,-0.48,780709376,1.28,2242870528,3.68
2023-07-19,BK1059,百元股,717.46,-0.8,-2001816064,-3.66,-805566976,-1.47,-1196249088,-2.19,-151083520,-0.28,2152899840,3.94
2023-07-17,BK1059,百元股,727.34,-0.85,-2810913280,-4.41,-1493656320,-2.35,-1317256960,-2.07,223747328,0.35000000000000003,2587165952,4.06
2023-07-14,BK1059,百元股,733.58,-0.24,-1848925952,-2.39,-1446503424,-1.87,-402422528,-0.52,418436352,0.54,1430489344,1.85
2023-07-13,BK1059,百元股,735.38,1.66,3913194496,4.48,2700829184,3.09,1212365312,1.39,-1591830272,-1.82,-2321364480,-2.66
2023-07-12,BK1059,百元股,723.37,-1.73,-3034801920,-4.19,-1683088896,-2.32,-1351713024,-1.87,1408518400,1.94,1626283264,2.25
2023-07-11,BK1059,百元股,736.1,0.97,434536960,0.7000000000000001,954542592,1.53,-520005632,-0.8300000000000001,-199934976,-0.32,-234601728,-0.38
2023-07-10,BK1059,百元股,729.06,0.1,1358469376,2.19,996806912,1.61,361662464,0.58,-276161024,-0.44,-1082308352,-1.74
2023-07-07,BK1059,百元股,728.32,-1.36,-1418874624,-2.37,-761510400,-1.27,-657364224,-1.1,390893568,0.65,1027980800,1.72
2023-07-06,BK1059,百元股,738.33,-0.23,-1437255424,-2.28,-649638912,-1.03,-787616512,-1.25,230843904,0.37,1206411520,1.91
2023-07-05,BK1059,百元股,740.06,-1.43,-3653009920,-5.36,-2118715136,-3.11,-1534294784,-2.25,755537408,1.11,2897472256,4.25
2023-07-04,BK1059,百元股,750.79,1.17,-198072320,-0.28,566177792,0.79,-764250112,-1.06,-100468736,-0.14,298540800,0.42
2023-07-03,BK1059,百元股,742.08,0.59,163031040,0.18,-610327552,-0.66,773358592,0.84,-219363328,-0.24,56332032,0.06
2023-06-30,BK1059,百元股,737.7,1.12,961427968,1.35,199939072,0.28,761488896,1.07,-485780224,-0.68,-475647744,-0.67
2023-06-29,BK1059,百元股,729.5,0.37,-2055394048,-3.08,-1150451456,-1.72,-904942592,-1.35,155992064,0.23,1899401984,2.84
2023-06-28,BK1059,百元股,726.83,-0.42,163481856,0.22,-347472128,-0.47,510953984,0.6900000000000001,-376554752,-0.51,213073152,0.29
2023-06-27,BK1059,百元股,729.92,0.06,-905240576,-1.33,-330942464,-0.49,-574298112,-0.84,783224064,1.15,122016256,0.18
2023-06-26,BK1059,百元股,729.49,-2.0,-4154969344,-4.68,-2474819840,-2.79,-1680149504,-1.89,520705536,0.59,3634263808,4.09
2023-06-21,BK1059,百元股,744.39,-3.12,-4562483968,-4.95,-3224058624,-3.5,-1338425344,-1.45,946183680,1.03,3616300288,3.93
2023-06-20,BK1059,百元股,768.39,0.2,-2002072320,-2.12,-688783872,-0.73,-1313288448,-1.39,-560359168,-0.59,2562431744,2.71
2023-06-19,BK1059,百元股,766.89,1.08,-2997686528,-2.88,-2195770624,-2.11,-801915904,-0.77,657127168,0.63,2340559360,2.25
2023-06-16,BK1059,百元股,758.73,1.62,1489086208,1.45,1779545600,1.73,-290459392,-0.28,-1581187584,-1.54,92101632,0.09
