日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0845,百度概念,1270.41,-1.44,-3928390400,-6.7,-2410584320,-4.11,-1517806080,-2.59,919570944,1.57,3008819200,5.13
2023-07-04,BK0845,百度概念,1288.91,1.28,349020672,0.55,626800384,0.99,-277779712,-0.44,-3643648,-0.01,-345377024,-0.55
2023-07-03,BK0845,百度概念,1272.6,-0.03,-694166528,-1.07,-779812096,-1.2,85645568,0.13,230905856,0.35000000000000003,463260672,0.71
2023-06-30,BK0845,百度概念,1273.03,0.63,-1354987264,-2.34,-748650752,-1.3,-606336512,-1.05,-95772672,-0.17,1450760192,2.51
2023-06-29,BK0845,百度概念,1265.08,1.08,-1552388352,-2.56,-771320576,-1.27,-781067776,-1.29,358541824,0.59,1193846272,1.97
2023-06-28,BK0845,百度概念,1251.55,-2.05,-1826314240,-2.89,-966051584,-1.53,-860262656,-1.36,138860288,0.22,1687453952,2.67
2023-06-27,BK0845,百度概念,1277.77,1.12,-1393691392,-2.56,-822749440,-1.51,-570941952,-1.05,258866688,0.48,1134824704,2.09
2023-06-26,BK0845,百度概念,1263.67,-4.79,-4341425664,-5.48,-1464353024,-1.85,-2877072640,-3.63,-830213888,-1.05,5171639808,6.53
2023-06-21,BK0845,百度概念,1327.18,-3.88,-8136367104,-10.08,-4967970560,-6.16,-3168396544,-3.93,901023488,1.12,7235343616,8.97
2023-06-20,BK0845,百度概念,1380.71,0.16,-2690093056,-3.0,-1781621504,-1.99,-908471552,-1.01,234586624,0.26,2455505920,2.74
2023-06-19,BK0845,百度概念,1378.53,1.58,-970548224,-1.09,455179008,0.51,-1425727232,-1.6,-19869184,-0.02,990417152,1.11
2023-06-16,BK0845,百度概念,1357.07,1.67,1143217408,1.34,1410461696,1.65,-267244288,-0.31,-775573504,-0.91,-367644160,-0.43
