日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0954,盲盒经济,1089.02,-0.15,-343743383,-7.98,-155456727,-3.61,-188286656,-4.37,130351264,3.03,213392128,4.96
2023-07-13,BK0954,盲盒经济,1090.68,2.23,381611038,12.32,352521518,11.38,29089520,0.94,-146050352,-4.71,-235560704,-7.6
2023-07-12,BK0954,盲盒经济,1066.9,-1.73,-104762461,-4.33,-2889149,-0.12,-101873312,-4.21,-13241872,-0.55,118004336,4.87
2023-07-11,BK0954,盲盒经济,1085.66,0.99,14560666,0.71,28940442,1.42,-14379776,-0.71,-2603920,-0.13,-11956752,-0.59
2023-07-10,BK0954,盲盒经济,1074.98,0.8,34068318,2.48,-13496386,-0.98,47564704,3.46,58398928,4.25,-92467248,-6.72
2023-07-07,BK0954,盲盒经济,1066.48,-1.28,-94051202,-5.49,-15367490,-0.9,-78683712,-4.59,20683920,1.21,73367296,4.28
2023-07-06,BK0954,盲盒经济,1080.29,0.08,84199592,3.9,41550440,1.93,42649152,1.98,-31491424,-1.46,-52708176,-2.44
2023-07-05,BK0954,盲盒经济,1079.47,-1.66,-86742563,-5.27,-25705683,-1.56,-61036880,-3.71,58257120,3.54,28485440,1.73
2023-07-04,BK0954,盲盒经济,1097.64,-0.26,-130102485,-6.65,-38917525,-1.99,-91184960,-4.66,-44055104,-2.25,174157584,8.9
2023-07-03,BK0954,盲盒经济,1100.53,-0.14,-14056034,-0.5700000000000001,-98370,0.0,-13957664,-0.5700000000000001,-57101408,-2.33,71157440,2.91
2023-06-30,BK0954,盲盒经济,1102.12,0.45,-22052017,-1.01,32211087,1.48,-54263104,-2.49,-102155600,-4.68,124207632,5.69
2023-06-29,BK0954,盲盒经济,1097.16,1.24,-1778803,-0.06,-72201235,-2.56,70422432,2.5,80068016,2.84,-78289216,-2.78
2023-06-28,BK0954,盲盒经济,1083.75,-0.75,-60546774,-1.83,-22906838,-0.6900000000000001,-37639936,-1.14,58008128,1.76,2538656,0.08
2023-06-27,BK0954,盲盒经济,1091.98,2.62,-32048285,-1.29,-18953149,-0.76,-13095136,-0.53,-1211072,-0.05,33259360,1.34
2023-06-26,BK0954,盲盒经济,1064.06,-3.77,-386972259,-11.32,-131137827,-3.84,-255834432,-7.48,18240736,0.53,368731504,10.79
2023-06-21,BK0954,盲盒经济,1105.7,-3.72,-710534146,-15.48,-362651346,-7.9,-347882800,-7.58,-90736816,-1.98,801270960,17.45
2023-06-20,BK0954,盲盒经济,1148.42,-1.29,-332234112,-5.95,-219192608,-3.92,-113041504,-2.02,82037520,1.47,250196608,4.48
2023-06-19,BK0954,盲盒经济,1163.48,1.13,353713968,5.49,198035776,3.07,155678192,2.42,-86110800,-1.34,-267603168,-4.15
2023-06-16,BK0954,盲盒经济,1150.44,1.13,-95907264,-2.31,-45964480,-1.11,-49942784,-1.21,-55276352,-1.33,151183616,3.65
