日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0977,碳化硅,1176.67,0.4,-105350245,-3.89,-18549781,-0.6900000000000001,-86800464,-3.21,-41851168,-1.55,147053296,5.43
2023-08-09,BK0977,碳化硅,1171.96,-0.89,-512351693,-14.14,-179226333,-4.95,-333125360,-9.2,-51491232,-1.42,563747440,15.56
2023-08-08,BK0977,碳化硅,1182.52,-1.1,-366577786,-9.06,-155297066,-3.84,-211280720,-5.22,-2674480,-0.07,369260256,9.12
2023-08-07,BK0977,碳化硅,1195.7,-0.32,-204274880,-4.91,-57399824,-1.38,-146875056,-3.53,-46714288,-1.12,250762384,6.02
2023-08-04,BK0977,碳化硅,1199.48,0.1,-112935872,-2.36,12671168,0.26,-125607040,-2.62,4131600,0.09,108734224,2.27
2023-08-03,BK0977,碳化硅,1198.24,-0.2,-74786359,-1.76,-64401303,-1.51,-10385056,-0.24,39659248,0.93,35180960,0.8300000000000001
2023-08-02,BK0977,碳化硅,1200.68,-0.19,8313040,0.17,-24621360,-0.51,32934400,0.68,10729824,0.22,-19256816,-0.4
2023-08-01,BK0977,碳化硅,1203.0,0.15,-128705824,-2.64,-60034704,-1.23,-68671120,-1.41,47394736,0.97,81143584,1.66
2023-07-31,BK0977,碳化硅,1201.19,0.75,-59787552,-1.12,6334560,0.12,-66122112,-1.24,-11107504,-0.21,70466160,1.32
2023-07-28,BK0977,碳化硅,1192.2,0.56,-196522832,-3.85,-34901296,-0.68,-161621536,-3.16,-68363648,-1.34,264895568,5.18
2023-07-27,BK0977,碳化硅,1185.61,-1.09,-590115120,-10.82,-252356208,-4.63,-337758912,-6.19,112942192,2.07,477050864,8.74
2023-07-26,BK0977,碳化硅,1198.63,-1.47,-461947770,-9.77,-260726826,-5.52,-201220944,-4.26,126939312,2.69,334874928,7.08
2023-07-24,BK0977,碳化硅,1189.52,-0.66,-272907389,-5.3,-117956829,-2.29,-154950560,-3.01,-27231856,-0.53,299998464,5.83
2023-07-21,BK0977,碳化硅,1197.46,-0.7000000000000001,123131648,1.8,132292976,1.93,-9161328,-0.13,-110723488,-1.62,-12590192,-0.18
2023-07-20,BK0977,碳化硅,1205.9,-1.9,-671907216,-10.02,-303126976,-4.52,-368780240,-5.5,-47919120,-0.71,719222576,10.72
2023-07-19,BK0977,碳化硅,1229.29,-0.76,-169344976,-2.15,-228687120,-2.9,59342144,0.75,-12119888,-0.15,181239248,2.3
2023-07-17,BK0977,碳化硅,1234.76,-0.9,-359376160,-5.91,-189371552,-3.11,-170004608,-2.79,87469280,1.44,271777392,4.47
2023-07-14,BK0977,碳化硅,1245.92,-0.13,-199328,0.0,55682192,0.76,-55881520,-0.76,-22652160,-0.31,22741856,0.31
2023-07-13,BK0977,碳化硅,1247.53,1.45,175022272,2.4,30305840,0.41,144716432,1.98,-106405696,-1.46,-68613776,-0.94
2023-07-12,BK0977,碳化硅,1229.73,-1.6800000000000002,-721122880,-9.24,-312745248,-4.01,-408377632,-5.23,90506048,1.16,630111200,8.07
