日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1006,碳基材料,792.54,-0.05,-48055121,-2.6,-78211297,-4.23,30156176,1.63,-49161344,-2.66,97216480,5.25
2023-08-11,BK1006,碳基材料,792.91,-2.13,-176228405,-9.47,-105199461,-5.65,-71028944,-3.82,-6762240,-0.36,182990656,9.84
2023-08-10,BK1006,碳基材料,810.14,0.42,-2003014,-0.14,26857738,1.88,-28860752,-2.02,17518384,1.23,-15515376,-1.09
2023-08-09,BK1006,碳基材料,806.78,-0.92,-160656650,-8.68,-108562346,-5.86,-52094304,-2.81,-20194928,-1.09,180851568,9.77
2023-08-08,BK1006,碳基材料,814.28,-1.19,-330123423,-12.69,-116521935,-4.48,-213601488,-8.21,-13712224,-0.53,343835648,13.22
2023-08-07,BK1006,碳基材料,824.09,-0.5,-176805426,-5.77,-81941522,-2.67,-94863904,-3.09,58146464,1.9,118658976,3.87
2023-08-04,BK1006,碳基材料,828.23,0.31,-107610030,-3.52,-46101182,-1.51,-61508848,-2.01,36733696,1.2,70876336,2.32
2023-08-03,BK1006,碳基材料,825.63,-0.8300000000000001,-199699799,-6.22,-106590823,-3.32,-93108976,-2.9,6402240,0.2,193297552,6.02
2023-08-02,BK1006,碳基材料,832.51,0.81,-95610992,-1.74,-49066464,-0.89,-46544528,-0.85,87592416,1.59,8018576,0.15
2023-08-01,BK1006,碳基材料,825.78,0.15,-68354042,-2.45,-18950138,-0.68,-49403904,-1.77,3837344,0.14,64516672,2.31
2023-07-31,BK1006,碳基材料,824.58,1.31,-96914066,-3.95,-64873570,-2.65,-32040496,-1.31,5448096,0.22,91465968,3.73
2023-07-28,BK1006,碳基材料,813.9,0.5700000000000001,-58579276,-2.55,12585188,0.55,-71164464,-3.09,-17534880,-0.76,76114160,3.31
2023-07-27,BK1006,碳基材料,809.3,-1.02,-187029015,-9.54,-70034615,-3.5700000000000003,-116994400,-5.97,13165824,0.67,173863168,8.87
2023-07-26,BK1006,碳基材料,817.61,-1.05,-5376011,-0.22,70430613,2.9,-75806624,-3.12,-37649840,-1.55,43025824,1.77
2023-07-24,BK1006,碳基材料,810.03,0.41,-29597579,-1.41,16825349,0.8,-46422928,-2.21,13075776,0.62,16521808,0.79
2023-07-21,BK1006,碳基材料,806.69,-0.05,-16272842,-0.88,10441958,0.5700000000000001,-26714800,-1.45,1622080,0.09,14650752,0.8
