日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0975,磁悬浮概念,1467.59,-0.28,-235853315,-6.6,-127817411,-3.5700000000000003,-108035904,-3.02,13021392,0.36,222831920,6.23
2023-09-04,BK0975,磁悬浮概念,1476.87,1.43,224334944,4.78,168930176,3.6,55404768,1.18,-122276672,-2.61,-102058272,-2.18
2023-08-31,BK0975,磁悬浮概念,1457.85,-0.31,-185248992,-4.04,-45050464,-0.98,-140198528,-3.06,11416944,0.25,173832064,3.79
2023-08-29,BK0975,磁悬浮概念,1444.56,3.83,-114537648,-1.96,-635920,-0.01,-113901728,-1.95,-88088080,-1.51,202625744,3.48
2023-08-28,BK0975,磁悬浮概念,1391.28,1.23,-201328944,-3.38,-117686080,-1.98,-83642864,-1.41,-144301952,-2.42,345630896,5.8100000000000005
2023-08-25,BK0975,磁悬浮概念,1374.38,-2.35,-413389927,-9.51,-216431671,-4.98,-196958256,-4.53,-34034512,-0.78,447424432,10.3
2023-08-24,BK0975,磁悬浮概念,1407.41,-1.92,-912566544,-14.24,-589988352,-9.2,-322578192,-5.03,246024944,3.84,666541600,10.4
2023-08-23,BK0975,磁悬浮概念,1434.9,-1.88,-326222778,-7.43,-188055658,-4.28,-138167120,-3.15,-22302416,-0.51,348525168,7.93
2023-08-21,BK0975,磁悬浮概念,1463.6,-0.68,-130356464,-3.03,14764960,0.34,-145121424,-3.38,32070128,0.75,98286336,2.29
2023-08-18,BK0975,磁悬浮概念,1473.55,-0.68,-255678656,-5.39,-190250656,-4.01,-65428000,-1.38,22029328,0.46,233649328,4.92
2023-08-16,BK0975,磁悬浮概念,1462.13,-0.51,-151995760,-3.52,-87248032,-2.02,-64747728,-1.5,-12450336,-0.29,164446096,3.81
2023-08-15,BK0975,磁悬浮概念,1469.67,-0.32,-264207728,-5.69,-118963600,-2.56,-145244128,-3.13,8745168,0.19,255462544,5.5
2023-08-14,BK0975,磁悬浮概念,1474.39,1.83,141017520,3.14,143273648,3.19,-2256128,-0.05,-56335904,-1.25,-84681600,-1.88
2023-08-11,BK0975,磁悬浮概念,1447.85,-1.98,-374595901,-9.03,-209536125,-5.05,-165059776,-3.98,62884400,1.52,311711504,7.52
2023-08-10,BK0975,磁悬浮概念,1477.06,-0.45,-340921810,-8.57,-178049282,-4.48,-162872528,-4.09,65348992,1.64,275572816,6.93
2023-08-09,BK0975,磁悬浮概念,1483.75,-1.06,-243464368,-5.41,-96931488,-2.16,-146532880,-3.26,-1735312,-0.04,245199664,5.45
2023-08-08,BK0975,磁悬浮概念,1499.71,-1.13,-215892304,-4.04,-86487760,-1.62,-129404544,-2.42,-34346704,-0.64,250238976,4.68
2023-08-07,BK0975,磁悬浮概念,1516.79,1.5,-58578688,-0.79,-165736096,-2.23,107157408,1.44,41580976,0.56,16997712,0.23
2023-08-04,BK0975,磁悬浮概念,1494.43,0.17,-58842160,-0.93,138619168,2.2,-197461328,-3.13,-32477488,-0.52,91319664,1.45
2023-08-03,BK0975,磁悬浮概念,1491.87,-1.03,-308213680,-5.24,-262051344,-4.45,-46162336,-0.78,63190480,1.07,245023216,4.16
