日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK1143,空间计算,920.36,-1.17,-172302560,-7.78,-83399056,-3.76,-88903504,-4.01,24808000,1.12,147494576,6.66
2023-07-06,BK1143,空间计算,931.22,-0.32,-95343074,-4.72,-44323202,-2.19,-51019872,-2.52,-24253840,-1.2,119596912,5.92
2023-07-05,BK1143,空间计算,934.18,-1.07,-139176370,-5.43,-81338626,-3.17,-57837744,-2.26,54587120,2.13,84589248,3.3
2023-07-04,BK1143,空间计算,944.33,0.48,-95443567,-3.61,-36704495,-1.39,-58739072,-2.22,47458816,1.8,47984752,1.82
2023-07-03,BK1143,空间计算,939.81,-0.41,-125941367,-3.8,-58973847,-1.78,-66967520,-2.02,79091152,2.39,46850208,1.41
2023-06-30,BK1143,空间计算,943.64,1.0,66179660,1.95,8542796,0.25,57636864,1.69,22208,0.0,-66201856,-1.95
2023-06-29,BK1143,空间计算,934.28,1.0,-19341808,-0.5700000000000001,-13017200,-0.38,-6324608,-0.19,66972688,1.96,-47630896,-1.39
2023-06-28,BK1143,空间计算,925.03,-0.9,-88713892,-2.15,-53410100,-1.3,-35303792,-0.86,49665920,1.2,39047952,0.95
2023-06-27,BK1143,空间计算,933.44,2.08,-36744187,-1.28,31684709,1.1,-68428896,-2.38,-27684496,-0.96,64428672,2.24
2023-06-26,BK1143,空间计算,914.41,-3.84,-341844762,-9.93,-83674378,-2.43,-258170384,-7.5,-56339952,-1.64,398184704,11.57
2023-06-21,BK1143,空间计算,950.94,-3.42,-563447058,-13.29,-266934418,-6.29,-296512640,-6.99,6893520,0.16,556553520,13.12
2023-06-20,BK1143,空间计算,984.64,-1.6800000000000002,-168680704,-3.33,-36475360,-0.72,-132205344,-2.61,26015520,0.51,142665168,2.81
2023-06-19,BK1143,空间计算,1001.5,1.5,-203454064,-3.71,-141838672,-2.59,-61615392,-1.12,38117824,0.7000000000000001,165336224,3.02
2023-06-16,BK1143,空间计算,986.72,0.71,-226937072,-4.33,-88003600,-1.6800000000000002,-138933472,-2.65,-18879360,-0.36,245816416,4.69
