日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK1121,第四代半导体,1161.1,0.41,-92433233,-11.77,-56849634,-7.24,-35583599,-4.53,23788941,3.03,68644286,8.74
2023-07-31,BK1121,第四代半导体,1156.34,0.62,-17100178,-1.73,-15125579,-1.53,-1974599,-0.2,-11590656,-1.18,28690848,2.91
2023-07-28,BK1121,第四代半导体,1149.16,1.69,-35119937,-4.11,-12443207,-1.45,-22676730,-2.65,-32770591,-3.83,67890533,7.94
2023-07-27,BK1121,第四代半导体,1130.08,-0.99,-65048176,-8.47,-22505031,-2.93,-42543145,-5.54,-2443337,-0.32,67491507,8.79
2023-07-26,BK1121,第四代半导体,1141.38,-0.5,-31131065,-3.6,-15162699,-1.76,-15968366,-1.85,8408592,0.97,22722474,2.63
2023-07-24,BK1121,第四代半导体,1129.24,0.34,-29769950,-5.79,-14236324,-2.77,-15533626,-3.02,18983161,3.69,10786790,2.1
2023-07-21,BK1121,第四代半导体,1125.41,0.03,12082103,2.11,23701399,4.13,-11619296,-2.03,-24327893,-4.24,12245790,2.14
2023-07-20,BK1121,第四代半导体,1125.11,-1.1,-57423371,-9.32,-21280358,-3.45,-36143013,-5.87,-18020486,-2.93,75443858,12.25
2023-07-19,BK1121,第四代半导体,1137.6,-0.75,-17567545,-2.86,14690046,2.39,-32257591,-5.26,-21245068,-3.46,38812614,6.32
2023-07-17,BK1121,第四代半导体,1128.35,0.24,-10511707,-1.56,-1249584,-0.19,-9262123,-1.37,-3775744,-0.56,14287451,2.12
2023-07-14,BK1121,第四代半导体,1125.68,-0.6000000000000001,-40831807,-6.66,-11355328,-1.85,-29476479,-4.8100000000000005,-7270053,-1.19,48101859,7.85
2023-07-13,BK1121,第四代半导体,1132.5,1.03,-9704454,-1.62,-11866266,-1.98,2161812,0.36,-15270439,-2.55,24974893,4.17
2023-07-12,BK1121,第四代半导体,1120.93,-1.81,-138507727,-14.39,-83731527,-8.7,-54776200,-5.69,672480,0.07,137835240,14.32
2023-07-11,BK1121,第四代半导体,1141.61,0.55,-34519674,-4.98,-26290220,-3.79,-8229454,-1.19,-26402442,-3.81,60922115,8.79
2023-07-10,BK1121,第四代半导体,1135.41,-0.53,-64763093,-9.44,-28526216,-4.16,-36236877,-5.28,-3243731,-0.47,68006823,9.91
2023-07-07,BK1121,第四代半导体,1141.46,-1.15,-53426960,-4.7,-21823357,-1.92,-31603603,-2.78,-24215792,-2.13,77642736,6.84
2023-07-06,BK1121,第四代半导体,1154.77,-0.22,-81805816,-4.99,-51273368,-3.13,-30532448,-1.86,12708048,0.77,69097744,4.21
2023-07-05,BK1121,第四代半导体,1157.36,-0.59,2346128,0.45,1410768,0.27,935360,0.18,-764031,-0.15,-1582097,-0.30000000000000004
2023-07-04,BK1121,第四代半导体,1164.23,0.5,-30188483,-4.67,-27948515,-4.32,-2239968,-0.35000000000000003,-2525693,-0.39,32714176,5.06
2023-07-03,BK1121,第四代半导体,1158.49,0.1,25669922,5.5600000000000005,13197774,2.86,12472148,2.7,-12324844,-2.67,-13345077,-2.89
2023-06-30,BK1121,第四代半导体,1157.31,1.16,17592816,4.18,16849116,4.0,743700,0.18,-25614245,-6.08,8021428,1.9
2023-06-29,BK1121,第四代半导体,1144.0,-0.56,-15052438,-4.71,-14175072,-4.44,-877366,-0.27,5967390,1.87,9085048,2.84
2023-06-28,BK1121,第四代半导体,1150.39,0.03,-12861990,-4.15,-8855242,-2.86,-4006748,-1.29,-3092262,-1.0,15954253,5.15
2023-06-27,BK1121,第四代半导体,1150.08,2.07,-3969804,-1.06,-14515916,-3.86,10546112,2.8,1108465,0.29,2861340,0.76
2023-06-26,BK1121,第四代半导体,1126.73,-1.55,-34382700,-8.89,-19488506,-5.04,-14894194,-3.85,2478008,0.64,31904691,8.25
2023-06-21,BK1121,第四代半导体,1144.45,-1.16,-22437451,-2.58,-1296001,-0.15,-21141450,-2.43,-14468336,-1.66,36905795,4.24
2023-06-20,BK1121,第四代半导体,1157.83,-1.4,-67247236,-6.28,-58657028,-5.48,-8590208,-0.8,-5645728,-0.53,72892968,6.8100000000000005
2023-06-19,BK1121,第四代半导体,1174.29,0.63,2721471,0.17,37913039,2.37,-35191568,-2.2,-7319856,-0.46,4598352,0.29
2023-06-16,BK1121,第四代半导体,1166.97,0.66,101074861,7.3,46471885,3.36,54602976,3.94,11754480,0.85,-112829344,-8.15
