日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1134,算力概念,1100.03,0.98,37052592,0.11,264756144,0.8200000000000001,-227703552,-0.7000000000000001,-746978304,-2.31,709925888,2.19
2023-09-04,BK1134,算力概念,1102.9,1.9,556294400,1.84,662212352,2.19,-105917952,-0.35000000000000003,-245642240,-0.81,-310652160,-1.03
2023-08-31,BK1134,算力概念,1097.95,-0.32,-773054928,-2.23,-297643984,-0.86,-475410944,-1.37,224266752,0.65,548787968,1.59
2023-08-29,BK1134,算力概念,1071.71,4.16,2614606080,6.2,1897686784,4.5,716919296,1.7000000000000002,-1321969152,-3.14,-1292636672,-3.07
2023-08-28,BK1134,算力概念,1028.86,0.74,-1068390656,-2.54,80993792,0.19,-1149384448,-2.74,-233827840,-0.56,1302218496,3.1
2023-08-25,BK1134,算力概念,1021.26,-5.02,-5038413312,-11.57,-3589570816,-8.24,-1448842496,-3.33,1284122368,2.95,3754291200,8.62
2023-08-24,BK1134,算力概念,1075.26,1.5,847067136,1.93,667711744,1.52,179355392,0.41,-493865472,-1.12,-353201664,-0.8
2023-08-23,BK1134,算力概念,1059.38,-2.99,-2870181232,-8.4,-1933679728,-5.66,-936501504,-2.74,1255952640,3.68,1614228736,4.72
2023-08-21,BK1134,算力概念,1048.92,1.43,619558544,2.34,800271504,3.03,-180712960,-0.68,-525959424,-1.99,-93599232,-0.35000000000000003
2023-08-18,BK1134,算力概念,1034.16,-3.0,-2860979392,-9.51,-1714784960,-5.7,-1146194432,-3.81,658280448,2.19,2202698752,7.32
2023-08-16,BK1134,算力概念,1056.6,-2.8200000000000003,-3645405584,-10.84,-2307837584,-6.86,-1337568000,-3.98,417892608,1.24,3227512576,9.6
2023-08-15,BK1134,算力概念,1087.26,-1.19,-1322554112,-3.91,-697671168,-2.06,-624882944,-1.85,106737920,0.32,1215815936,3.6
2023-08-14,BK1134,算力概念,1100.31,2.73,404868784,1.24,423570352,1.3,-18701568,-0.06,-566754048,-1.74,161885184,0.5
2023-08-11,BK1134,算力概念,1071.03,-2.27,-2211344208,-7.31,-1256073296,-4.15,-955270912,-3.16,226582016,0.75,1984762112,6.5600000000000005
2023-08-10,BK1134,算力概念,1095.94,-0.09,-1333957408,-4.78,-418132000,-1.5,-915825408,-3.28,-290659328,-1.04,1624616704,5.82
2023-08-09,BK1134,算力概念,1096.93,-2.84,-5169674608,-14.36,-2790167152,-7.75,-2379507456,-6.61,920766464,2.56,4248907776,11.8
2023-08-08,BK1134,算力概念,1128.99,-0.73,-1617204992,-4.8,-1020908800,-3.03,-596296192,-1.77,-235714560,-0.7000000000000001,1852919552,5.5
2023-08-07,BK1134,算力概念,1137.32,-0.51,-3547117568,-7.09,-2922226432,-5.84,-624891136,-1.25,872409088,1.74,2674708736,5.35
2023-08-04,BK1134,算力概念,1143.1,2.85,3978421504,7.57,3421732864,6.51,556688640,1.06,-1848475648,-3.52,-2129945856,-4.05
2023-08-03,BK1134,算力概念,1111.39,-0.39,-1864281344,-5.78,-1156723200,-3.59,-707558144,-2.19,508952576,1.58,1355329024,4.2
2023-08-02,BK1134,算力概念,1115.74,0.15,27523648,0.09,-20426176,-0.07,47949824,0.16,1260800,0.0,-28784384,-0.1
2023-08-01,BK1134,算力概念,1114.1,1.16,1292315136,3.1,1072875264,2.5700000000000003,219439872,0.53,-343694080,-0.8200000000000001,-948621312,-2.27
2023-07-31,BK1134,算力概念,1101.37,0.39,-1543871232,-3.96,-289856512,-0.74,-1254014720,-3.22,163177216,0.42,1380694016,3.54
2023-07-28,BK1134,算力概念,1097.07,1.0,258516992,0.77,1446253312,4.28,-1187736320,-3.52,-784238336,-2.32,525721344,1.56
2023-07-27,BK1134,算力概念,1086.26,-1.51,-2014932832,-7.58,-1006779488,-3.79,-1008153344,-3.79,274909952,1.03,1740022784,6.55
