日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0855,纳米银,1286.73,0.21,-50407991,-5.04,-27557205,-2.75,-22850786,-2.28,-3872368,-0.39,54280352,5.43
2023-08-11,BK0855,纳米银,1284.03,-1.9,-160019426,-11.47,-63020300,-4.52,-96999126,-6.95,30700272,2.2,129319152,9.27
2023-08-10,BK0855,纳米银,1308.84,1.03,-85802830,-8.8,-9298672,-0.95,-76504158,-7.85,-19348544,-1.98,105151360,10.78
2023-08-09,BK0855,纳米银,1295.48,-1.59,-138507826,-11.52,-53937044,-4.48,-84570782,-7.03,-10442256,-0.87,148950096,12.38
2023-08-08,BK0855,纳米银,1316.4,-0.84,-65926669,-5.52,-25820235,-2.16,-40106434,-3.36,24872656,2.08,41054000,3.43
2023-08-07,BK0855,纳米银,1327.51,0.0,-103124276,-7.11,-52409028,-3.61,-50715248,-3.5,14354944,0.99,88769344,6.12
2023-08-04,BK0855,纳米银,1327.51,-0.15,-153938644,-8.83,-39210196,-2.25,-114728448,-6.58,12686560,0.73,141252080,8.11
2023-08-03,BK0855,纳米银,1329.44,-0.77,-36650912,-2.03,-21637296,-1.2,-15013616,-0.8300000000000001,-12250304,-0.68,48901232,2.71
2023-08-02,BK0855,纳米银,1339.71,-0.16,-127277021,-5.4,-56267069,-2.39,-71009952,-3.01,55962208,2.37,71314832,3.03
2023-08-01,BK0855,纳米银,1341.79,-0.63,-174321475,-7.36,-102301251,-4.32,-72020224,-3.04,9915136,0.42,164406320,6.94
2023-07-31,BK0855,纳米银,1350.24,1.5,49399648,1.94,18211488,0.71,31188160,1.22,-8727904,-0.34,-40671744,-1.6
2023-07-28,BK0855,纳米银,1330.32,0.46,-194959334,-9.13,-75818454,-3.55,-119140880,-5.58,3224720,0.15,191734624,8.98
2023-07-27,BK0855,纳米银,1324.28,-1.56,-168765673,-6.5,-121888937,-4.69,-46876736,-1.8,18396288,0.71,150369376,5.79
2023-07-26,BK0855,纳米银,1345.25,-0.76,-167783904,-5.0,-5766384,-0.17,-162017520,-4.83,18504688,0.55,149279216,4.45
2023-07-24,BK0855,纳米银,1335.3,-0.30000000000000004,-342754966,-9.74,-248455958,-7.06,-94299008,-2.68,65248112,1.85,277506832,7.89
2023-07-21,BK0855,纳米银,1339.33,-0.18,69188432,2.86,181154256,7.49,-111965824,-4.63,-33232336,-1.37,-35956080,-1.49
2023-07-20,BK0855,纳米银,1341.79,-1.0,-210108128,-8.88,-56745472,-2.4,-153362656,-6.48,56995504,2.41,153112608,6.47
2023-07-19,BK0855,纳米银,1355.38,-0.04,-7750502,-0.41,46937018,2.51,-54687520,-2.92,-51151808,-2.73,58902304,3.14
2023-07-17,BK0855,纳米银,1357.59,0.61,59144527,4.01,15511215,1.05,43633312,2.96,19329376,1.31,-78473888,-5.32
2023-07-14,BK0855,纳米银,1349.39,-0.03,-107318972,-6.72,-75751612,-4.74,-31567360,-1.98,28563952,1.79,78755040,4.93
2023-07-13,BK0855,纳米银,1349.84,1.2,-30954159,-1.56,-643903,-0.03,-30310256,-1.53,59806864,3.01,-28852704,-1.45
2023-07-12,BK0855,纳米银,1333.87,-1.41,-77491661,-3.78,-7917101,-0.39,-69574560,-3.39,-8333648,-0.41,85825328,4.18
2023-07-11,BK0855,纳米银,1352.96,1.09,-45091716,-3.3,-62081092,-4.55,16989376,1.24,22371584,1.64,22720128,1.66
2023-07-10,BK0855,纳米银,1338.36,-0.6000000000000001,-59065538,-4.35,-34940754,-2.5700000000000003,-24124784,-1.77,12330832,0.91,46734704,3.44
2023-07-07,BK0855,纳米银,1346.41,-1.11,-136082874,-7.26,-84394954,-4.5,-51687920,-2.76,-32659520,-1.74,168742384,9.0
2023-07-06,BK0855,纳米银,1361.56,-0.31,-151895076,-6.84,-64517204,-2.91,-87377872,-3.94,-55371040,-2.49,207266128,9.33
2023-07-05,BK0855,纳米银,1365.73,0.06,-106654924,-3.54,-70567868,-2.34,-36087056,-1.2,19658288,0.65,86996656,2.89
2023-07-04,BK0855,纳米银,1364.89,1.42,8266688,0.25,18944384,0.5700000000000001,-10677696,-0.32,40266944,1.22,-48533632,-1.47
2023-07-03,BK0855,纳米银,1345.8,1.01,-6533271,-0.25,32675673,1.23,-39208944,-1.48,-21347760,-0.8,27881024,1.05
2023-06-30,BK0855,纳米银,1332.4,2.41,-112239949,-4.34,-11481165,-0.44,-100758784,-3.9,26722752,1.03,85517216,3.31
2023-06-29,BK0855,纳米银,1301.01,1.67,59586605,3.34,18232941,1.02,41353664,2.32,-48928224,-2.74,-10658368,-0.6000000000000001
2023-06-28,BK0855,纳米银,1279.7,0.22,12306673,0.65,-2413711,-0.13,14720384,0.78,-25736752,-1.36,13430080,0.71
2023-06-27,BK0855,纳米银,1276.86,1.4,-44462061,-2.84,-26844749,-1.71,-17617312,-1.12,19901232,1.27,24560832,1.57
2023-06-26,BK0855,纳米银,1259.2,-0.75,-7142126,-0.34,-10918158,-0.52,3776032,0.18,-23533616,-1.13,30675728,1.47
2023-06-21,BK0855,纳米银,1268.73,-1.36,-32383696,-1.44,-13913760,-0.62,-18469936,-0.8200000000000001,53576688,2.39,-21192992,-0.94
2023-06-20,BK0855,纳米银,1286.17,0.19,-39446159,-1.93,43901217,2.14,-83347376,-4.07,-55211904,-2.7,94658064,4.62
2023-06-19,BK0855,纳米银,1283.68,0.26,-82232218,-4.14,-42991994,-2.17,-39240224,-1.98,-22857456,-1.15,105089664,5.3
2023-06-16,BK0855,纳米银,1280.41,1.3,11941351,0.6000000000000001,-26875737,-1.36,38817088,1.96,7680736,0.39,-19622096,-0.99
