日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0851,纾困概念,1449.74,-1.29,-966871760,-7.76,-535840800,-4.3,-431030960,-3.46,243152592,1.95,723719216,5.8100000000000005
2023-07-11,BK0851,纾困概念,1468.69,0.96,-93516640,-0.91,-44553456,-0.43,-48963184,-0.48,103917968,1.01,-10401328,-0.1
2023-07-10,BK0851,纾困概念,1454.71,0.11,-110179312,-1.22,-33355664,-0.37,-76823648,-0.85,-49615104,-0.55,159794416,1.77
2023-07-07,BK0851,纾困概念,1453.04,-0.95,-442040576,-4.12,-248477056,-2.31,-193563520,-1.8,-47771280,-0.44,489811888,4.5600000000000005
2023-07-06,BK0851,纾困概念,1467.03,0.02,224775632,1.96,249718608,2.18,-24942976,-0.22,-96351856,-0.84,-128423776,-1.12
2023-07-05,BK0851,纾困概念,1466.68,-0.8300000000000001,-6831088,-0.06,21928128,0.19,-28759216,-0.25,-211580400,-1.81,218411472,1.87
2023-07-04,BK0851,纾困概念,1478.96,0.76,-61265456,-0.6000000000000001,19404512,0.19,-80669968,-0.79,-111919040,-1.1,173184496,1.7000000000000002
2023-07-03,BK0851,纾困概念,1467.82,-0.06,-470023664,-3.67,-177248480,-1.39,-292775184,-2.29,156985920,1.23,313037840,2.45
2023-06-30,BK0851,纾困概念,1468.63,1.74,500756128,3.75,220914240,1.66,279841888,2.1,-405684736,-3.04,-95071392,-0.71
2023-06-29,BK0851,纾困概念,1443.49,1.36,-34328336,-0.34,64408400,0.63,-98736736,-0.97,-18201104,-0.18,52529408,0.52
2023-06-28,BK0851,纾困概念,1424.19,-1.13,-950844528,-9.06,-462846768,-4.41,-487997760,-4.65,215488000,2.05,735356544,7.01
2023-06-27,BK0851,纾困概念,1440.42,2.47,-124127888,-1.28,-111316240,-1.15,-12811648,-0.13,-92960208,-0.96,217088080,2.24
2023-06-26,BK0851,纾困概念,1405.68,-1.75,-669093568,-5.34,-415899856,-3.32,-253193712,-2.02,37040624,0.30000000000000004,632052928,5.04
2023-06-21,BK0851,纾困概念,1430.66,-1.36,-638278544,-4.24,-126619488,-0.84,-511659056,-3.4,28841216,0.19,609437536,4.05
2023-06-20,BK0851,纾困概念,1450.43,-0.6000000000000001,-228556592,-1.4,-183917360,-1.12,-44639232,-0.27,-180073472,-1.1,408630000,2.5
2023-06-19,BK0851,纾困概念,1459.17,0.02,17496144,0.12,275213680,1.86,-257717536,-1.74,-238113024,-1.61,220617072,1.49
2023-06-16,BK0851,纾困概念,1458.82,0.52,119983440,0.99,112011968,0.93,7971472,0.07,-45055504,-0.37,-74927920,-0.62
