日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0895,维生素,1433.26,-0.21,-65512671,-3.97,-21471263,-1.3,-44041408,-2.67,-55820720,-3.38,121470688,7.36
2023-09-04,BK0895,维生素,1445.73,0.9,-12610499,-0.5,-13671923,-0.54,1061424,0.04,-78327152,-3.08,91888464,3.62
2023-08-31,BK0895,维生素,1432.98,1.15,133230080,4.78,174249392,6.25,-41019312,-1.47,-92092432,-3.31,-40871264,-1.47
2023-08-29,BK0895,维生素,1412.85,2.5,-9754694,-0.32,-20342390,-0.67,10587696,0.35000000000000003,-30934128,-1.01,40646112,1.33
2023-08-28,BK0895,维生素,1378.35,0.96,-136302149,-3.79,-52146517,-1.45,-84155632,-2.34,51853520,1.44,84222960,2.34
2023-08-25,BK0895,维生素,1365.26,-0.23,-38689914,-1.79,-33287098,-1.54,-5402816,-0.25,11105632,0.51,27511536,1.27
2023-08-24,BK0895,维生素,1368.45,0.39,-39269759,-2.02,-2505935,-0.13,-36763824,-1.89,40893072,2.11,-3988464,-0.21
2023-08-23,BK0895,维生素,1363.15,-1.82,-70946035,-4.2,-49892803,-2.96,-21053232,-1.25,1704864,0.1,68866304,4.08
2023-08-21,BK0895,维生素,1395.1,-1.11,-118148736,-5.9,-27225760,-1.36,-90922976,-4.54,56425616,2.8200000000000003,61592512,3.08
2023-08-18,BK0895,维生素,1410.79,-1.97,-183819818,-7.7,-47113322,-1.97,-136706496,-5.73,-26034880,-1.09,209955168,8.79
2023-08-16,BK0895,维生素,1440.05,-0.74,-60366899,-3.58,-16770883,-1.0,-43596016,-2.59,-29430992,-1.75,89050400,5.29
2023-08-15,BK0895,维生素,1450.73,0.30000000000000004,-32382114,-1.78,-11401474,-0.63,-20980640,-1.15,-28979184,-1.59,61176144,3.37
2023-08-14,BK0895,维生素,1446.35,-0.08,-94814373,-4.57,-14561445,-0.7000000000000001,-80252928,-3.87,4177888,0.2,90264176,4.35
2023-08-11,BK0895,维生素,1447.46,-0.62,-46618636,-2.24,-10039420,-0.48,-36579216,-1.76,38310336,1.84,7462448,0.36
2023-08-10,BK0895,维生素,1456.56,0.15,-9841325,-0.5700000000000001,-3690573,-0.21,-6150752,-0.36,-24866912,-1.44,34356192,1.99
2023-08-09,BK0895,维生素,1454.42,0.54,14826793,0.75,15553401,0.78,-726608,-0.04,-28430544,-1.43,13629664,0.6900000000000001
2023-08-08,BK0895,维生素,1446.62,0.47,-82576233,-3.55,-5555945,-0.24,-77020288,-3.32,18660256,0.8,63883712,2.75
2023-08-07,BK0895,维生素,1439.91,-1.67,-252836907,-9.43,-93333659,-3.48,-159503248,-5.95,41876272,1.56,210414080,7.85
2023-08-04,BK0895,维生素,1464.4,-0.33,-76597260,-3.27,-35780076,-1.53,-40817184,-1.74,16784448,0.72,59850768,2.55
2023-08-03,BK0895,维生素,1469.23,1.06,-70663576,-2.78,-34753688,-1.37,-35909888,-1.41,46993968,1.85,23821344,0.94
2023-08-02,BK0895,维生素,1453.8,-1.07,-101710464,-4.95,-64927504,-3.16,-36782960,-1.79,13284608,0.65,88305456,4.3
2023-08-01,BK0895,维生素,1469.51,-0.39,-185664870,-8.08,-124158054,-5.4,-61506816,-2.68,364544,0.02,184855056,8.04
2023-07-31,BK0895,维生素,1475.27,-0.48,-155765467,-4.76,-56992299,-1.74,-98773168,-3.02,-105577680,-3.23,261102704,7.98
2023-07-28,BK0895,维生素,1482.4,0.38,-22075687,-0.87,-47843895,-1.88,25768208,1.01,-84620816,-3.32,107475344,4.22
2023-07-27,BK0895,维生素,1476.8,-0.27,-77376498,-4.46,-26750690,-1.54,-50625808,-2.92,-35107968,-2.02,112344640,6.47
