日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK1024,绿色电力,1023.54,-0.36,-1075524400,-6.79,-639481648,-4.04,-436042752,-2.75,102340864,0.65,973183488,6.15
2023-08-03,BK1024,绿色电力,1027.21,0.16,-463970608,-3.26,-57935936,-0.41,-406034672,-2.85,29671168,0.21,434299392,3.05
2023-08-02,BK1024,绿色电力,1025.56,-0.72,-1350013456,-8.93,-659118192,-4.36,-690895264,-4.57,171149056,1.13,1178864640,7.79
2023-08-01,BK1024,绿色电力,1032.98,0.8,-58936288,-0.28,176315936,0.84,-235252224,-1.12,-268080384,-1.27,327016704,1.55
2023-07-31,BK1024,绿色电力,1024.81,1.04,-628519808,-3.23,-331131600,-1.7000000000000002,-297388208,-1.53,-38764544,-0.2,667284480,3.43
2023-07-28,BK1024,绿色电力,1014.26,0.32,-631171008,-3.71,-212155424,-1.25,-419015584,-2.46,-301311232,-1.77,932482048,5.48
2023-07-27,BK1024,绿色电力,1011.05,-0.5700000000000001,-1039552992,-6.77,-428657408,-2.79,-610895584,-3.98,67795200,0.44,971758080,6.32
2023-07-26,BK1024,绿色电力,1016.84,-0.17,-649051744,-4.02,-353992336,-2.19,-295059408,-1.83,-73497856,-0.46,722549504,4.48
2023-07-24,BK1024,绿色电力,1011.59,-0.18,-635030368,-4.85,-268972560,-2.06,-366057808,-2.8,138247360,1.06,496783104,3.8
2023-07-21,BK1024,绿色电力,1013.4,-0.23,-967077584,-6.53,-409438960,-2.76,-557638624,-3.76,185184512,1.25,781893120,5.28
2023-07-20,BK1024,绿色电力,1015.73,-1.24,-1193526432,-7.71,-498052000,-3.22,-695474432,-4.49,32635648,0.21,1160890624,7.49
2023-07-19,BK1024,绿色电力,1028.48,-0.01,-766330800,-5.29,-403407168,-2.79,-362923632,-2.51,137845504,0.95,628485120,4.34
2023-07-17,BK1024,绿色电力,1034.7,-0.01,-824838704,-5.15,-406271744,-2.54,-418566960,-2.61,-119845632,-0.75,944684288,5.9
2023-07-14,BK1024,绿色电力,1034.81,-1.17,-1861192576,-8.86,-984729552,-4.69,-876463024,-4.17,243596032,1.16,1617596160,7.7
2023-07-13,BK1024,绿色电力,1047.11,0.52,-351588176,-1.49,-84059984,-0.36,-267528192,-1.13,-395892224,-1.67,747480320,3.16
2023-07-12,BK1024,绿色电力,1041.68,-0.06,-385170576,-1.75,-234108560,-1.07,-151062016,-0.6900000000000001,-5528576,-0.03,390699008,1.78
2023-07-11,BK1024,绿色电力,1042.28,-0.4,-1398436832,-7.3,-653256240,-3.41,-745180592,-3.89,-53366784,-0.28,1451803904,7.58
2023-07-10,BK1024,绿色电力,1046.48,0.85,-634815440,-2.67,-291440848,-1.23,-343374592,-1.45,-29234176,-0.12,664049664,2.79
2023-07-07,BK1024,绿色电力,1037.63,0.72,211624240,1.05,199409200,0.99,12215040,0.06,-170621440,-0.85,-41003008,-0.2
2023-07-06,BK1024,绿色电力,1030.19,-0.21,-682941824,-4.34,-461020320,-2.93,-221921504,-1.41,27021568,0.17,655920128,4.17
2023-07-05,BK1024,绿色电力,1032.35,-0.15,-429749840,-2.51,-117522880,-0.6900000000000001,-312226960,-1.82,-33939968,-0.2,463689984,2.7
2023-07-04,BK1024,绿色电力,1033.91,-0.5,-891184000,-4.92,-595027680,-3.29,-296156320,-1.64,64404480,0.36,826779392,4.57
2023-07-03,BK1024,绿色电力,1039.13,1.06,491997184,2.22,410031616,1.85,81965568,0.37,-463869184,-2.1,-28128000,-0.13
2023-06-30,BK1024,绿色电力,1028.19,0.15,-851208208,-4.65,-416811472,-2.28,-434396736,-2.37,-332445440,-1.82,1183653376,6.46
2023-06-29,BK1024,绿色电力,1026.7,-0.5700000000000001,-1548281392,-7.18,-742502448,-3.44,-805778944,-3.74,3098624,0.01,1545182720,7.17
2023-06-28,BK1024,绿色电力,1032.62,1.25,28458608,0.11,149792112,0.56,-121333504,-0.46,-245868800,-0.92,217410048,0.8200000000000001
2023-06-27,BK1024,绿色电力,1019.92,0.73,-875609984,-3.64,-310008448,-1.29,-565601536,-2.35,289913856,1.21,585696000,2.44
2023-06-26,BK1024,绿色电力,1012.55,1.74,428327104,1.51,482228672,1.7000000000000002,-53901568,-0.19,111407360,0.39,-539734528,-1.9
2023-06-21,BK1024,绿色电力,995.25,-0.03,-375297232,-1.97,-277590224,-1.46,-97707008,-0.51,38368512,0.2,336928768,1.77
2023-06-20,BK1024,绿色电力,995.55,-0.66,-1002910496,-6.29,-649603360,-4.07,-353307136,-2.22,265753856,1.67,737156608,4.62
2023-06-19,BK1024,绿色电力,1002.2,0.07,-604123632,-3.47,-312210016,-1.79,-291913616,-1.6800000000000002,90497792,0.52,513625856,2.95
2023-06-16,BK1024,绿色电力,1001.54,0.11,-585356656,-3.02,-322773744,-1.67,-262582912,-1.35,293455104,1.51,291901440,1.51
