日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0940,网红直播,601.74,-0.84,-2101053680,-6.4,-1105154800,-3.37,-995898880,-3.03,52475136,0.16,2048578304,6.24
2023-07-31,BK0940,网红直播,606.81,2.45,409149696,0.85,55682560,0.12,353467136,0.74,-270717184,-0.5700000000000001,-138432512,-0.29
2023-07-28,BK0940,网红直播,592.31,1.22,2908468480,7.17,3245905152,8.0,-337436672,-0.8300000000000001,-1764960256,-4.35,-1143508224,-2.8200000000000003
2023-07-27,BK0940,网红直播,585.18,-1.06,-1711497056,-6.93,-1000577888,-4.05,-710919168,-2.88,324272640,1.31,1387224320,5.62
2023-07-26,BK0940,网红直播,591.44,-0.6900000000000001,-2624554144,-8.42,-1676975776,-5.38,-947578368,-3.04,552713728,1.77,2071840512,6.64
2023-07-24,BK0940,网红直播,587.31,-0.43,-1155822288,-4.94,-615428048,-2.63,-540394240,-2.31,133746432,0.5700000000000001,1022075904,4.37
2023-07-21,BK0940,网红直播,589.83,0.42,-1224974768,-4.42,-530096560,-1.91,-694878208,-2.51,100056320,0.36,1124918272,4.06
2023-07-20,BK0940,网红直播,587.36,0.14,-920714128,-3.2,-334928272,-1.16,-585785856,-2.04,37890560,0.13,882823680,3.07
2023-07-19,BK0940,网红直播,586.51,0.75,95825120,0.48,426916832,2.13,-331091712,-1.65,-85555712,-0.43,-10269696,-0.05
2023-07-17,BK0940,网红直播,585.27,-1.01,-2153437168,-8.68,-1093960944,-4.41,-1059476224,-4.27,307052032,1.24,1846384896,7.44
2023-07-14,BK0940,网红直播,591.27,0.42,-595549632,-1.98,-308492480,-1.03,-287057152,-0.96,309807872,1.03,285741568,0.95
2023-07-13,BK0940,网红直播,588.79,1.55,2127611760,7.11,2063559280,6.9,64052480,0.21,-1390929664,-4.65,-736682240,-2.46
2023-07-12,BK0940,网红直播,579.83,-1.85,-2672220864,-10.87,-1293492928,-5.26,-1378727936,-5.61,331725568,1.35,2340495360,9.52
2023-07-11,BK0940,网红直播,590.77,0.26,-625813168,-3.14,-152534704,-0.77,-473278464,-2.37,-69342208,-0.35000000000000003,695155456,3.49
2023-07-10,BK0940,网红直播,589.24,0.32,-561966480,-2.87,-141094800,-0.72,-420871680,-2.15,233316096,1.19,328650752,1.6800000000000002
2023-07-07,BK0940,网红直播,587.37,-0.51,-1331876048,-5.5,-584452560,-2.41,-747423488,-3.09,221280768,0.91,1110595328,4.59
2023-07-06,BK0940,网红直播,590.39,-0.12,-1154212704,-4.83,-1002026080,-4.19,-152186624,-0.64,130188800,0.54,1024024064,4.28
2023-07-05,BK0940,网红直播,591.07,-0.99,-1139129024,-4.68,-535837888,-2.2,-603291136,-2.48,323873280,1.33,815255808,3.35
2023-07-04,BK0940,网红直播,596.98,0.45,-441302416,-1.75,-15750032,-0.06,-425552384,-1.69,-218090240,-0.87,659392768,2.62
2023-07-03,BK0940,网红直播,594.31,0.22,-637503200,-2.14,-540935392,-1.81,-96567808,-0.32,98141440,0.33,539361536,1.81
2023-06-30,BK0940,网红直播,593.03,1.05,139232576,0.51,212155456,0.77,-72922880,-0.27,-258152448,-0.94,118919936,0.43
2023-06-29,BK0940,网红直播,586.85,0.68,-501100032,-1.86,-550086656,-2.04,48986624,0.18,12018688,0.04,489081600,1.81
2023-06-28,BK0940,网红直播,582.88,-0.87,-1387221568,-4.06,-283863104,-0.8300000000000001,-1103358464,-3.23,-175277312,-0.51,1562499072,4.58
2023-06-27,BK0940,网红直播,588.01,2.67,9045968,0.03,113972432,0.41,-104926464,-0.38,-16121088,-0.06,7075072,0.03
2023-06-26,BK0940,网红直播,572.71,-3.07,-3866424752,-10.79,-1843723952,-5.15,-2022700800,-5.64,300016640,0.84,3566407936,9.95
2023-06-21,BK0940,网红直播,590.86,-2.84,-5592750112,-12.65,-3596516640,-8.13,-1996233472,-4.52,516768256,1.17,5075981824,11.48
2023-06-20,BK0940,网红直播,608.15,-1.07,-2547385344,-5.06,-1751011328,-3.48,-796374016,-1.58,392906752,0.78,2154478592,4.28
2023-06-19,BK0940,网红直播,614.7,-0.33,-848158208,-1.58,-138265856,-0.26,-709892352,-1.32,-10602752,-0.02,858760960,1.6
2023-06-16,BK0940,网红直播,616.72,0.33,679392000,1.48,717725184,1.56,-38333184,-0.08,-618737920,-1.35,-60653824,-0.13
