日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1022,职业教育,1129.46,-0.03,-222682976,-2.62,-91278912,-1.07,-131404064,-1.54,-21282336,-0.25,243407760,2.86
2023-07-05,BK1022,职业教育,1129.78,-0.92,-493329808,-5.16,-324675792,-3.4,-168654016,-1.77,104719472,1.1,387823056,4.06
2023-07-04,BK1022,职业教育,1140.24,0.08,-391945232,-3.51,-218707600,-1.96,-173237632,-1.55,-60301392,-0.54,452945584,4.06
2023-07-03,BK1022,职业教育,1139.33,0.35000000000000003,-477461760,-3.33,-436583152,-3.04,-40878608,-0.28,36466944,0.25,441487024,3.07
2023-06-30,BK1022,职业教育,1135.33,0.75,-163924864,-1.82,-33698720,-0.37,-130226144,-1.44,96095104,1.07,67873456,0.75
2023-06-29,BK1022,职业教育,1126.91,1.35,-207622208,-2.27,-104680768,-1.15,-102941440,-1.13,23095744,0.25,184958496,2.03
2023-06-28,BK1022,职业教育,1111.93,-1.84,-694487168,-6.04,-363141568,-3.16,-331345600,-2.88,168277680,1.46,525514448,4.57
2023-06-27,BK1022,职业教育,1132.72,2.5700000000000003,246828928,2.3,244089808,2.28,2739120,0.03,-150074288,-1.4,-96701840,-0.9
2023-06-26,BK1022,职业教育,1104.39,-4.23,-1325631792,-10.26,-591049680,-4.57,-734582112,-5.68,224711136,1.74,1100097728,8.51
2023-06-21,BK1022,职业教育,1153.16,-2.8,-1440889472,-10.77,-543594912,-4.06,-897294560,-6.71,-23391232,-0.17,1465338672,10.96
2023-06-20,BK1022,职业教育,1186.41,-1.06,-581177744,-4.0,-175838864,-1.21,-405338880,-2.79,-66523136,-0.46,644489520,4.44
2023-06-19,BK1022,职业教育,1199.07,0.4,-424767072,-2.94,-170275408,-1.18,-254491664,-1.76,-79211776,-0.55,503536384,3.48
2023-06-16,BK1022,职业教育,1194.24,0.93,-195603008,-1.62,-21178320,-0.18,-174424688,-1.45,-77427488,-0.64,271344448,2.25
