日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK1078,肝炎概念,1059.81,-1.47,-271650426,-5.79,-105471626,-2.25,-166178800,-3.54,-129034352,-2.75,400684784,8.53
2023-07-31,BK1078,肝炎概念,1075.57,-0.38,-127686758,-2.74,-69339830,-1.49,-58346928,-1.25,-60081728,-1.29,187768480,4.03
2023-07-28,BK1078,肝炎概念,1079.71,0.73,-60142306,-1.6800000000000002,1955310,0.05,-62097616,-1.73,-73983328,-2.07,134125616,3.75
2023-07-27,BK1078,肝炎概念,1071.84,-0.53,-110973254,-3.73,-52263574,-1.75,-58709680,-1.97,30875824,1.04,80097440,2.69
2023-07-26,BK1078,肝炎概念,1077.6,0.32,-29780171,-0.89,22684693,0.68,-52464864,-1.57,8071296,0.24,21708880,0.65
2023-07-24,BK1078,肝炎概念,1067.97,0.72,-33113989,-0.8300000000000001,7313323,0.18,-40427312,-1.02,-22771760,-0.5700000000000001,55885744,1.41
2023-07-21,BK1078,肝炎概念,1060.29,0.75,52534500,1.67,41159508,1.31,11374992,0.36,-7838496,-0.25,-44696016,-1.42
2023-07-20,BK1078,肝炎概念,1052.42,-0.5,-164752962,-5.99,-118997282,-4.33,-45755680,-1.66,-40014896,-1.46,204767856,7.45
2023-07-19,BK1078,肝炎概念,1057.67,-0.41,-118785425,-5.31,-49939297,-2.23,-68846128,-3.08,-18231456,-0.8200000000000001,137016880,6.13
2023-07-17,BK1078,肝炎概念,1067.08,-0.48,-195768795,-5.27,-71048779,-1.91,-124720016,-3.36,67741552,1.82,128027264,3.44
2023-07-14,BK1078,肝炎概念,1072.22,-0.8,-206215657,-6.34,-82216921,-2.53,-123998736,-3.81,74390592,2.29,131825088,4.05
2023-07-13,BK1078,肝炎概念,1080.84,1.09,-30807268,-0.93,35706572,1.08,-66513840,-2.01,-22782912,-0.6900000000000001,53590176,1.62
2023-07-12,BK1078,肝炎概念,1069.18,-1.13,-162441888,-4.63,-43019888,-1.23,-119422000,-3.4,28134480,0.8,134307408,3.83
2023-07-11,BK1078,肝炎概念,1081.35,0.79,-68192615,-2.4,12225913,0.43,-80418528,-2.8200000000000003,-105535184,-3.71,173727808,6.1
2023-07-10,BK1078,肝炎概念,1072.84,0.26,-129908976,-4.2,-41988416,-1.36,-87920560,-2.84,33977664,1.1,95931296,3.1
2023-07-07,BK1078,肝炎概念,1070.1,0.12,-78282093,-2.63,-40319773,-1.35,-37962320,-1.27,2895456,0.1,75386624,2.53
2023-07-06,BK1078,肝炎概念,1068.8,-1.48,-323303739,-7.93,-161461947,-3.96,-161841792,-3.97,26594560,0.65,296709184,7.28
2023-07-05,BK1078,肝炎概念,1084.91,-0.13,-30365712,-0.58,26892752,0.51,-57258464,-1.09,-94248928,-1.79,124614624,2.37
2023-07-04,BK1078,肝炎概念,1086.32,0.2,-48083072,-0.99,-66633472,-1.37,18550400,0.38,-10875680,-0.22,58958768,1.21
2023-07-03,BK1078,肝炎概念,1084.11,0.31,-169845871,-3.86,-114335951,-2.6,-55509920,-1.26,42609920,0.97,127235952,2.89
2023-06-30,BK1078,肝炎概念,1080.72,1.03,-94533112,-2.19,5640232,0.13,-100173344,-2.32,4840016,0.11,89693088,2.07
2023-06-29,BK1078,肝炎概念,1069.7,1.11,-58644572,-1.29,-19471436,-0.43,-39173136,-0.86,-26556144,-0.58,85200720,1.87
2023-06-28,BK1078,肝炎概念,1057.96,-0.8,-231816562,-5.55,-47763570,-1.14,-184052992,-4.41,7362848,0.18,224453712,5.38
2023-06-27,BK1078,肝炎概念,1066.53,1.52,-28407558,-0.71,-73772086,-1.84,45364528,1.13,-37553744,-0.94,65961312,1.65
2023-06-26,BK1078,肝炎概念,1050.6,-1.09,-270213298,-5.58,-97069378,-2.0,-173143920,-3.5700000000000003,8744048,0.18,261469248,5.4
2023-06-21,BK1078,肝炎概念,1062.21,-1.61,-318869834,-7.1,-97412090,-2.17,-221457744,-4.93,43719584,0.97,275150240,6.13
2023-06-20,BK1078,肝炎概念,1079.63,-0.27,16168816,0.32,20067792,0.4,-3898976,-0.08,-16786384,-0.33,617568,0.01
2023-06-19,BK1078,肝炎概念,1082.55,-0.73,-176237148,-4.69,-62341916,-1.66,-113895232,-3.03,73472080,1.96,102765088,2.74
2023-06-16,BK1078,肝炎概念,1090.51,0.13,-252705775,-6.29,-132324671,-3.3,-120381104,-3.0,81702512,2.03,171003280,4.26
