日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0567,股权激励,2657.16,-1.45,-2129664512,-3.55,-841946112,-1.41,-1287718400,-2.15,-7537408,-0.01,2137201920,3.5700000000000003
2023-07-11,BK0567,股权激励,2696.25,1.08,-92799760,-0.2,346570480,0.75,-439370240,-0.95,-455531776,-0.99,548331776,1.19
2023-07-10,BK0567,股权激励,2667.52,-0.04,-1201885296,-2.63,-458084208,-1.0,-743801088,-1.63,-109897728,-0.24,1311782912,2.87
2023-07-07,BK0567,股权激励,2668.54,-0.98,-2119750064,-4.55,-1174362544,-2.52,-945387520,-2.03,-30486784,-0.07,2150236672,4.61
2023-07-06,BK0567,股权激励,2695.06,-0.09,-704126720,-1.39,-179959552,-0.36,-524167168,-1.04,-612794112,-1.21,1316921344,2.6
2023-07-05,BK0567,股权激励,2697.41,-0.91,-2151261504,-4.02,-1384540992,-2.59,-766720512,-1.43,213250048,0.4,1938011648,3.62
2023-07-04,BK0567,股权激励,2722.2,0.91,-165332480,-0.26,636298240,1.0,-801630720,-1.26,-6323712,-0.01,171656192,0.27
2023-07-03,BK0567,股权激励,2697.78,-0.01,-894043392,-1.4,5460480,0.01,-899503872,-1.41,132582144,0.21,761461504,1.19
2023-06-30,BK0567,股权激励,2698.06,1.29,-570282496,-1.01,-97722368,-0.17,-472560128,-0.84,-276216832,-0.49,846499072,1.5
2023-06-29,BK0567,股权激励,2663.8,0.96,-1170765056,-2.18,-261274624,-0.49,-909490432,-1.69,373193216,0.6900000000000001,797572096,1.48
2023-06-28,BK0567,股权激励,2638.46,-0.8200000000000001,-3129750016,-5.21,-1371368704,-2.28,-1758381312,-2.92,554934784,0.92,2574814976,4.28
2023-06-27,BK0567,股权激励,2660.3,1.54,-1082563840,-1.86,-549529600,-0.94,-533034240,-0.92,237579264,0.41,844984832,1.45
2023-06-26,BK0567,股权激励,2619.96,-2.1,-2631152384,-3.65,-1045453312,-1.45,-1585699072,-2.2,-419056128,-0.58,3050208768,4.23
2023-06-21,BK0567,股权激励,2676.14,-2.03,-6082125056,-7.8,-3527864832,-4.52,-2554260224,-3.27,409475072,0.52,5672650240,7.27
2023-06-20,BK0567,股权激励,2731.51,-0.32,-1813789440,-2.35,-1172782592,-1.52,-641006848,-0.8300000000000001,123271680,0.16,1690517760,2.19
2023-06-19,BK0567,股权激励,2740.17,0.31,-2923559680,-3.41,-1238096896,-1.44,-1685462784,-1.96,599932160,0.7000000000000001,2323627264,2.71
2023-06-16,BK0567,股权激励,2731.57,1.13,2086242816,2.5,2045474560,2.45,40768256,0.05,-1519367680,-1.82,-566875392,-0.68
