日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK0898,胎压监测,1747.49,-1.41,-215521780,-5.64,-44655460,-1.17,-170866320,-4.47,-28451008,-0.74,243972784,6.38
2023-08-02,BK0898,胎压监测,1772.42,0.8,155755505,3.46,80726257,1.79,75029248,1.66,-49715456,-1.1,-106040064,-2.35
2023-08-01,BK0898,胎压监测,1758.33,-0.78,-159658582,-3.81,-90441942,-2.16,-69216640,-1.65,34024464,0.81,125634112,3.0
2023-07-31,BK0898,胎压监测,1772.07,0.26,-27856432,-0.48,5801088,0.1,-33657520,-0.58,-4735568,-0.08,32592000,0.56
2023-07-28,BK0898,胎压监测,1767.48,0.23,-246575376,-4.01,-65837664,-1.07,-180737712,-2.94,100910912,1.64,145664464,2.37
2023-07-27,BK0898,胎压监测,1763.42,1.14,22775648,0.32,-16688560,-0.24,39464208,0.56,-36369968,-0.52,13594320,0.19
2023-07-26,BK0898,胎压监测,1743.46,-1.89,-185184032,-4.45,5867264,0.14,-191051296,-4.59,-53282880,-1.28,238466944,5.73
2023-07-24,BK0898,胎压监测,1738.69,-0.23,-279269451,-8.3,-104996923,-3.12,-174272528,-5.18,111562064,3.32,167707376,4.98
2023-07-21,BK0898,胎压监测,1742.77,-1.55,-428229683,-10.22,-158442323,-3.78,-269787360,-6.44,44441824,1.06,383787856,9.16
2023-07-20,BK0898,胎压监测,1770.24,-2.54,-445477149,-7.54,-276302445,-4.68,-169174704,-2.86,-17563008,-0.30000000000000004,463040144,7.84
2023-07-19,BK0898,胎压监测,1816.35,-1.61,-521624389,-9.97,-318740245,-6.09,-202884144,-3.88,44842752,0.86,476781616,9.11
2023-07-17,BK0898,胎压监测,1830.9,-0.7000000000000001,-465581824,-6.78,-145531168,-2.12,-320050656,-4.66,3757968,0.05,461823856,6.72
2023-07-14,BK0898,胎压监测,1843.81,-0.22,-371217600,-5.02,-134111632,-1.81,-237105968,-3.2,139325344,1.88,231892256,3.13
2023-07-13,BK0898,胎压监测,1847.8,-0.52,-295894448,-3.72,-183415936,-2.3,-112478512,-1.41,89376720,1.12,206517728,2.6
2023-07-12,BK0898,胎压监测,1857.51,-1.12,-375424736,-4.06,-8646000,-0.09,-366778736,-3.97,-29338768,-0.32,404763488,4.38
2023-07-11,BK0898,胎压监测,1878.59,2.78,-94461184,-1.08,-5036944,-0.06,-89424240,-1.03,158980960,1.82,-64519760,-0.74
2023-07-10,BK0898,胎压监测,1827.77,0.6900000000000001,126941776,1.75,122552160,1.69,4389616,0.06,-110312720,-1.52,-16629040,-0.23
2023-07-07,BK0898,胎压监测,1815.17,-1.53,-296287568,-4.49,-147800016,-2.24,-148487552,-2.25,79703584,1.21,216583984,3.29
2023-07-06,BK0898,胎压监测,1843.41,0.8,-127016160,-1.6,-27428800,-0.34,-99587360,-1.25,73820736,0.93,53195440,0.67
2023-07-05,BK0898,胎压监测,1828.83,-1.14,-537958032,-6.09,-241507312,-2.73,-296450720,-3.36,90062912,1.02,447895136,5.07
2023-07-04,BK0898,胎压监测,1849.98,5.0,496904016,5.07,527749728,5.38,-30845712,-0.31,-176251568,-1.8,-320652448,-3.27
2023-07-03,BK0898,胎压监测,1761.9,-0.05,-262909504,-3.85,-125734992,-1.84,-137174512,-2.01,29126624,0.43,233782880,3.42
2023-06-30,BK0898,胎压监测,1762.7,0.81,-37887424,-0.54,-48719328,-0.6900000000000001,10831904,0.15,-142052016,-2.01,179939440,2.54
2023-06-29,BK0898,胎压监测,1748.46,1.75,73445376,1.41,111114112,2.13,-37668736,-0.72,-65647760,-1.26,-7797616,-0.15
2023-06-28,BK0898,胎压监测,1718.38,-0.25,-481855920,-8.29,-216453504,-3.73,-265402416,-4.57,23749744,0.41,458106176,7.89
2023-06-27,BK0898,胎压监测,1722.74,0.94,-224761241,-4.09,-174868425,-3.18,-49892816,-0.91,-16577280,-0.30000000000000004,241338512,4.39
2023-06-26,BK0898,胎压监测,1706.64,-2.23,-362942256,-4.38,-169847872,-2.05,-193094384,-2.33,8174080,0.1,354768192,4.29
2023-06-21,BK0898,胎压监测,1745.5,-0.1,-325251984,-3.44,-308424176,-3.26,-16827808,-0.18,120799856,1.28,204452112,2.16
2023-06-20,BK0898,胎压监测,1747.25,0.54,453398416,6.15,468806720,6.36,-15408304,-0.21,-137745392,-1.87,-315653024,-4.28
2023-06-19,BK0898,胎压监测,1737.84,1.63,146591232,2.2,156471088,2.35,-9879856,-0.15,-100878560,-1.51,-45712688,-0.6900000000000001
2023-06-16,BK0898,胎压监测,1709.94,0.26,-143334896,-2.59,-109183072,-1.98,-34151824,-0.62,-49134768,-0.89,192469664,3.48
