日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK0963,航天概念,1287.71,-0.5,-159982384,-1.54,-101233136,-0.97,-58749248,-0.5700000000000001,-18616432,-0.18,178598832,1.72
2023-08-02,BK0963,航天概念,1294.12,-0.25,-743639600,-5.72,-285598560,-2.2,-458041040,-3.52,163496080,1.26,580143488,4.46
2023-08-01,BK0963,航天概念,1297.33,-0.27,-239262960,-1.82,-35866384,-0.27,-203396576,-1.55,141870080,1.08,97392896,0.74
2023-07-31,BK0963,航天概念,1300.82,0.31,-240388768,-1.81,-265043104,-1.99,24654336,0.19,-9556736,-0.07,249945344,1.88
2023-07-28,BK0963,航天概念,1296.84,0.12,-638381568,-4.92,-269139536,-2.07,-369242032,-2.85,27779584,0.21,610602016,4.7
2023-07-27,BK0963,航天概念,1295.26,-0.55,-304923040,-2.64,-218216448,-1.89,-86706592,-0.75,50372752,0.44,254550288,2.21
2023-07-26,BK0963,航天概念,1302.48,-1.62,-620788208,-5.75,-278675584,-2.58,-342112624,-3.17,57617248,0.53,563170960,5.22
2023-07-24,BK0963,航天概念,1306.32,0.1,-348324528,-3.41,-110009792,-1.08,-238314736,-2.33,112518896,1.1,235805616,2.31
2023-07-21,BK0963,航天概念,1304.99,-0.99,-775390896,-6.51,-278536368,-2.34,-496854528,-4.17,21996096,0.18,753394800,6.33
2023-07-20,BK0963,航天概念,1318.0,-2.3,-1674448176,-11.08,-787988944,-5.22,-886459232,-5.87,210481664,1.39,1463966464,9.69
2023-07-19,BK0963,航天概念,1349.04,-0.93,-929689008,-6.57,-549601872,-3.89,-380087136,-2.69,40732160,0.29,888956736,6.29
2023-07-17,BK0963,航天概念,1362.63,-0.37,-628022128,-3.5,-305931360,-1.71,-322090768,-1.8,69489152,0.39,558533120,3.11
2023-07-14,BK0963,航天概念,1367.7,-0.41,-997766528,-4.98,-581220480,-2.9,-416546048,-2.08,277764096,1.39,720002560,3.59
2023-07-13,BK0963,航天概念,1373.29,0.51,-570145584,-2.84,-331672880,-1.65,-238472704,-1.19,94201344,0.47,475944192,2.37
2023-07-12,BK0963,航天概念,1366.32,-1.59,-1425902640,-6.19,-660134448,-2.87,-765768192,-3.33,393247744,1.71,1032654848,4.48
2023-07-11,BK0963,航天概念,1388.45,2.03,-338017968,-1.6800000000000002,-125147312,-0.62,-212870656,-1.06,39011072,0.19,299007232,1.49
2023-07-10,BK0963,航天概念,1360.77,0.71,407456928,2.21,435251360,2.36,-27794432,-0.15,-375030528,-2.03,-32426240,-0.18
2023-07-07,BK0963,航天概念,1351.13,-1.48,-922769872,-5.63,-544888608,-3.32,-377881264,-2.3,2490112,0.02,920279552,5.61
2023-07-06,BK0963,航天概念,1371.43,0.14,-549513872,-2.91,-251424912,-1.33,-298088960,-1.58,47901184,0.25,501612800,2.66
2023-07-05,BK0963,航天概念,1369.55,-0.86,-800738320,-4.02,-496608528,-2.49,-304129792,-1.53,-8108800,-0.04,808847104,4.06
2023-07-04,BK0963,航天概念,1381.42,0.99,11089856,0.05,376487872,1.83,-365398016,-1.78,-106970368,-0.52,95880704,0.47
2023-07-03,BK0963,航天概念,1367.89,-0.25,-417376528,-2.2,-164076992,-0.86,-253299536,-1.33,57895936,0.31,359480576,1.89
2023-06-30,BK0963,航天概念,1371.3,1.69,-252843584,-1.16,2788800,0.01,-255632384,-1.18,122088192,0.56,130755584,0.6000000000000001
2023-06-29,BK0963,航天概念,1348.47,1.61,-216478496,-1.16,25265376,0.14,-241743872,-1.29,-38362624,-0.21,254840832,1.36
2023-06-28,BK0963,航天概念,1327.16,-0.33,-640866432,-3.66,-219519216,-1.26,-421347216,-2.41,-3099648,-0.02,643966208,3.68
2023-06-27,BK0963,航天概念,1331.6,1.2,-515012304,-2.89,-250885040,-1.41,-264127264,-1.48,53085184,0.30000000000000004,461927168,2.59
2023-06-26,BK0963,航天概念,1315.77,-1.83,-777658048,-3.9,-329053376,-1.65,-448604672,-2.25,51826688,0.26,725831424,3.64
2023-06-21,BK0963,航天概念,1340.32,-0.56,-302414448,-1.4,-80684400,-0.37,-221730048,-1.02,172861952,0.8,129552384,0.6000000000000001
2023-06-20,BK0963,航天概念,1347.84,1.16,-150398656,-0.7000000000000001,-98749120,-0.46,-51649536,-0.24,-87399936,-0.41,237798400,1.1
2023-06-19,BK0963,航天概念,1332.41,1.38,-429088928,-2.08,-226286496,-1.1,-202802432,-0.98,-35624960,-0.17,464714240,2.26
2023-06-16,BK0963,航天概念,1314.31,2.03,618294624,3.44,469410400,2.61,148884224,0.8300000000000001,-190342656,-1.06,-427951872,-2.38
