日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0666,苹果概念,2447.24,0.28,539124224,1.56,1154050816,3.33,-614926592,-1.78,-770719232,-2.23,231595008,0.67
2023-07-27,BK0666,苹果概念,2440.52,-1.44,-2000000544,-6.45,-856554272,-2.76,-1143446272,-3.69,-111900928,-0.36,2111901440,6.82
2023-07-26,BK0666,苹果概念,2476.18,-1.45,-2334387248,-7.35,-1449398064,-4.5600000000000005,-884989184,-2.79,672789760,2.12,1661597184,5.23
2023-07-24,BK0666,苹果概念,2475.05,-0.12,-228001024,-0.65,921029632,2.62,-1149030656,-3.27,-644592640,-1.83,872593664,2.48
2023-07-21,BK0666,苹果概念,2478.09,-1.32,-2046634160,-5.8,-741174960,-2.1,-1305459200,-3.7,318683904,0.9,1727950080,4.9
2023-07-20,BK0666,苹果概念,2511.12,-1.63,-3401748480,-7.93,-2376197376,-5.54,-1025551104,-2.39,352726784,0.8200000000000001,3049021440,7.11
2023-07-19,BK0666,苹果概念,2552.64,-0.7000000000000001,-2614995760,-7.01,-1394256432,-3.74,-1220739328,-3.27,186584064,0.5,2428411648,6.51
2023-07-17,BK0666,苹果概念,2565.11,-0.29,-391706368,-0.89,36308480,0.08,-428014848,-0.97,-42393344,-0.1,434099712,0.98
2023-07-14,BK0666,苹果概念,2572.67,0.64,262682624,0.52,1207281408,2.41,-944598784,-1.88,-723876352,-1.44,461193984,0.92
2023-07-13,BK0666,苹果概念,2556.39,1.89,1622792192,3.63,1110561280,2.48,512230912,1.14,-484900096,-1.08,-1137892096,-2.54
2023-07-12,BK0666,苹果概念,2509.06,-1.93,-3617818624,-7.51,-2797946624,-5.8100000000000005,-819872000,-1.7000000000000002,711254016,1.48,2906564608,6.03
2023-07-11,BK0666,苹果概念,2558.47,1.67,1410755584,3.56,1210996992,3.06,199758592,0.5,-601479936,-1.52,-809275648,-2.04
2023-07-10,BK0666,苹果概念,2516.35,-0.8,-1918177824,-6.03,-945239072,-2.97,-972938752,-3.06,351403776,1.11,1566774016,4.93
2023-07-07,BK0666,苹果概念,2536.55,-1.58,-1531910400,-3.81,-1143743488,-2.84,-388166912,-0.97,-67295488,-0.17,1599205632,3.98
2023-07-06,BK0666,苹果概念,2577.17,0.42,31152640,0.07,891591424,1.96,-860438784,-1.89,-525704960,-1.16,494552320,1.09
2023-07-05,BK0666,苹果概念,2566.49,-0.59,-1864215296,-4.28,-766191616,-1.76,-1098023680,-2.52,-16914688,-0.04,1881130240,4.31
2023-07-04,BK0666,苹果概念,2581.81,1.32,282084096,0.61,461219328,1.0,-179135232,-0.39,-333020928,-0.73,50936576,0.11
2023-07-03,BK0666,苹果概念,2548.05,-0.2,255146752,0.45,-143207424,-0.25,398354176,0.71,-892612352,-1.59,637465856,1.13
2023-06-30,BK0666,苹果概念,2553.25,2.02,1177275648,2.29,1142882048,2.22,34393600,0.07,-747953664,-1.46,-429321984,-0.84
2023-06-29,BK0666,苹果概念,2502.69,2.56,182084608,0.38,832090880,1.74,-650006272,-1.36,-316182528,-0.66,134097664,0.28
2023-06-28,BK0666,苹果概念,2440.3,-1.22,-2322643120,-6.8100000000000005,-1266428080,-3.71,-1056215040,-3.1,401169408,1.18,1921473536,5.63
2023-06-27,BK0666,苹果概念,2470.42,1.26,-529504256,-1.47,-127553536,-0.35000000000000003,-401950720,-1.11,41672192,0.12,487832064,1.35
2023-06-26,BK0666,苹果概念,2439.67,-2.48,-1897894656,-3.9,-490892032,-1.01,-1407002624,-2.89,-643417088,-1.32,2541312256,5.23
2023-06-21,BK0666,苹果概念,2501.63,-2.07,-3157022208,-5.97,-2070818048,-3.92,-1086204160,-2.06,105688320,0.2,3051333888,5.77
2023-06-20,BK0666,苹果概念,2554.46,0.61,-1130371584,-1.9,-1095317504,-1.84,-35054080,-0.06,-13104640,-0.02,1143475968,1.92
2023-06-19,BK0666,苹果概念,2538.92,1.31,1059211008,1.99,1150952704,2.16,-91741696,-0.17,-475238144,-0.89,-583973120,-1.1
2023-06-16,BK0666,苹果概念,2506.0,0.92,1292935424,2.62,1727432448,3.5,-434497024,-0.88,-702782720,-1.42,-590152704,-1.2
