日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK1123,蒙脱石散,977.16,0.89,-67133769,-5.32,-5454911,-0.43,-61678858,-4.89,-23836256,-1.89,90970032,7.21
2023-06-30,BK1123,蒙脱石散,968.56,2.46,-17718333,-1.81,-9408219,-0.96,-8310114,-0.85,-18505168,-1.89,36223488,3.71
2023-06-29,BK1123,蒙脱石散,945.28,1.37,-33028001,-4.18,3286829,0.42,-36314830,-4.59,96944,0.01,32931056,4.16
2023-06-28,BK1123,蒙脱石散,932.53,-0.4,-18459384,-2.76,9178020,1.37,-27637404,-4.13,-17074291,-2.55,35533664,5.31
2023-06-27,BK1123,蒙脱石散,936.31,1.93,-47796927,-6.65,-13864352,-1.93,-33932575,-4.72,11829209,1.65,35967712,5.01
2023-06-26,BK1123,蒙脱石散,918.57,-2.38,-105959868,-12.67,-28873077,-3.45,-77086791,-9.22,23797312,2.84,82162560,9.82
2023-06-21,BK1123,蒙脱石散,941.01,-0.39,-17672561,-1.94,30037209,3.3,-47709770,-5.25,-19877664,-2.19,37550224,4.13
2023-06-20,BK1123,蒙脱石散,944.69,-0.73,-39650734,-5.45,-5066392,-0.7000000000000001,-34584342,-4.75,-6418405,-0.88,46069134,6.33
2023-06-19,BK1123,蒙脱石散,951.68,-1.15,-62283478,-7.6,-22894547,-2.79,-39388931,-4.8,-6554512,-0.8,68837984,8.39
2023-06-16,BK1123,蒙脱石散,962.77,-0.1,2744314,0.32,5693656,0.66,-2949342,-0.34,6254976,0.73,-8999296,-1.05
